model,passed,metrics.clf_winner,metrics.clf_threshold_pct,metrics.clf_pr_auc,metrics.clf_lift_26,metrics.clf_sortino,metrics.clf_pnl_total_bps,metrics.clf_max_dd_bps,metrics.clf_win_rate,metrics.clf_avg_trades_day,metrics.clf_prec_13,metrics.clf_prec_26,metrics.clf_prec_39,metrics.clf_ic_stability_mean
long_tf_clf,True,xgb_parallel_forest_clf,0,0,1.0,0,0,0,0,0,0,0,0,0
short_tf_clf,True,xgb_parallel_forest_clf,0,0,1.0,0,0,0,0,0,0,0,0,0
