fold_id,seed,group,gain,split
0,42,location,40.15583,207.0
0,42,regime,251.76205,884.0
1,42,location,0.274223,1.0
1,42,regime,7.7461195,11.0
2,42,location,39.754196,163.0
2,42,regime,173.4049,658.0
