reason,count
deduplicated_overlap,307
low_stability_floor,13
low_lift,7
"{""pairwise_raw_overlap"": 0.6173570019723866, ""reason"": ""pairwise_overlap_reject"", ""threshold"": 0.5}",1
"{""pairwise_raw_overlap"": 0.690298989029899, ""reason"": ""pairwise_overlap_reject"", ""threshold"": 0.5}",1
