,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
tail_against_G_VOL_0,0.011257332,0.0024484976,0.05175726,39.666668,7.6084747,206.80156,22.77766,5.909857,87.78923,0.018084966,0.004407824,0.07420123,32.5,0.0,0.0,0.08843484,0.59821427,0.0,0.15990888,45.0,7.5,0.20618817,46.0
rsi_slope,0.010041151,0.0029718745,0.033926304,39.666668,4.818944,326.5123,18.97828,4.89869,73.52477,0.016352233,0.003982203,0.06714763,50.0,0.0,0.0,0.05333036,0.60714287,0.0,0.45479506,53.5,7.3333335,0.20385717,47.0
tail_asymmetry_q90_q10_atr_norm_G_VOL_0,0.013894576,0.004192957,0.046043694,34.166668,5.9558563,196.00223,28.598957,10.455959,78.223366,0.021265712,0.0070781573,0.06389099,42.5,0.0,0.0,0.16455764,0.41964287,0.0,0.16334547,37.0,10.833333,0.20358469,48.0
liq_state,0.015504063,0.007095456,0.03387745,48.333332,14.452989,161.63516,30.308239,15.426442,59.546417,0.024066973,0.011576632,0.050033484,55.0,0.0,0.0,0.21101473,0.25,0.16666667,0.0,25.5,14.0,0.20355812,49.0
ret48h,0.010367172,0.0022007707,0.04883664,28.666666,6.342099,129.57504,20.067053,3.7262232,108.068306,0.016117433,0.0033946065,0.076524824,34.0,0.0,0.0,0.062740795,0.51785713,0.0,0.7659642,45.5,9.0,0.20226994,50.0
body_pct,0.014850695,0.007861848,0.028052328,43.0,12.382784,149.32022,29.891092,14.345857,62.281216,0.024050888,0.011230863,0.051504966,58.0,0.0,0.0,0.19215557,0.2857143,0.16666667,0.0,33.5,13.333333,0.20211415,51.0
vp_bin_vol_share,0.012839771,0.0036706121,0.04491341,33.833332,7.38053,155.09651,26.380072,11.268637,61.756207,0.021463588,0.008135212,0.0566286,47.0,0.0,0.0,0.1341112,0.4107143,0.0,0.5031051,38.0,11.0,0.201595,52.0
G_LIQ_GOOD,0.010664523,0.00230688,0.049301244,45.666668,6.209312,335.85757,19.449863,4.883368,77.46645,0.017363487,0.0041356343,0.07290072,39.0,0.0,0.0,0.071323685,0.6160714,0.0,0.14998713,43.5,7.1666665,0.20074524,53.0
adx_7,0.009462705,0.0030028766,0.029819004,31.666666,6.6999173,149.67018,17.843456,5.08677,62.59157,0.015117144,0.004113909,0.055550106,54.0,0.0,0.0,0.036633782,0.6160714,0.0,0.5312292,51.0,7.1666665,0.20072788,54.0
mae_4h,0.012919483,0.0048799985,0.034203503,29.333334,10.225241,84.14906,27.93152,11.802199,66.10377,0.020382022,0.008233253,0.050457194,52.0,0.0,0.0,0.13641204,0.3125,0.0,0.9373889,43.5,12.833333,0.20002107,55.0
regime_stability_24h,0.012470349,0.004128305,0.03766912,36.5,6.6770754,199.52599,25.8303,10.893907,61.245644,0.020564884,0.0071659456,0.059017252,51.0,0.0,0.0,0.123448,0.44642857,0.0,0.3908122,37.5,10.333333,0.19904415,56.0
rv_120h,0.014456779,0.003697737,0.056520637,37.0,6.3770423,214.67633,29.959713,7.5968103,118.152794,0.022455683,0.0055777915,0.09040455,22.0,0.0,0.0,0.18078537,0.3392857,0.0,0.0,30.5,12.333333,0.18425338,57.0
volume_trend_48,0.011355093,0.0032491733,0.039683368,35.666668,9.392669,135.4366,22.296946,7.9779587,62.315914,0.018805003,0.006379914,0.055428356,49.0,0.0,0.0,0.09125666,0.49107143,0.0,0.1983242,42.0,9.5,0.18287525,58.0
trapped_longs_24,0.009334673,0.002198901,0.039627124,37.0,6.191392,221.11345,16.852774,4.0559974,70.023705,0.015054561,0.0037615455,0.06025178,48.0,0.0,0.0,0.032938205,0.59821427,0.0,0.22215599,48.5,7.5,0.17877738,59.0
vp_accept_lvn_touchrate,0.01033205,0.0065763276,0.016232654,31.333334,9.877022,99.400185,22.096899,17.694529,27.59457,0.017574694,0.013074543,0.023623763,60.0,0.0,0.0,0.06172701,0.41964287,0.16666667,0.15177152,55.5,10.833333,0.17144915,60.0
