metric,value,filter_type
volume_kalman_snr_improvement,1010.548182691637,volume
volume_kalman_noise_reduction,0.9990088408662766,volume
volume_kalman_smoothness_ratio,0.6020771713652103,volume
volume_kalman_tracking_rmse,0.23687833183175527,volume
volume_kalman_high_freq_reduction,0.29106704623330526,volume
volume_kalman_low_freq_preservation,1.0041034289332984,volume
moving_average_snr_improvement,3.4426271569885936,moving
moving_average_noise_reduction,0.814031628136179,moving
moving_average_smoothness_ratio,0.0022932282037328743,moving
moving_average_tracking_rmse,3.474794074068928,moving
moving_average_high_freq_reduction,0.5563348623330168,moving
moving_average_low_freq_preservation,0.6442635661529476,moving
fisher_snr_improvement,0.021316254635333265,fisher
fisher_noise_reduction,0.0016525596949530375,fisher
fisher_smoothness_ratio,0.4753026002038931,fisher
fisher_tracking_rmse,866.1738754695616,fisher
fisher_high_freq_reduction,0.8061248085038716,fisher
fisher_low_freq_preservation,0.017358549370889886,fisher
