,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
climax_decay,0.012735267,0.0047925767,0.0338413,22.0,6.350853,76.210236,38.4629,13.985044,105.78405,0.02483888,0.008994894,0.06859113,31.0,0.0,0.93967897,0.03137404,0.5,0.0,0.3870274,31.5,5.5,0.16160709,28.0
asset_vol_level,0.016356137,0.005240141,0.05105267,31.0,5.5075707,174.48709,46.904915,15.408258,142.78519,0.03053809,0.009418398,0.0990163,25.0,0.0,0.93967897,0.07599144,0.46969697,0.0,0.0,24.5,5.8333335,0.15921953,29.0
dir_path_risk_long_2h,0.010189146,0.004519881,0.022969339,19.333334,7.1802197,52.056595,28.602749,10.8251,75.57595,0.01907187,0.0068048993,0.05345211,35.0,0.0,0.93967897,0.0,0.5151515,0.0,0.4850703,34.5,5.3333335,0.1530414,30.0
vol_z_30_calm,0.014268952,0.005093154,0.03997582,26.5,3.304038,212.54295,40.1185,11.223727,143.40105,0.026307775,0.006201487,0.11160211,27.0,0.0,0.93967897,0.050272554,0.46969697,0.0,0.12918766,28.0,5.8333335,0.15153353,31.0
liq_regime,0.01714852,0.005113703,0.057506625,21.333334,4.027682,112.99579,51.81897,20.727097,129.55049,0.031657886,0.01186163,0.08449276,24.0,0.0,0.93967897,0.08575542,0.3030303,0.0,0.41132206,24.5,7.6666665,0.14348917,32.0
trend_slope_48h,0.011882504,0.0059348578,0.023790615,19.666666,5.9066815,65.4814,33.102966,14.891341,73.586815,0.021508409,0.008680369,0.053294007,36.0,0.0,0.93967897,0.020866053,0.4848485,0.0,0.15310086,34.5,5.6666665,0.14034349,33.0
kf_score_mean,0.020157604,0.0074442467,0.05458296,29.0,7.571878,111.06888,61.217648,25.258297,148.37106,0.040990464,0.01646472,0.1020496,20.0,0.15591685,0.93967897,0.12283421,0.28787878,0.0,0.0,20.0,7.8333335,0.13952851,34.0
t_trail_proxy,0.01597759,0.006235865,0.040937923,22.333334,3.2998316,151.1525,41.840916,11.340298,154.37532,0.027157772,0.0064450996,0.11443493,21.0,0.0,0.93967897,0.071326874,0.3030303,0.0,0.4673165,25.0,7.6666665,0.13835318,35.0
trapped_longs_96,0.011458605,0.005766703,0.022768576,20.5,7.1821537,58.51309,33.508614,15.896045,70.63563,0.02257641,0.010714197,0.047571864,40.0,0.0,0.93967897,0.015642637,0.34848484,0.0,0.6224595,33.0,7.1666665,0.12684764,36.0
ffd_amihud_04,0.019200072,0.009238329,0.03990362,27.166666,9.4413395,78.169815,60.941376,37.97185,97.80538,0.0367678,0.020837728,0.064876124,33.0,0.0,0.93967897,0.11103523,0.16666667,0.0,0.41067585,23.5,9.166667,0.12326983,37.0
kf_atr_mean,0.0142222755,0.008011744,0.025247077,24.0,7.9791393,72.18823,41.28029,25.11847,67.84101,0.027283598,0.015651083,0.047561865,37.0,0.0,0.93967897,0.049697388,0.3181818,0.0,0.25160715,32.0,7.5,0.119459376,38.0
dir_path_long_2h,0.01577224,0.010853343,0.022920458,27.166666,10.6209955,69.487625,47.146805,30.61359,72.60896,0.029459365,0.01743953,0.049763624,39.0,0.0,0.93967897,0.0687965,0.1969697,0.0,0.47718978,32.0,8.833333,0.110939994,39.0
pct_breakout_t,0.022193955,0.013057821,0.037722345,29.5,12.093387,71.960815,61.0723,36.546875,102.05595,0.0397881,0.022562947,0.0701634,30.0,0.0,0.93967897,0.14792672,0.0,0.16666667,0.0,23.0,11.0,0.106359705,40.0
