timestamp,symbol,base_asset,quote_asset,sum_open_interest,sum_open_interest_value
2026-04-05 20:00:00+00:00,SEIUSDT,SEI,USDT,221461244.0,11562794.95114428
2026-04-05 21:00:00+00:00,SEIUSDT,SEI,USDT,221126607.0,11584822.94073
2026-04-05 22:00:00+00:00,SEIUSDT,SEI,USDT,220872173.0,11589162.91731
2026-04-05 23:00:00+00:00,SEIUSDT,SEI,USDT,220097775.0,11658579.14175
2026-04-06 00:00:00+00:00,SEIUSDT,SEI,USDT,220439593.0,11862745.07528572
2026-04-06 01:00:00+00:00,SEIUSDT,SEI,USDT,220809163.0,11882421.15325204
2026-04-06 02:00:00+00:00,SEIUSDT,SEI,USDT,220407333.0,11847372.43266261
2026-04-06 03:00:00+00:00,SEIUSDT,SEI,USDT,220622843.0,11962170.54746
2026-04-06 04:00:00+00:00,SEIUSDT,SEI,USDT,220023400.0,11879063.366
2026-04-06 05:00:00+00:00,SEIUSDT,SEI,USDT,220257333.0,11878477.96869
2026-04-06 06:00:00+00:00,SEIUSDT,SEI,USDT,220023253.0,11831143.16589672
2026-04-06 07:00:00+00:00,SEIUSDT,SEI,USDT,219804719.0,11847474.3541
2026-04-06 08:00:00+00:00,SEIUSDT,SEI,USDT,220812928.0,11884151.78496
2026-04-06 09:00:00+00:00,SEIUSDT,SEI,USDT,221760108.0,11947946.7468024
2026-04-06 10:00:00+00:00,SEIUSDT,SEI,USDT,222556632.0,12144768.52086288
2026-04-06 11:00:00+00:00,SEIUSDT,SEI,USDT,222836317.0,12224142.98348485
2026-04-06 12:00:00+00:00,SEIUSDT,SEI,USDT,222852987.0,12165544.56033
2026-04-06 13:00:00+00:00,SEIUSDT,SEI,USDT,222162717.0,12125641.09386
2026-04-06 14:00:00+00:00,SEIUSDT,SEI,USDT,222449022.0,12105675.77724
2026-04-06 15:00:00+00:00,SEIUSDT,SEI,USDT,221703985.0,12110387.29815805
2026-04-06 16:00:00+00:00,SEIUSDT,SEI,USDT,221522815.0,12170463.4561
2026-04-06 17:00:00+00:00,SEIUSDT,SEI,USDT,221028107.0,12086048.97027235
2026-04-06 18:00:00+00:00,SEIUSDT,SEI,USDT,219830623.0,11921414.68529
2026-04-06 19:00:00+00:00,SEIUSDT,SEI,USDT,219787606.0,11919081.87338
2026-04-06 20:00:00+00:00,SEIUSDT,SEI,USDT,220040569.0,11910758.59307327
2026-04-06 21:00:00+00:00,SEIUSDT,SEI,USDT,219373788.0,11899790.73083568
2026-04-06 22:00:00+00:00,SEIUSDT,SEI,USDT,220080110.0,11950349.973
2026-04-06 23:00:00+00:00,SEIUSDT,SEI,USDT,218379670.0,11713885.4988
2026-04-07 00:00:00+00:00,SEIUSDT,SEI,USDT,217126292.0,11594543.9928
2026-04-07 01:00:00+00:00,SEIUSDT,SEI,USDT,218366999.0,11668335.77540548
2026-04-07 02:00:00+00:00,SEIUSDT,SEI,USDT,217717441.0,11545383.89945161
2026-04-07 03:00:00+00:00,SEIUSDT,SEI,USDT,217309334.0,11552164.19544
2026-04-07 04:00:00+00:00,SEIUSDT,SEI,USDT,217756074.0,11569830.96669318
2026-04-07 05:00:00+00:00,SEIUSDT,SEI,USDT,216753237.0,11506603.52249703
2026-04-07 06:00:00+00:00,SEIUSDT,SEI,USDT,216273603.0,11422845.03115392
2026-04-07 07:00:00+00:00,SEIUSDT,SEI,USDT,216196116.0,11375831.01326076
2026-04-07 08:00:00+00:00,SEIUSDT,SEI,USDT,214886287.0,11320626.47855678
2026-04-07 09:00:00+00:00,SEIUSDT,SEI,USDT,214803383.0,11311546.14878
2026-04-07 10:00:00+00:00,SEIUSDT,SEI,USDT,214227268.0,11264069.75144
2026-04-07 11:00:00+00:00,SEIUSDT,SEI,USDT,214185780.0,11163362.8536
2026-04-07 12:00:00+00:00,SEIUSDT,SEI,USDT,214878642.0,11226622.58867028
2026-04-07 13:00:00+00:00,SEIUSDT,SEI,USDT,213083783.0,11130872.48843581
2026-04-07 14:00:00+00:00,SEIUSDT,SEI,USDT,212278373.0,11118387.58951585
2026-04-07 15:00:00+00:00,SEIUSDT,SEI,USDT,209717317.0,10980830.17571755
2026-04-07 16:00:00+00:00,SEIUSDT,SEI,USDT,209539747.0,11001882.32083753
2026-04-07 17:00:00+00:00,SEIUSDT,SEI,USDT,209454773.0,11012968.58961706
2026-04-07 18:00:00+00:00,SEIUSDT,SEI,USDT,209332529.0,11167890.42215
2026-04-07 19:00:00+00:00,SEIUSDT,SEI,USDT,210622239.0,11166032.6894655
2026-04-07 20:00:00+00:00,SEIUSDT,SEI,USDT,211686264.0,11450450.83464504
2026-04-07 21:00:00+00:00,SEIUSDT,SEI,USDT,212205202.0,11490911.6883
2026-04-07 22:00:00+00:00,SEIUSDT,SEI,USDT,212802274.0,11741273.96297218
2026-04-07 23:00:00+00:00,SEIUSDT,SEI,USDT,212046607.0,11920204.25343714
2026-04-08 00:00:00+00:00,SEIUSDT,SEI,USDT,211657961.0,11918097.84879669
2026-04-08 01:00:00+00:00,SEIUSDT,SEI,USDT,213677808.0,12006692.78531712
2026-04-08 02:00:00+00:00,SEIUSDT,SEI,USDT,214276570.0,12094765.9968505
2026-04-08 03:00:00+00:00,SEIUSDT,SEI,USDT,214072779.0,12047080.50407577
2026-04-08 04:00:00+00:00,SEIUSDT,SEI,USDT,219193392.0,12443608.86384
2026-04-08 05:00:00+00:00,SEIUSDT,SEI,USDT,219227865.0,12458780.9517522
2026-04-08 06:00:00+00:00,SEIUSDT,SEI,USDT,219226932.0,12572664.5502
2026-04-08 07:00:00+00:00,SEIUSDT,SEI,USDT,214953128.0,12267375.01496
2026-04-08 08:00:00+00:00,SEIUSDT,SEI,USDT,214998101.0,12364850.38577544
2026-04-08 09:00:00+00:00,SEIUSDT,SEI,USDT,215090424.0,12455886.45384
2026-04-08 10:00:00+00:00,SEIUSDT,SEI,USDT,212282143.0,12227451.4368
2026-04-08 11:00:00+00:00,SEIUSDT,SEI,USDT,213025700.0,12187200.297
2026-04-08 12:00:00+00:00,SEIUSDT,SEI,USDT,214097522.0,12436925.05298
2026-04-08 13:00:00+00:00,SEIUSDT,SEI,USDT,210753477.0,12109894.78842
2026-04-08 14:00:00+00:00,SEIUSDT,SEI,USDT,211819768.0,12141358.70972472
2026-04-08 15:00:00+00:00,SEIUSDT,SEI,USDT,213059172.0,11963272.5078
2026-04-08 16:00:00+00:00,SEIUSDT,SEI,USDT,213174019.0,12116811.23996
2026-04-08 17:00:00+00:00,SEIUSDT,SEI,USDT,214305218.0,12116817.02572
2026-04-08 18:00:00+00:00,SEIUSDT,SEI,USDT,216336745.0,12274946.9113
2026-04-08 19:00:00+00:00,SEIUSDT,SEI,USDT,214946809.0,11970387.79321
2026-04-08 20:00:00+00:00,SEIUSDT,SEI,USDT,216687129.0,12062972.47143
2026-04-08 21:00:00+00:00,SEIUSDT,SEI,USDT,216676418.0,12050571.65880736
2026-04-08 22:00:00+00:00,SEIUSDT,SEI,USDT,215768445.0,12104609.7645
2026-04-08 23:00:00+00:00,SEIUSDT,SEI,USDT,214418607.0,11913901.87469625
2026-04-09 00:00:00+00:00,SEIUSDT,SEI,USDT,211234173.0,11607370.61489325
2026-04-09 01:00:00+00:00,SEIUSDT,SEI,USDT,210594494.0,11546896.10602
2026-04-09 02:00:00+00:00,SEIUSDT,SEI,USDT,210309539.0,11470282.25706
2026-04-09 03:00:00+00:00,SEIUSDT,SEI,USDT,209979840.0,11473836.0059904
2026-04-09 04:00:00+00:00,SEIUSDT,SEI,USDT,209500754.0,11480125.94734516
2026-04-09 05:00:00+00:00,SEIUSDT,SEI,USDT,209338079.0,11511500.96421
2026-04-09 06:00:00+00:00,SEIUSDT,SEI,USDT,209159733.0,11459861.77107
2026-04-09 07:00:00+00:00,SEIUSDT,SEI,USDT,209316222.0,11552162.29218
2026-04-09 08:00:00+00:00,SEIUSDT,SEI,USDT,209132516.0,11503267.12017488
2026-04-09 09:00:00+00:00,SEIUSDT,SEI,USDT,209492804.0,11538884.5936004
2026-04-09 10:00:00+00:00,SEIUSDT,SEI,USDT,209262401.0,11528265.67109
2026-04-09 11:00:00+00:00,SEIUSDT,SEI,USDT,208896196.0,11526892.09528
2026-04-09 12:00:00+00:00,SEIUSDT,SEI,USDT,208090584.0,11340936.828
2026-04-09 13:00:00+00:00,SEIUSDT,SEI,USDT,208880019.0,11408234.98250799
2026-04-09 14:00:00+00:00,SEIUSDT,SEI,USDT,208581216.0,11383672.36545504
2026-04-09 15:00:00+00:00,SEIUSDT,SEI,USDT,210839811.0,11613130.58381385
2026-04-09 16:00:00+00:00,SEIUSDT,SEI,USDT,211693189.0,11837883.12888
2026-04-09 17:00:00+00:00,SEIUSDT,SEI,USDT,211096152.0,11785325.06731536
2026-04-09 18:00:00+00:00,SEIUSDT,SEI,USDT,211887176.0,11855087.4972
2026-04-09 19:00:00+00:00,SEIUSDT,SEI,USDT,211859330.0,11838699.3604
2026-04-09 20:00:00+00:00,SEIUSDT,SEI,USDT,213055352.0,11887148.52343592
2026-04-09 21:00:00+00:00,SEIUSDT,SEI,USDT,214028739.0,11973540.30340779
2026-04-09 22:00:00+00:00,SEIUSDT,SEI,USDT,215425939.0,12085395.1779
2026-04-09 23:00:00+00:00,SEIUSDT,SEI,USDT,216771336.0,12123723.84574968
2026-04-10 00:00:00+00:00,SEIUSDT,SEI,USDT,215680468.0,12067322.1846
2026-04-10 01:00:00+00:00,SEIUSDT,SEI,USDT,213946040.0,12107206.4036
2026-04-10 02:00:00+00:00,SEIUSDT,SEI,USDT,213693334.0,12280955.90498
2026-04-10 03:00:00+00:00,SEIUSDT,SEI,USDT,213264684.0,12245658.15528
2026-04-10 04:00:00+00:00,SEIUSDT,SEI,USDT,212534067.0,11999673.42282
2026-04-10 05:00:00+00:00,SEIUSDT,SEI,USDT,213158021.0,12169191.41889
2026-04-10 06:00:00+00:00,SEIUSDT,SEI,USDT,214011606.0,12175120.26534
2026-04-10 07:00:00+00:00,SEIUSDT,SEI,USDT,212587323.0,12046670.95132839
2026-04-10 08:00:00+00:00,SEIUSDT,SEI,USDT,212473596.0,12003041.38734432
2026-04-10 09:00:00+00:00,SEIUSDT,SEI,USDT,212276151.0,11974786.37347536
2026-04-10 10:00:00+00:00,SEIUSDT,SEI,USDT,212307933.0,11998767.54139671
2026-04-10 11:00:00+00:00,SEIUSDT,SEI,USDT,212926902.0,11877360.6912228
2026-04-10 12:00:00+00:00,SEIUSDT,SEI,USDT,214278197.0,11971890.00338366
2026-04-10 13:00:00+00:00,SEIUSDT,SEI,USDT,215786785.0,12149734.66801475
2026-04-10 14:00:00+00:00,SEIUSDT,SEI,USDT,215632707.0,12121203.94671489
2026-04-10 15:00:00+00:00,SEIUSDT,SEI,USDT,216141636.0,12273073.2532518
2026-04-10 16:00:00+00:00,SEIUSDT,SEI,USDT,215990565.0,12271337.63773995
2026-04-10 17:00:00+00:00,SEIUSDT,SEI,USDT,215687308.0,12231081.54779076
2026-04-10 18:00:00+00:00,SEIUSDT,SEI,USDT,214063587.0,12120280.29594
2026-04-10 19:00:00+00:00,SEIUSDT,SEI,USDT,214682370.0,12220257.206325
2026-04-10 20:00:00+00:00,SEIUSDT,SEI,USDT,215457303.0,12304766.57433
2026-04-10 21:00:00+00:00,SEIUSDT,SEI,USDT,215566233.0,12270987.09643452
2026-04-10 22:00:00+00:00,SEIUSDT,SEI,USDT,216724322.0,12290436.30062
2026-04-10 23:00:00+00:00,SEIUSDT,SEI,USDT,216305537.0,12235753.14842363
2026-04-11 00:00:00+00:00,SEIUSDT,SEI,USDT,215999524.0,12184533.14884
2026-04-11 01:00:00+00:00,SEIUSDT,SEI,USDT,214639466.0,12022707.728791
2026-04-11 02:00:00+00:00,SEIUSDT,SEI,USDT,214948925.0,12039289.28925
2026-04-11 03:00:00+00:00,SEIUSDT,SEI,USDT,214756151.0,11996942.19136659
2026-04-11 04:00:00+00:00,SEIUSDT,SEI,USDT,214113598.0,11946545.28130528
2026-04-11 05:00:00+00:00,SEIUSDT,SEI,USDT,213952846.0,11908544.80392082
2026-04-11 06:00:00+00:00,SEIUSDT,SEI,USDT,211317855.0,11712258.3025182
2026-04-11 07:00:00+00:00,SEIUSDT,SEI,USDT,210112684.0,11651798.89122
2026-04-11 08:00:00+00:00,SEIUSDT,SEI,USDT,209774393.0,11655065.27508
2026-04-11 09:00:00+00:00,SEIUSDT,SEI,USDT,210332257.0,11681033.2579777
2026-04-11 10:00:00+00:00,SEIUSDT,SEI,USDT,210188967.0,11661336.43640175
2026-04-11 11:00:00+00:00,SEIUSDT,SEI,USDT,211439065.0,11705266.6384
2026-04-11 12:00:00+00:00,SEIUSDT,SEI,USDT,211884699.0,11752881.93069471
2026-04-11 13:00:00+00:00,SEIUSDT,SEI,USDT,212362488.0,11788241.70888
2026-04-11 14:00:00+00:00,SEIUSDT,SEI,USDT,211842748.0,11787718.55374256
2026-04-11 15:00:00+00:00,SEIUSDT,SEI,USDT,212296182.0,11817195.23191704
2026-04-11 16:00:00+00:00,SEIUSDT,SEI,USDT,212488855.0,11864837.9415083
2026-04-11 17:00:00+00:00,SEIUSDT,SEI,USDT,212094779.0,11957627.9168073
2026-04-11 18:00:00+00:00,SEIUSDT,SEI,USDT,212835632.0,11984774.43792
2026-04-11 19:00:00+00:00,SEIUSDT,SEI,USDT,213229571.0,12082606.73020938
2026-04-11 20:00:00+00:00,SEIUSDT,SEI,USDT,215132106.0,12256076.07882
2026-04-11 21:00:00+00:00,SEIUSDT,SEI,USDT,215716038.0,12190091.7357762
2026-04-11 22:00:00+00:00,SEIUSDT,SEI,USDT,215643314.0,12150405.27586488
2026-04-11 23:00:00+00:00,SEIUSDT,SEI,USDT,215653916.0,12096148.91463296
2026-04-12 00:00:00+00:00,SEIUSDT,SEI,USDT,215485364.0,12056406.1158
2026-04-12 01:00:00+00:00,SEIUSDT,SEI,USDT,215471122.0,12097598.13344414
2026-04-12 02:00:00+00:00,SEIUSDT,SEI,USDT,210152647.0,11448609.74068073
2026-04-12 03:00:00+00:00,SEIUSDT,SEI,USDT,213001969.0,11636297.56647
2026-04-12 04:00:00+00:00,SEIUSDT,SEI,USDT,216249500.0,11770295.93538
2026-04-12 05:00:00+00:00,SEIUSDT,SEI,USDT,219464914.0,11912426.04762074
2026-04-12 06:00:00+00:00,SEIUSDT,SEI,USDT,219489693.0,11922601.10747052
2026-04-12 07:00:00+00:00,SEIUSDT,SEI,USDT,218348269.0,11788623.04331
2026-04-12 08:00:00+00:00,SEIUSDT,SEI,USDT,219105349.0,11850648.03184897
2026-04-12 09:00:00+00:00,SEIUSDT,SEI,USDT,220721350.0,11934866.909335
2026-04-12 10:00:00+00:00,SEIUSDT,SEI,USDT,220876246.0,11931734.80892
2026-04-12 11:00:00+00:00,SEIUSDT,SEI,USDT,219852436.0,11843259.45570068
2026-04-12 12:00:00+00:00,SEIUSDT,SEI,USDT,220605385.0,11934941.0491311
2026-04-12 13:00:00+00:00,SEIUSDT,SEI,USDT,221755163.0,11988135.11546749
2026-04-12 14:00:00+00:00,SEIUSDT,SEI,USDT,220972979.0,11844151.6744
2026-04-12 15:00:00+00:00,SEIUSDT,SEI,USDT,221352959.0,11880117.34542073
2026-04-12 16:00:00+00:00,SEIUSDT,SEI,USDT,221273707.0,11838818.20930635
2026-04-12 17:00:00+00:00,SEIUSDT,SEI,USDT,222139233.0,11917769.85045
2026-04-12 18:00:00+00:00,SEIUSDT,SEI,USDT,221260157.0,11952444.91731959
2026-04-12 19:00:00+00:00,SEIUSDT,SEI,USDT,220109355.0,11860526.5613685
2026-04-12 20:00:00+00:00,SEIUSDT,SEI,USDT,220201055.0,11820322.1680624
2026-04-12 21:00:00+00:00,SEIUSDT,SEI,USDT,220151702.0,11891465.56380874
2026-04-12 22:00:00+00:00,SEIUSDT,SEI,USDT,220350791.0,11873225.57318239
2026-04-12 23:00:00+00:00,SEIUSDT,SEI,USDT,220720898.0,11812982.46096
2026-04-13 00:00:00+00:00,SEIUSDT,SEI,USDT,220430101.0,11753332.98532
2026-04-13 01:00:00+00:00,SEIUSDT,SEI,USDT,220458355.0,11831999.91285
2026-04-13 02:00:00+00:00,SEIUSDT,SEI,USDT,220024062.0,11868368.53387626
2026-04-13 03:00:00+00:00,SEIUSDT,SEI,USDT,219721886.0,11816643.02908
2026-04-13 04:00:00+00:00,SEIUSDT,SEI,USDT,218857593.0,11763536.53219989
2026-04-13 05:00:00+00:00,SEIUSDT,SEI,USDT,219123230.0,11769178.8027336
2026-04-13 06:00:00+00:00,SEIUSDT,SEI,USDT,222102359.0,12030729.5311325
2026-04-13 07:00:00+00:00,SEIUSDT,SEI,USDT,221726373.0,12066349.21866
2026-04-13 08:00:00+00:00,SEIUSDT,SEI,USDT,220805562.0,11993756.26171716
2026-04-13 09:00:00+00:00,SEIUSDT,SEI,USDT,220309339.0,11876449.06537234
2026-04-13 10:00:00+00:00,SEIUSDT,SEI,USDT,220445665.0,11954768.41295
2026-04-13 11:00:00+00:00,SEIUSDT,SEI,USDT,220176438.0,11953378.81902
2026-04-13 12:00:00+00:00,SEIUSDT,SEI,USDT,221253104.0,12075994.41632
2026-04-13 13:00:00+00:00,SEIUSDT,SEI,USDT,221454735.0,12139072.3026879
2026-04-13 14:00:00+00:00,SEIUSDT,SEI,USDT,220963897.0,12175110.7247
2026-04-13 15:00:00+00:00,SEIUSDT,SEI,USDT,221196301.0,12213785.09250195
2026-04-13 16:00:00+00:00,SEIUSDT,SEI,USDT,220537322.0,12035266.38872534
2026-04-13 17:00:00+00:00,SEIUSDT,SEI,USDT,220863550.0,12105531.1755
2026-04-13 18:00:00+00:00,SEIUSDT,SEI,USDT,221262616.0,12083268.72894648
2026-04-13 19:00:00+00:00,SEIUSDT,SEI,USDT,221006790.0,12092114.6764983
2026-04-13 20:00:00+00:00,SEIUSDT,SEI,USDT,220867080.0,12216158.1948
2026-04-13 21:00:00+00:00,SEIUSDT,SEI,USDT,220427502.0,12064449.0608391
2026-04-13 22:00:00+00:00,SEIUSDT,SEI,USDT,219759476.0,12098381.07311708
2026-04-13 23:00:00+00:00,SEIUSDT,SEI,USDT,220093428.0,12446661.91409616
2026-04-14 00:00:00+00:00,SEIUSDT,SEI,USDT,218921239.0,12351536.30438
2026-04-14 01:00:00+00:00,SEIUSDT,SEI,USDT,220554581.0,12316356.68377127
2026-04-14 02:00:00+00:00,SEIUSDT,SEI,USDT,220896783.0,12332497.30436709
2026-04-14 03:00:00+00:00,SEIUSDT,SEI,USDT,220256581.0,12279962.95792719
2026-04-14 04:00:00+00:00,SEIUSDT,SEI,USDT,220420208.0,12279609.78768
2026-04-14 05:00:00+00:00,SEIUSDT,SEI,USDT,219213271.0,12181681.46947
2026-04-14 06:00:00+00:00,SEIUSDT,SEI,USDT,219080371.0,12154101.38787122
2026-04-14 07:00:00+00:00,SEIUSDT,SEI,USDT,219140016.0,12198336.95183328
2026-04-14 08:00:00+00:00,SEIUSDT,SEI,USDT,219685477.0,12188150.26396
