timestamp,symbol,base_asset,quote_asset,sum_open_interest,sum_open_interest_value
2026-04-05 20:00:00+00:00,SUPERUSDT,SUPER,USDT,23438151.0,2224280.5299
2026-04-05 21:00:00+00:00,SUPERUSDT,SUPER,USDT,23446326.0,2218022.4396
2026-04-05 22:00:00+00:00,SUPERUSDT,SUPER,USDT,23500800.0,2218475.52
2026-04-05 23:00:00+00:00,SUPERUSDT,SUPER,USDT,23503947.0,2237575.7544
2026-04-06 00:00:00+00:00,SUPERUSDT,SUPER,USDT,23569071.0,2262630.816
2026-04-06 01:00:00+00:00,SUPERUSDT,SUPER,USDT,23281148.0,2267583.8152
2026-04-06 02:00:00+00:00,SUPERUSDT,SUPER,USDT,23147194.0,2240834.25116782
2026-04-06 03:00:00+00:00,SUPERUSDT,SUPER,USDT,23031383.0,2246477.41279872
2026-04-06 04:00:00+00:00,SUPERUSDT,SUPER,USDT,22852825.0,2212153.46
2026-04-06 05:00:00+00:00,SUPERUSDT,SUPER,USDT,22889788.0,2220309.436
2026-04-06 06:00:00+00:00,SUPERUSDT,SUPER,USDT,23013747.0,2232333.459
2026-04-06 07:00:00+00:00,SUPERUSDT,SUPER,USDT,23081796.0,2238934.212
2026-04-06 08:00:00+00:00,SUPERUSDT,SUPER,USDT,22878529.0,2216929.4601
2026-04-06 09:00:00+00:00,SUPERUSDT,SUPER,USDT,22913473.0,2227189.5756
2026-04-06 10:00:00+00:00,SUPERUSDT,SUPER,USDT,22917003.0,2282533.4988
2026-04-06 11:00:00+00:00,SUPERUSDT,SUPER,USDT,22324926.0,2248735.0999113
2026-04-06 12:00:00+00:00,SUPERUSDT,SUPER,USDT,33887182.0,3637630.05681642
2026-04-06 13:00:00+00:00,SUPERUSDT,SUPER,USDT,40317267.0,4748623.34508846
2026-04-06 14:00:00+00:00,SUPERUSDT,SUPER,USDT,47507556.0,6004955.0784
2026-04-06 15:00:00+00:00,SUPERUSDT,SUPER,USDT,49879268.0,6323572.88921144
2026-04-06 16:00:00+00:00,SUPERUSDT,SUPER,USDT,48753085.0,6005354.79462245
2026-04-06 17:00:00+00:00,SUPERUSDT,SUPER,USDT,45862923.0,5650312.1136
2026-04-06 18:00:00+00:00,SUPERUSDT,SUPER,USDT,45824901.0,5636995.30834962
2026-04-06 19:00:00+00:00,SUPERUSDT,SUPER,USDT,43097157.0,5361286.3308
2026-04-06 20:00:00+00:00,SUPERUSDT,SUPER,USDT,42391541.0,5215563.12692251
2026-04-06 21:00:00+00:00,SUPERUSDT,SUPER,USDT,41781078.0,5093113.4082
2026-04-06 22:00:00+00:00,SUPERUSDT,SUPER,USDT,40496769.0,4936556.1411
2026-04-06 23:00:00+00:00,SUPERUSDT,SUPER,USDT,39683855.0,4646979.4205
2026-04-07 00:00:00+00:00,SUPERUSDT,SUPER,USDT,39866504.0,4646039.58550472
2026-04-07 01:00:00+00:00,SUPERUSDT,SUPER,USDT,40783299.0,4620747.7767
2026-04-07 02:00:00+00:00,SUPERUSDT,SUPER,USDT,40369482.0,4473282.14989182
2026-04-07 03:00:00+00:00,SUPERUSDT,SUPER,USDT,40001203.0,4433722.54019519
2026-04-07 04:00:00+00:00,SUPERUSDT,SUPER,USDT,41395350.0,4636279.2
2026-04-07 05:00:00+00:00,SUPERUSDT,SUPER,USDT,41596169.0,4629653.6097
2026-04-07 06:00:00+00:00,SUPERUSDT,SUPER,USDT,41160882.0,4510885.26935592
2026-04-07 07:00:00+00:00,SUPERUSDT,SUPER,USDT,40545026.0,4465356.70106528
2026-04-07 08:00:00+00:00,SUPERUSDT,SUPER,USDT,46980520.0,5665850.712
2026-04-07 09:00:00+00:00,SUPERUSDT,SUPER,USDT,52848801.0,6426414.2016
2026-04-07 10:00:00+00:00,SUPERUSDT,SUPER,USDT,50328004.0,6058699.51881704
2026-04-07 11:00:00+00:00,SUPERUSDT,SUPER,USDT,51609805.0,6121773.91868445
2026-04-07 12:00:00+00:00,SUPERUSDT,SUPER,USDT,52712309.0,6185204.88164319
2026-04-07 13:00:00+00:00,SUPERUSDT,SUPER,USDT,51058634.0,5792118.50203602
2026-04-07 14:00:00+00:00,SUPERUSDT,SUPER,USDT,49688321.0,5682905.44550705
2026-04-07 15:00:00+00:00,SUPERUSDT,SUPER,USDT,48105521.0,5493650.4982
2026-04-07 16:00:00+00:00,SUPERUSDT,SUPER,USDT,46760048.0,5410788.45346816
2026-04-07 17:00:00+00:00,SUPERUSDT,SUPER,USDT,44733004.0,5171135.2624
2026-04-07 18:00:00+00:00,SUPERUSDT,SUPER,USDT,44172747.0,5138611.2412353
2026-04-07 19:00:00+00:00,SUPERUSDT,SUPER,USDT,43181031.0,4987409.0805
2026-04-07 20:00:00+00:00,SUPERUSDT,SUPER,USDT,42948783.0,5035945.80705444
2026-04-07 21:00:00+00:00,SUPERUSDT,SUPER,USDT,42277592.0,4850373.68741744
2026-04-07 22:00:00+00:00,SUPERUSDT,SUPER,USDT,41467284.0,4781757.55783032
2026-04-07 23:00:00+00:00,SUPERUSDT,SUPER,USDT,40705865.0,4758515.6185
2026-04-08 00:00:00+00:00,SUPERUSDT,SUPER,USDT,41933173.0,5052947.3465
2026-04-08 01:00:00+00:00,SUPERUSDT,SUPER,USDT,41840043.0,5100301.2417
2026-04-08 02:00:00+00:00,SUPERUSDT,SUPER,USDT,41267515.0,5088284.5995
