iter	MultiClass
0	0.6927348705
1	0.6922882813
2	0.6918471472
3	0.6915108631
4	0.691208518
5	0.6909283449
6	0.6906291307
7	0.6903491378
8	0.6900944874
9	0.689871555
10	0.689534362
11	0.6893298048
12	0.6891135551
13	0.6889436391
14	0.6887839295
15	0.6886266111
16	0.6884510735
17	0.688281092
18	0.688098755
19	0.687979184
20	0.6878286715
21	0.687725734
22	0.6875690434
23	0.6874333131
24	0.6872738892
25	0.6871095863
26	0.6869735498
27	0.6868349204
28	0.6866771122
29	0.6865323592
30	0.686383341
31	0.6862971888
32	0.6861611244
33	0.686091376
34	0.6859747263
35	0.6858504818
36	0.6857365254
37	0.6856170301
38	0.6855234123
39	0.6854374377
40	0.6853438801
41	0.6852338246
42	0.6851571793
43	0.6850627856
44	0.6849706694
45	0.6848723555
46	0.6847318905
47	0.6846408531
48	0.6845628532
49	0.6844634569
50	0.6843866653
51	0.6842997343
52	0.684211594
53	0.684120511
54	0.6840825491
55	0.6840078342
56	0.683942751
57	0.6838442134
58	0.6837573052
59	0.6836640103
60	0.6835849597
61	0.6835198674
62	0.6834222623
63	0.6833588998
64	0.6832829147
65	0.6832049165
66	0.6831344012
67	0.6830416761
68	0.6829685239
69	0.6829140521
70	0.6828541651
71	0.6827980795
72	0.6827443704
73	0.6826814612
74	0.6826070658
75	0.6825459656
76	0.6824741064
77	0.6824125715
78	0.6823621059
79	0.6822984781
80	0.6822450197
81	0.6821866903
82	0.6821197507
83	0.6820610016
84	0.6820020082
85	0.6819504856
86	0.681900116
87	0.6817781001
88	0.681725416
89	0.6816784885
90	0.6816196667
91	0.6815706694
92	0.6815107916
93	0.6814745611
94	0.6814370262
95	0.6813572944
96	0.6813107555
97	0.6812547894
98	0.6812098308
99	0.6811413122
100	0.68109424
101	0.6810320354
102	0.6809846397
103	0.6809127367
104	0.6808568796
105	0.6807965288
106	0.68073634
107	0.6806813878
108	0.6806361453
109	0.680585644
110	0.6805544525
111	0.6804994691
112	0.6804541678
113	0.6804217997
114	0.6803752687
115	0.6803208913
116	0.6802572325
117	0.6801950536
118	0.680162664
119	0.6801122164
120	0.6800684438
121	0.6800297914
122	0.679963593
123	0.6799354101
124	0.6798857911
125	0.6798468913
126	0.6798095797
127	0.6797634537
128	0.6796787615
129	0.6796208202
130	0.6795893983
131	0.679529805
132	0.6794766178
133	0.6794011265
134	0.6793302795
135	0.6792947886
136	0.679236546
137	0.6791771414
138	0.6791315653
139	0.6790915192
140	0.6790456853
141	0.679002166
142	0.6789567346
143	0.6788878778
144	0.6788187335
145	0.6787754266
146	0.6787377147
147	0.6786852499
148	0.6786398997
149	0.6785971012
150	0.6785417272
151	0.6784992836
152	0.6784694408
153	0.6784171129
154	0.6783594762
155	0.6782944784
156	0.6782675871
157	0.6782238664
158	0.6781555537
159	0.6781190304
160	0.6780662094
161	0.6780166428
162	0.677974262
163	0.6779385894
164	0.6778957444
165	0.6778667923
166	0.6778195852
167	0.6777827742
168	0.6777343756
169	0.6777035172
170	0.6776645751
171	0.6776269747
172	0.6775665343
173	0.6775325984
174	0.6774953589
175	0.6774478221
176	0.6773887416
177	0.6773251217
178	0.677274894
179	0.6772331946
180	0.6771740638
181	0.6771214259
182	0.6770831379
183	0.6770330237
184	0.6769774824
185	0.6769251486
186	0.6768738136
187	0.6768124541
188	0.6767541606
189	0.6767146485
190	0.6766567538
191	0.6766107207
192	0.676571188
193	0.6765362451
194	0.6764917508
195	0.6764558274
196	0.6764172133
197	0.6763836924
198	0.6763391235
199	0.6763042893
200	0.6762505158
201	0.6762262359
202	0.6761745205
203	0.6761250922
204	0.6760825441
205	0.6760544311
206	0.6760066766
207	0.6759665525
208	0.6759312465
209	0.6759022689
210	0.6758594042
211	0.6758301578
212	0.6757759405
213	0.6757148958
214	0.6756547398
215	0.6755890154
216	0.6755387779
217	0.6755115653
218	0.6754401584
219	0.6753901982
220	0.6753289145
221	0.6752954201
222	0.6752459957
223	0.6751983091
224	0.6751377754
225	0.6750811548
226	0.675044314
227	0.674999598
228	0.6749568327
229	0.6749158408
230	0.6748651492
231	0.6748252244
232	0.6747708819
233	0.6747414256
234	0.6746819204
235	0.6746517223
236	0.6746109902
237	0.6745466085
238	0.6744994006
239	0.6744607501
240	0.6744196315
241	0.6743672434
242	0.6743266545
243	0.6742318143
244	0.6742080439
245	0.6741363657
246	0.6740593984
247	0.6740118967
248	0.6739481433
249	0.6738718549
250	0.673826034
251	0.673782002
252	0.6737336535
253	0.673655395
254	0.6735951417
255	0.6735453244
256	0.6734997431
257	0.6734426172
258	0.6734017648
259	0.6733362991
260	0.673275919
261	0.6732125676
262	0.6731710676
263	0.6731297413
264	0.673075744
265	0.673038631
266	0.6729784198
267	0.6729118426
268	0.6728618462
269	0.6728197512
270	0.6727683845
271	0.6726950677
272	0.6726441088
273	0.6725853559
274	0.6725356553
275	0.6724886917
276	0.6724458821
277	0.6723952583
278	0.6723332748
279	0.6722882976
280	0.6722409216
281	0.6721795966
282	0.6721219572
283	0.6720505877
284	0.6719612477
285	0.6718923104
286	0.6718366923
287	0.6717882571
288	0.6717433093
289	0.6716915502
290	0.6716194078
291	0.6715475173
292	0.6714980492
293	0.6714301042
294	0.6713610781
295	0.6712783528
296	0.6712285467
297	0.6711630491
298	0.6710938367
299	0.6710308656
300	0.6709878004
301	0.6709309489
302	0.6708456405
303	0.6707843053
304	0.6707173878
305	0.670690661
306	0.6706264451
307	0.6705812194
308	0.6705318866
309	0.6704576619
310	0.6704084774
311	0.6703436928
312	0.6702642338
313	0.6701815956
314	0.6701022475
315	0.6700622914
316	0.6700019821
317	0.6699359709
318	0.6698857208
319	0.6698243631
320	0.6697704044
321	0.6697030267
322	0.6696651337
323	0.6695915595
324	0.6695377381
325	0.669489519
326	0.6694137762
327	0.6693414028
328	0.6692938576
329	0.6692382647
330	0.6692006845
331	0.6691457818
332	0.6690835418
333	0.6690217942
334	0.6689643076
335	0.6689158751
336	0.6688543946
337	0.668794244
338	0.6687458189
339	0.6686915622
340	0.6686527776
341	0.6685911137
342	0.6685538329
343	0.6685061054
344	0.6684551399
345	0.6684015034
346	0.6683227043
347	0.6682600376
348	0.6682226176
349	0.6681702102
350	0.6681114861
351	0.6680582277
352	0.668011995
353	0.6679515215
354	0.6678605626
355	0.6678029184
356	0.6677401348
357	0.6676853114
358	0.6676410504
359	0.6675865013
360	0.6675403975
361	0.6674740896
362	0.6673951743
363	0.6673346027
364	0.6672899758
365	0.6672353687
366	0.6671763376
367	0.6671092027
368	0.6670412501
369	0.6669896525
370	0.6669233178
371	0.6668785167
372	0.6668372997
373	0.6667903368
374	0.6667303011
375	0.6666841424
376	0.6666266887
377	0.6665895077
378	0.6665244511
379	0.6664750552
380	0.6664144492
381	0.66636639
382	0.6663273449
383	0.6662956503
384	0.6662380436
385	0.6661824246
386	0.6661205998
387	0.6660684977
388	0.6660295735
389	0.6659792197
390	0.6659310663
391	0.6658832673
392	0.6658338877
393	0.6657632536
394	0.6657183237
395	0.665668754
396	0.665609933
397	0.6655774019
398	0.6655233627
399	0.6654806605
400	0.6654093284
401	0.6653683485
402	0.6652985494
403	0.6652459368
404	0.6651721895
405	0.6651319801
406	0.6650789132
407	0.66503652
408	0.664999024
409	0.6649607391
410	0.6649175843
411	0.6648765227
412	0.6648304653
413	0.6647740778
414	0.6647426668
415	0.6646919875
416	0.6646387142
417	0.6646061649
418	0.6645615258
419	0.6645010993
420	0.6644617255
421	0.6644026506
422	0.6643494389
423	0.6642845122
424	0.6642374536
425	0.6641957193
426	0.6641677605
427	0.6641240756
428	0.6640679588
429	0.6640240307
430	0.663994556
431	0.6639527295
432	0.6639219462
433	0.6638807657
434	0.6638022048
435	0.6637481029
436	0.6636984856
437	0.6636549618
438	0.6636021115
439	0.6635309268
440	0.6634899411
441	0.6634496611
442	0.6633739801
443	0.663322177
444	0.6632843473
445	0.6632056121
446	0.6631676228
447	0.6631062726
448	0.6630725389
449	0.6630310941
450	0.6629748467
451	0.6629231363
452	0.6628900504
453	0.6628476423
454	0.662807857
455	0.6627412482
456	0.662685252
457	0.6626388081
458	0.6625831277
459	0.6625297674
460	0.6624818388
461	0.6624221972
462	0.6623839376
463	0.662333263
464	0.6622919484
465	0.6622252776
466	0.6621935964
467	0.6621636095
468	0.662125672
469	0.6620650075
470	0.662013864
471	0.6619550367
472	0.6619091643
473	0.6618496848
474	0.6618006564
475	0.6617631974
476	0.6617116077
477	0.6616778433
478	0.6616138624
479	0.6615705846
480	0.6615190015
481	0.6614706595
482	0.6614154245
483	0.6613749701
484	0.6613247391
485	0.6612792641
486	0.6612447924
487	0.6612059357
488	0.6611773111
489	0.6611388321
490	0.6610873143
491	0.6610429108
492	0.6610034301
493	0.6609685993
494	0.6609417221
495	0.6608907175
496	0.6608431179
497	0.6607932338
498	0.6607579234
499	0.6607113252
