iter	Passed	Remaining
0	61	30867
1	139	34642
2	217	36101
3	284	35266
4	353	35043
5	427	35198
6	497	35052
7	575	35375
8	649	35417
9	713	34958
10	777	34584
11	850	34583
12	921	34506
13	986	34241
14	1055	34128
15	1125	34061
16	1189	33789
17	1255	33624
18	1331	33695
19	1390	33375
20	1458	33268
21	1521	33054
22	1582	32823
23	1652	32779
24	1730	32884
25	1804	32892
26	1871	32780
27	1934	32609
28	2005	32572
29	2073	32489
30	2147	32485
31	2203	32225
32	2273	32179
33	2337	32034
34	2395	31831
35	2452	31610
36	2506	31365
37	2566	31198
38	2627	31057
39	2685	30883
40	2739	30668
41	2808	30625
42	2869	30492
43	2921	30280
44	2975	30087
45	3050	30111
46	3119	30065
47	3172	29877
48	3230	29735
49	3296	29669
50	3360	29584
51	3414	29418
52	3470	29273
53	3528	29146
54	3591	29057
55	3660	29021
56	3716	28888
57	3773	28758
58	3844	28732
59	3919	28739
60	3978	28635
61	4035	28510
62	4103	28465
63	4165	28375
64	4231	28318
65	4285	28182
66	4354	28141
67	4423	28099
68	4492	28060
69	4554	27976
70	4610	27857
71	4663	27721
72	4721	27618
73	4778	27510
74	4833	27389
75	4892	27297
76	4957	27235
77	5019	27159
78	5071	27024
79	5140	26989
80	5199	26893
81	5261	26821
82	5324	26750
83	5385	26672
84	5454	26632
85	5508	26515
86	5562	26408
87	5626	26344
88	5679	26229
89	5744	26167
90	5809	26112
91	5857	25978
92	5917	25897
93	5975	25809
94	6034	25726
95	6089	25627
96	6141	25514
97	6205	25455
98	6262	25365
99	6314	25256
100	6378	25197
101	6435	25111
102	6502	25064
103	6569	25012
104	6632	24949
105	6685	24851
106	6744	24772
107	6814	24735
108	6871	24648
109	6936	24594
110	6994	24511
111	7048	24419
112	7106	24337
113	7169	24277
114	7226	24192
115	7290	24134
116	7350	24062
117	7422	24028
118	7472	23924
119	7535	23863
120	7593	23784
121	7653	23713
122	7719	23660
123	7772	23569
124	7831	23495
125	7885	23405
126	7948	23346
127	8009	23278
128	8077	23229
129	8133	23149
130	8180	23042
131	8245	22987
132	8304	22914
133	8359	22832
134	8418	22761
135	8473	22680
136	8529	22599
137	8600	22560
138	8654	22476
139	8708	22394
140	8788	22375
141	8849	22311
142	8914	22253
143	8976	22191
144	9049	22154
145	9101	22068
146	9153	21980
147	9225	21942
148	9284	21871
149	9334	21781
150	9394	21712
151	9456	21651
152	9514	21579
153	9573	21509
154	9637	21450
155	9697	21383
156	9743	21286
157	9812	21239
158	9872	21172
159	9944	21131
160	10013	21084
161	10077	21025
162	10132	20949
163	10184	20866
164	10234	20779
165	10285	20695
166	10346	20631
167	10399	20550
168	10465	20497
169	10523	20427
170	10576	20349
171	10624	20261
172	10677	20182
173	10743	20128
174	10805	20067
175	10856	19985
176	10926	19938
177	10987	19876
178	11049	19815
179	11098	19730
180	11157	19664
181	11222	19609
182	11293	19563
183	11359	19509
184	11422	19449
185	11487	19392
186	11549	19330
187	11608	19265
188	11677	19215
189	11738	19151
190	11792	19078
191	11848	19007
192	11905	18937
193	11979	18894
194	12034	18823
195	12094	18759
196	12151	18689
197	12216	18633
198	12276	18568
199	12335	18503
200	12396	18440
201	12454	18374
202	12516	18312
203	12569	18238
204	12625	18167
205	12679	18096
206	12732	18022
207	12787	17952
208	12845	17886
209	12903	17818
210	12952	17740
211	13003	17665
212	13072	17614
213	13144	17567
214	13212	17514
215	13273	17452
216	13331	17386
217	13380	17308
218	13440	17245
219	13496	17176
220	13566	17126
221	13631	17069
222	13693	17010
223	13763	16959
224	13829	16902
225	13894	16845
226	13953	16781
227	14007	16710
228	14072	16653
229	14131	16588
230	14203	16540
231	14262	16475
232	14321	16411
233	14369	16334
234	14433	16275
235	14490	16209
236	14546	16142
237	14608	16081
238	14668	16018
239	14716	15942
240	14769	15872
241	14819	15799
242	14872	15729
243	14930	15665
244	14986	15598
245	15058	15548
246	15123	15490
247	15177	15422
248	15240	15363
249	15304	15304
250	15352	15230
251	15406	15162
252	15463	15097
253	15522	15033
254	15580	14969
255	15637	14904
256	15692	14837
257	15740	14764
258	15799	14701
259	15858	14638
