variant,run_id,policy_rollout,selector,strategy_id,deploy_rank_threshold,threshold_candidate_rows,selected_trades,hit_rate,mean_gross_trade,mean_net_trade,net_pnl,max_drawdown,sortino,avg_holding_hours,selected_feature_count,policy_json_exists
rollout_on_new,20260522_101001,True,new,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.84,1331,2542,0.560582218725413,0.0031118381302803755,0.0026705896016210318,6.788638591766357,-0.062166690826416016,1.4377052783966064,3.651652242328875,455,True
rollout_off_new,20260522_101002,False,new,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.94,1818,3232,0.43842821782178215,0.002143851714208722,0.0016964287497103214,5.482857704162598,-0.1217491626739502,0.8837049603462219,2.204285272277228,458,True
rollout_on_old_selector,20260522_101003,True,old,short_loc_ema_stack_pos_24_0_43357179_compression_ratio_-0_33411601_mkt_ret_eq_24h_1_1280091_mkt_ret_eq_24h_-0_81129736_up_down_semivol_ratio_tanh_-0_39156261,0.88,1347,1864,0.8599785407725322,0.004048724193125963,0.0036027231253683567,6.715476036071777,-0.11776256561279297,0.403341144323349,5.1900482832618025,458,True
