group,raw_source_features,generated_booleans,retained,dropped,drop_reason_all_zeros,drop_reason_all_ones,drop_reason_low_support,drop_reason_duplicate,support_min,support_p25,support_median,support_p75,support_max
regime,39,543,540,3,3,0,0,0,36612.0,48816.0,61020.0,85428.0,97632.0
location,45,675,675,0,0,0,0,0,36612.0,48816.0,61020.0,85428.0,97632.0
