fold_id,seed,best_iteration,best_val_metric,max_depth,num_leaves,min_data_in_leaf,objective,alpha,metric,target_type,target_name,horizon,total_splits,total_gain,is_healthy_fold,health_reason
0,42,11,,6,64,34,quantile,0.9,quantile,quantile,target_eff,3,99,63.681305,True,healthy
1,42,4,,6,64,44,quantile,0.9,quantile,quantile,target_eff,3,36,28.9563,True,healthy
2,42,1,,6,64,44,quantile,0.9,quantile,quantile,target_eff,3,9,6.9929047,False,low_iterations_or_gain
