fold_id,seed,group,used_feature_count,split_count
0,42,location,44,1164
0,42,regime,128,3263
1,42,location,39,236
1,42,regime,101,547
2,42,location,35,177
2,42,regime,85,361
3,42,location,40,232
3,42,regime,96,574
4,42,location,44,1028
4,42,regime,128,2837
