canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(*)|(mark_vs_perp_bps>-0.45159915&oiw_entry_zone_1d_atr<=0.54085147&price_trend_10d_vol_norm>-0.046245616&range_24h_pct>0.05600458),4,4,regime,compression|open_interest|perp_tradeability,,compression|open_interest|perp_tradeability
(*)|(*)|(mark_vs_perp_bps>-0.45159915&oiw_entry_zone_1d_atr>0.54085147&range_24h_pct>0.05600458),3,3,regime,compression|perp_tradeability,,compression|perp_tradeability
(*)|(*)|(asset_atr_level_pct<=0.45981362&compression_score>-0.66483092&oi_value_log_1d_robust_z<=-0.094966814),3,3,regime,asset_state|open_interest|volatility_term_structure,,asset_state|open_interest|volatility_term_structure
(*)|(*)|(asset_atr_level_pct>0.45981362&mark_perp_dislocation<=0.00020719718&range_24h_pct>0.10141677),3,3,regime,asset_state|compression|perp_tradeability,,asset_state|compression|perp_tradeability
(*)|(*)|(asset_atr_level_pct<=0.69842267&mark_vs_perp_bps>-0.56352586&range_24h_pct>0.04612419&volume_percentile<=-0.10103907),4,4,regime,asset_state|compression|liquidity|perp_tradeability,,asset_state|compression|liquidity|perp_tradeability
(*)|(loc_prior_bar_pos_24<=0.55482817)|(asset_atr_level_pct<=0.65255934&compression_ratio>-0.34620368&mark_vs_perp_bps<=1.2582736),4,4,location|regime,asset_state|perp_tradeability|volatility_term_structure,context,asset_state|context|perp_tradeability|volatility_term_structure
(*)|(dist_prior_day_high>0.010264173)|(oi_value_log_7d_robust_z>-0.036916688&range_24h_pct<=0.053906515),3,3,location|regime,compression|open_interest,context,compression|context|open_interest
(*)|(dist_local_swing>0.000083999941&dist_prior_day_high<=0.035611145)|(mark_vs_perp_bps<=-0.26617664&volume_zscore_48h>-0.4254286),4,4,location|regime,liquidity|perp_tradeability,context,context|liquidity|perp_tradeability
(*)|(dist_prior_day_high>0.035611145&zscore_price_200<=-1.2193063)|(mark_vs_perp_bps>0.2091334),3,3,location|regime,perp_tradeability,context,context|perp_tradeability
(*)|(loc_prior_bar_pos_24<=0.13340992)|(asset_atr_level_pct<=0.7533145&mark_vs_perp_bps<=1.5349163&true_range_percentile>-0.74859697),4,4,location|regime,asset_state|perp_tradeability|volatility,context,asset_state|context|perp_tradeability|volatility
(*)|(*)|(asset_atr_level_pct>0.7533145&mark_vs_perp_bps<=1.5349163),2,2,regime,asset_state|perp_tradeability,,asset_state|perp_tradeability
(*)|(dist_prior_day_high>0.054249465)|(mark_perp_dislocation>0.0025128059),2,2,location|regime,perp_tradeability,context,context|perp_tradeability
(*)|(*)|(mark_vs_perp_bps<=1.4358162&ob_pressure_mkt_resid>-0.00000000000000000000000000000000001&prior_volatility<=-0.29997462),3,3,regime,context|perp_tradeability|residual,,context|perp_tradeability|residual
(*)|(*)|(ema_slope_norm<=-0.50526786&log_oi_to_volume_7d<=1.1391609&mark_vs_perp_bps>1.4358162&range_24h_pct>0.037652738),4,4,regime,compression|open_interest|perp_tradeability|trend,,compression|open_interest|perp_tradeability|trend
(*)|(dist_ema50_atr<=-0.01031049)|(mark_perp_dislocation>0.00075546151&range_24h_pct>0.055670146),3,3,location|regime,compression|perp_tradeability,context,compression|context|perp_tradeability
(*)|(*)|(asset_atr_level_pct>0.60879207&dist_oiw_signed_delta_12h_atr>-0.13214964&mark_vs_perp_bps<=1.9979224&ob_pressure_mkt_resid>-0.0014901161),4,4,regime,asset_state|perp_tradeability|residual,,asset_state|perp_tradeability|residual
(*)|(dist_local_swing>0.00000051999905)|(mark_vs_perp_bps<=-0.93523377&prior_range>0.49459225),3,3,location|regime,context|perp_tradeability,context,context|perp_tradeability
(*)|(dist_prior_day_high>0.024339255&zscore_price_200<=-1.1809741)|(asset_atr_level_pct<=0.85685194&mark_vs_perp_bps>-0.93523377),4,4,location|regime,asset_state|perp_tradeability,context,asset_state|context|perp_tradeability
(*)|(dist_local_swing>0.00018699933)|(asset_vol_level_pct<=0.45778319&mark_vs_perp_bps<=-1.2767651),3,3,location|regime,asset_state|perp_tradeability,context,asset_state|context|perp_tradeability
(*)|(dist_prior_day_high<=0.083850026&zscore_price_50<=-0.66058332)|(atr_compression_ratio>-0.58927143&mark_vs_perp_bps>-1.2767651),4,4,location|regime,perp_tradeability|volatility_term_structure,context,context|perp_tradeability|volatility_term_structure
(*)|(zscore_price_200<=-0.96405494)|(asset_atr_level_pct>0.65255934&funding_persistence<=0.71130955),3,3,location|regime,asset_state|funding,context,asset_state|context|funding
(*)|(zscore_price_200>-0.96405494)|(asset_atr_level_pct>0.65255934&funding_persistence<=0.71130955),3,3,location|regime,asset_state|funding,context,asset_state|context|funding
(*)|(*)|(log_oi_to_volume_7d<=0.36983597&ob_pressure_mkt_resid>-0.0020861626&price_rv_10d_robust_z<=0.34027925&rolling_range_20>-0.23090154),4,4,regime,compression|open_interest|residual,,compression|open_interest|residual
(*)|(*)|(mark_perp_dislocation>-0.00000000000000000000000000000000001&prior_volatility<=-0.5853911&range_24h_pct<=0.057273265),3,3,regime,compression|context|perp_tradeability,,compression|context|perp_tradeability
(*)|(dist_prior_day_high>0.042658377)|(price_trend_15d_vol_norm<=-0.075932279),2,2,location|regime,open_interest,context,context|open_interest
(*)|(dist_prior_day_high>0.042658377)|(dist_oiw_intensity_96h_atr>-0.82763273&price_trend_15d_vol_norm>-0.075932279),3,3,location|regime,open_interest|perp_tradeability,context,context|open_interest|perp_tradeability
(*)|(loc_pullback_depth_48<=0.2799933&loc_swing_range_pos_24>0.20312448)|(asset_atr_level_pct<=0.72830784&mark_vs_perp_bps<=-0.095183425),4,4,location|regime,asset_state|perp_tradeability,context|path_structure,asset_state|context|path_structure|perp_tradeability
(*)|(dist_prior_day_high>0.043478295)|(mark_vs_perp_bps>-0.46535444&price_rv_15d_robust_z>0.11135002),3,3,location|regime,open_interest|perp_tradeability,context,context|open_interest|perp_tradeability
(*)|(bars_in_high_vol_state_log_norm<=-0.32014635&dist_prior_day_high>0.0232067)|(mark_vs_perp_bps>0.097908519&ob_imbalance_mkt_resid>-0.0020861626),4,4,location|regime,perp_tradeability|residual,context,context|perp_tradeability|residual
(*)|(dist_prior_day_high>0.038610082&zscore_price_200<=-1.4350134)|(*),2,2,location,,context,context
(*)|(dist_prior_day_high>0.038610082&zscore_price_200>-1.4350134)|(dist_oiw_intensity_96h_atr>-0.75332427),3,3,location|regime,perp_tradeability,context,context|perp_tradeability
