y_ret,t_start,t_end,comp_A,comp_B,stage,x_rv_2h,x_ret2h,x_junk,unused_col
0.44023008753638426,2023-01-01 00:00:00,2023-01-01 01:00:00,0.994051397406485,0.5863246517204203,base,-0.5037899055416062,-2.2457239044479214,1.352453849087579,0.8322320735613594
-1.7328610734551846,2023-01-01 01:00:00,2023-01-01 02:00:00,0.23698880388000365,0.9596747765381406,base,0.8624694802614361,-2.2154652936862234,-0.4386649802947185,-0.7554967074058924
1.73960539148359,2023-01-01 02:00:00,2023-01-01 03:00:00,0.18224667438870423,0.7250656757587194,base,0.5643709129192754,-0.6216788305487662,0.7025610737509466,1.0949379592314123
-1.3023911869219533,2023-01-01 03:00:00,2023-01-01 04:00:00,0.3152451200008535,0.4170663725287642,base,0.6283519337841892,1.07652487414652,0.21860649825830744,-0.5488919572289084
-0.4595724914134354,2023-01-01 04:00:00,2023-01-01 05:00:00,0.392278526787578,0.9020741440944177,base,-0.17793883001761468,0.8259501974948882,-0.5956974149291335,0.3411007074196997
-0.39590391829820276,2023-01-01 05:00:00,2023-01-01 06:00:00,0.25763242719718016,0.8755748928110381,base,1.1902941767086193,1.1129997121207957,-1.1556488970474545,3.437954672110104
-0.21030155625248423,2023-01-01 06:00:00,2023-01-01 07:00:00,0.7477419012154551,0.32883064508978266,base,-0.985502719628039,0.29211301893756764,-0.07647427325779733,3.4616532785331513
-0.9464150596329827,2023-01-01 07:00:00,2023-01-01 08:00:00,0.4257480497818583,0.5679943574804395,base,0.9432179106784445,0.4687136951344811,1.1815000529587991,1.2258828920856457
-0.3309302827863391,2023-01-01 08:00:00,2023-01-01 09:00:00,0.7922437360916664,0.9636373342603147,base,2.126639591129814,-1.575673312059568,0.5080772367550838,0.1721611726360925
-0.4357607688064965,2023-01-01 09:00:00,2023-01-01 10:00:00,0.5486787679487525,0.7070831642757428,base,0.2733703366221544,0.4912490611355737,-0.886507533592994,-0.9420501657592576
-0.33121333728285934,2023-01-01 10:00:00,2023-01-01 11:00:00,0.8595654919006646,0.5159156470146558,base,0.100753302061198,-0.47738688610766505,-0.6131216935316172,-0.7891640357311904
0.5506052714739519,2023-01-01 11:00:00,2023-01-01 12:00:00,0.38926807744085756,0.18367430559374243,base,0.31196180336198737,0.9213186365094127,-0.11097651197204678,-1.0725742222963621
-0.6836715061852521,2023-01-01 12:00:00,2023-01-01 13:00:00,0.7960434349352172,0.9994824945564442,base,-0.14114749996214107,-0.6360741923530348,0.4681412511703289,-1.556275564562537
0.2600608098491318,2023-01-01 13:00:00,2023-01-01 14:00:00,0.0666978337314107,0.6266997576370583,base,0.32381089115411715,-0.2685697314060483,-0.6072412970880912,-1.3783220706351884
-0.8570124100175807,2023-01-01 14:00:00,2023-01-01 15:00:00,0.962033567762402,0.7214604215987941,base,0.4224836620905599,1.0543023367632174,2.4487300443117137,-0.42384338039288627
-0.9944442231167809,2023-01-01 15:00:00,2023-01-01 16:00:00,0.6487509492988518,0.705472975608485,base,-2.0361984067657413,-0.719981688752514,-0.12602002894454445,0.1859825290840885
0.23595284081084905,2023-01-01 16:00:00,2023-01-01 17:00:00,0.16031706905036114,0.23596138464336847,base,-0.5075357869834742,0.9274313084862945,1.2837378019097077,1.2622447513494714
-0.8260207946602134,2023-01-01 17:00:00,2023-01-01 18:00:00,0.8000676720934363,0.04331338851750943,base,-0.2459720365452851,1.2649981314160228,0.4731278796818277,-1.4011257546560434
-0.24426391165745584,2023-01-01 18:00:00,2023-01-01 19:00:00,0.3032952894181723,0.19021348316616526,base,1.194981013299903,0.0874742605891238,-0.9990714917849325,-0.866586508329286
-0.26003853418838757,2023-01-01 19:00:00,2023-01-01 20:00:00,0.3875792011529253,0.8875469476436925,base,-0.47683108808794245,1.0350516327216417,-0.33087452156665303,-0.40601578204064664
-1.3085458399340926,2023-01-01 20:00:00,2023-01-01 21:00:00,0.8862194204759253,0.23774224636896757,base,-1.1286126180581157,-0.5454192244631211,-0.6792822209471963,0.06992813707438099
0.13684290536963853,2023-01-01 21:00:00,2023-01-01 22:00:00,0.583383649242884,0.9012911837410139,base,-1.658127865456437,-0.6433093684899768,0.7981520714116642,-2.1384497549491965
1.2197605651518209,2023-01-01 22:00:00,2023-01-01 23:00:00,0.6865034232298122,0.5227815260386889,base,-0.9292453802761046,2.25027810133929,-0.7907169672475032,-0.9712399982799145
0.38056937645477806,2023-01-01 23:00:00,2023-01-02 00:00:00,0.885496244805921,0.9440376511739974,base,0.4071065181652727,1.1315892016848013,0.46134040119149694,1.2301015376084552
-0.9035384786161123,2023-01-02 00:00:00,2023-01-02 01:00:00,0.049471252089179574,0.57553380271854,base,-0.0605151024505057,-1.437901148172095,0.2913524675639544,0.6806348670676572
0.3311940932818189,2023-01-02 01:00:00,2023-01-02 02:00:00,0.017688076732169655,0.7074140459174584,base,0.8622447165256191,1.8358461654865348,-1.717328343207471,-2.1500773233368644
-0.7961546918738832,2023-01-02 02:00:00,2023-01-02 03:00:00,0.0815171687143098,0.1799801514721684,base,0.6035963370997313,-0.4111428866523163,-0.33089959514907474,0.9532653836316556
0.9557167200932485,2023-01-02 03:00:00,2023-01-02 04:00:00,0.16783473353822964,0.38482663732769407,base,1.634862177305415,-0.39666261453899615,-1.0831477129946019,-0.6015025207036696
-0.48084908385393105,2023-01-02 04:00:00,2023-01-02 05:00:00,0.46410343199463444,0.4294788548098817,base,-0.017797881778150594,1.196250861325906,-1.4511862611525208,-0.22112776539828055
3.417832228876292,2023-01-02 05:00:00,2023-01-02 06:00:00,0.3857896291456976,0.644427086943964,base,-0.6144775612155714,3.0690968036494075,0.38736532380941435,0.05877632409650064
0.3176891023762096,2023-01-02 06:00:00,2023-01-02 07:00:00,0.977172424029498,0.5100201345416816,base,-0.6221842347934353,0.10371582813132878,-0.5734143822544016,-0.6004116491361228
0.8464329741642355,2023-01-02 07:00:00,2023-01-02 08:00:00,0.020625796805875618,0.6430931628150042,base,-0.4029494698240141,-1.2066089020237392,0.13054976157450962,-1.1748929423559324
-0.5692563583760458,2023-01-02 08:00:00,2023-01-02 09:00:00,0.1419034166709836,0.4949095361589436,base,-0.3549312128928399,0.28666541256459993,-1.1469325103320023,0.4457771377779397
0.5105099699957061,2023-01-02 09:00:00,2023-01-02 10:00:00,0.6006293617841096,0.8525594543351425,base,-0.4301494462146061,0.111044268816305,2.1470298619264083,0.37638996088066096
-0.40232257048956327,2023-01-02 10:00:00,2023-01-02 11:00:00,0.6281669748346396,0.47355409237961454,base,0.6154895958093608,-0.026059200672057557,1.7965973705727925,-0.18550051065105183
-0.1412656275922364,2023-01-02 11:00:00,2023-01-02 12:00:00,0.4846343076798202,0.5785239603394915,base,-2.666412347282435,1.7091761765804074,1.9658315074297115,-0.40098406664237796
-0.004435331548618982,2023-01-02 12:00:00,2023-01-02 13:00:00,0.8423708101355322,0.6577194191171142,base,-0.0964633114549084,-0.7368360559609128,-1.0650118801680353,1.0989329365454599
0.5296133486081436,2023-01-02 13:00:00,2023-01-02 14:00:00,0.695753619154077,0.9950426600237935,base,-1.3527406329712854,1.3417881182165499,0.5890630615720841,0.2639779062086054
-3.102017226340208,2023-01-02 14:00:00,2023-01-02 15:00:00,0.6470330637572466,0.6292221135921157,base,0.18642684659258194,-1.6603166386478978,-1.1805424208156983,1.5572526671112603
0.3229634986213725,2023-01-02 15:00:00,2023-01-02 16:00:00,0.9144922982435235,0.49879709553634644,base,-0.8983566803721095,-0.7256823501144105,-0.04424429709016826,-0.9506929286902182
-1.5300052292365183,2023-01-02 16:00:00,2023-01-02 17:00:00,0.9309985429479908,0.16998848582247594,base,-0.8790406904892986,1.3375869117809505,-0.5480406992807976,-0.631903082436257
0.8399921441576468,2023-01-02 17:00:00,2023-01-02 18:00:00,0.09837684174091188,0.19625436928799644,base,1.447016722329394,-1.9875642959844622,-0.6777123843309667,-1.0364629764095759
-0.6553565308958357,2023-01-02 18:00:00,2023-01-02 19:00:00,0.3910622683683076,0.8121102970413664,base,-0.14457069633713077,0.1437780211388892,2.260144476310427,-1.1985548892846276
-0.3364523324585568,2023-01-02 19:00:00,2023-01-02 20:00:00,0.740012842703047,0.7167368357162057,base,-0.5083908348091488,0.10453975688387311,-1.8554282820072776,1.0080433160050704
0.7025961246095186,2023-01-02 20:00:00,2023-01-02 21:00:00,0.934113674551203,0.6472166712712425,base,-0.6889024108629354,0.7588987696414866,-2.4763621309463217,0.1732866333586826
