metric,value,filter_type
volume_kalman_snr_improvement,16641.052008354272,volume
volume_kalman_noise_reduction,0.9999399110540486,volume
volume_kalman_smoothness_ratio,0.9547581969072423,volume
volume_kalman_tracking_rmse,91.33473934114286,volume
volume_kalman_high_freq_reduction,0.05609929672417302,volume
volume_kalman_low_freq_preservation,0.9999393811267506,volume
moving_average_snr_improvement,381.4761309472342,moving
moving_average_noise_reduction,0.9973813763353568,moving
moving_average_smoothness_ratio,0.002507369947901683,moving
moving_average_tracking_rmse,603.2490498341948,moving
moving_average_high_freq_reduction,0.6199881113983567,moving
moving_average_low_freq_preservation,0.9991207048871471,moving
fisher_snr_improvement,9.970897975043868e-09,fisher
fisher_noise_reduction,1.2373602027437869e-06,fisher
fisher_smoothness_ratio,1.075915776338957e-05,fisher
fisher_tracking_rmse,100077.62767431754,fisher
fisher_high_freq_reduction,0.9999931240383904,fisher
fisher_low_freq_preservation,8.492969678094276e-09,fisher
