regime_families_combo,count
volatility,2990
trend|volatility,2708
trend|volatility|volatility_term_structure,302
volatility|volatility_term_structure,280
,76
compression|volatility,10
trend,9
volatility_term_structure,9
path_structure|volatility,8
compression|trend|volatility,6
path_structure|volatility|volatility_term_structure,2
