fold_id,seed,regime_family,gain,split
0,42,asset_relative_funding,2.05783,1.0
0,42,asset_relative_return,1595.5466,118.0
0,42,asset_state,162.94562,15.0
0,42,compression,285.45837,36.0
0,42,context,218.45065,20.0
0,42,cross_sectional,40.37479,4.0
0,42,crowding,9.03824,4.0
0,42,funding,211.33679,36.0
0,42,liquidity,269.94104,33.0
0,42,momentum,161.11484,18.0
0,42,open_interest,4767.3467,418.0
0,42,orderbook,221.37386,23.0
0,42,path_structure,418.4352,46.0
0,42,perp_carry,346.83194,37.0
0,42,perp_tradeability,1624.0625,209.0
0,42,residual,1983.5413,198.0
0,42,trend,121.85,11.0
0,42,volatility,582.2003,56.0
0,42,volatility_term_structure,317.50876,29.0
1,42,asset_relative_funding,2.81237,1.0
1,42,asset_relative_return,1583.7587,159.0
1,42,asset_state,217.47632,23.0
1,42,compression,223.03862,34.0
1,42,context,129.30482,16.0
1,42,cross_sectional,1.2828,1.0
1,42,crowding,13.57424,2.0
1,42,funding,229.29443,47.0
1,42,liquidity,250.15239,38.0
1,42,momentum,84.79266,16.0
1,42,open_interest,4049.3296,431.0
1,42,orderbook,90.249374,14.0
1,42,path_structure,739.81903,86.0
1,42,perp_carry,323.40445,36.0
1,42,perp_tradeability,2069.0095,227.0
1,42,residual,2463.6953,279.0
1,42,trend,202.5003,24.0
1,42,volatility,643.4238,78.0
1,42,volatility_term_structure,421.3093,56.0
2,42,asset_relative_funding,8.21334,3.0
2,42,asset_relative_return,1680.9277,151.0
2,42,asset_state,97.56073,15.0
2,42,compression,427.22617,56.0
2,42,context,37.67277,7.0
2,42,cross_sectional,19.077003,4.0
2,42,crowding,4.158,1.0
2,42,funding,201.10612,44.0
2,42,liquidity,274.6433,44.0
2,42,momentum,42.1335,8.0
2,42,open_interest,3168.123,378.0
2,42,orderbook,114.30515,13.0
2,42,path_structure,308.46817,44.0
2,42,perp_carry,132.38068,19.0
2,42,perp_tradeability,2282.342,258.0
2,42,residual,2367.195,280.0
2,42,trend,274.7262,40.0
2,42,volatility,494.9368,65.0
2,42,volatility_term_structure,406.4304,49.0
3,42,asset_relative_funding,75.48486,26.0
3,42,asset_relative_return,2601.0542,506.0
3,42,asset_state,261.4562,56.0
3,42,compression,801.16345,170.0
3,42,context,304.53015,63.0
3,42,cross_sectional,90.38198,23.0
3,42,crowding,39.304337,16.0
3,42,funding,1078.3566,326.0
3,42,liquidity,991.38086,271.0
3,42,momentum,327.96976,72.0
3,42,open_interest,9082.594,2052.0
3,42,orderbook,227.24802,58.0
3,42,path_structure,1326.6072,315.0
3,42,perp_carry,425.77475,98.0
3,42,perp_tradeability,4930.988,1003.0
3,42,residual,6523.835,1390.0
3,42,trend,690.62384,161.0
3,42,volatility,1317.3926,294.0
3,42,volatility_term_structure,875.50916,178.0
