families_combo,count
open_interest|residual,84
context|open_interest,81
context|open_interest|residual,76
open_interest|perp_tradeability|residual,73
perp_tradeability|residual,58
asset_relative_return|context|open_interest,57
context|open_interest|perp_tradeability,54
open_interest|perp_tradeability,54
asset_relative_return|open_interest|residual,54
asset_relative_return|open_interest,47
open_interest,44
context|open_interest|perp_tradeability|residual,42
asset_relative_return|context|open_interest|perp_tradeability,40
asset_relative_return|open_interest|perp_tradeability|residual,38
asset_relative_return|open_interest|perp_tradeability,38
open_interest|path_structure,37
context,34
context|perp_tradeability|residual,33
asset_relative_return|perp_tradeability|residual,30
context|residual,30
context|perp_tradeability,27
asset_relative_return|context|perp_tradeability,26
asset_relative_return|context|open_interest|residual,25
asset_relative_return|context|open_interest|perp_tradeability|residual,25
open_interest|path_structure|residual,24
open_interest|residual|volatility_term_structure,24
path_structure,21
residual,20
context|open_interest|path_structure,19
liquidity|open_interest|residual,19
open_interest|residual|volatility,18
compression|open_interest|residual,18
asset_relative_return|residual,16
context|open_interest|residual|trend,16
asset_relative_return|context,16
asset_relative_return|context|perp_tradeability|residual,15
context|open_interest|volatility,14
asset_relative_return|open_interest|path_structure,14
residual|volatility,14
asset_relative_return|context|residual,14
perp_tradeability|residual|volatility_term_structure,14
open_interest|residual|trend,13
context|residual|volatility_term_structure,13
open_interest|volatility_term_structure,13
compression|open_interest,13
compression|context|open_interest,13
open_interest|perp_tradeability|volatility,13
open_interest|path_structure|perp_tradeability|residual,12
context|open_interest|volatility_term_structure,12
context|liquidity|open_interest,12
open_interest|open_interest_location|residual,11
compression|context|open_interest|residual,11
open_interest|perp_tradeability|residual|volatility_term_structure,11
context|funding|open_interest,11
residual|volatility_term_structure,11
open_interest|perp_tradeability|residual|volatility,10
asset_relative_return|context|open_interest|path_structure,10
open_interest|volatility,10
asset_relative_return|perp_tradeability,10
open_interest|path_structure|perp_tradeability,10
open_interest|perp_tradeability|volatility_term_structure,10
funding|open_interest,10
asset_relative_return|context|residual|volatility,10
path_structure|perp_tradeability|residual,10
asset_relative_return|compression|context|open_interest,9
liquidity|open_interest,9
compression|open_interest|perp_tradeability|residual,9
asset_relative_return|open_interest|perp_carry,9
asset_relative_return|open_interest|perp_tradeability|residual|volatility,9
context|path_structure,9
path_structure|residual,9
context|open_interest|residual|volatility,9
funding|open_interest|residual,9
open_interest|open_interest_location|perp_tradeability|residual,8
funding|open_interest|perp_tradeability|residual,8
context|liquidity,8
asset_relative_return|liquidity|open_interest,8
asset_relative_return|context|open_interest|open_interest_location|perp_tradeability,8
context|volatility_term_structure,8
context|open_interest|perp_tradeability|residual|volatility,7
open_interest|perp_tradeability|residual|trend,7
momentum|open_interest|perp_tradeability|volatility,7
compression|open_interest|perp_tradeability,7
open_interest|perp_tradeability|trend,7
asset_relative_return|open_interest|residual|volatility_term_structure,7
asset_relative_return|compression|open_interest|residual,7
context|residual|trend,7
asset_relative_return|open_interest|open_interest_location|residual,7
context|open_interest|path_structure|perp_tradeability,7
open_interest|open_interest_location,7
context|residual|volatility,7
liquidity|perp_tradeability,7
compression|perp_tradeability|residual,7
context|liquidity|open_interest|residual,7
open_interest|trend,7
asset_relative_return|context|volatility,7
compression|context|perp_tradeability,7
context|perp_tradeability|residual|volatility,7
asset_relative_return|open_interest|perp_tradeability|volatility,7
asset_relative_return|context|open_interest|perp_carry,6
open_interest_location|volatility,6
context|open_interest|perp_carry|residual,6
context|open_interest|perp_carry,6
asset_relative_return|perp_tradeability|residual|volatility,6
context|open_interest_location|perp_tradeability|residual,6
perp_carry|residual|volatility_term_structure,6
asset_relative_return|context|open_interest|perp_tradeability|volatility,6
perp_tradeability,6
perp_tradeability|residual|trend,6
asset_relative_return|context|open_interest|volatility,6
context|open_interest|path_structure|residual,6
perp_tradeability|residual|volatility,6
funding|open_interest|path_structure|residual,6
asset_relative_return|liquidity|open_interest|residual,6
context|open_interest|open_interest_location|residual,6
context|open_interest|open_interest_location|perp_tradeability,6
momentum|open_interest|residual,6
asset_relative_return|context|funding|open_interest,6
asset_relative_return|compression|open_interest|perp_tradeability,6
asset_relative_return|funding|open_interest|residual,6
asset_relative_return|liquidity|perp_tradeability,6
asset_relative_return|asset_state|perp_tradeability,6
asset_relative_return|open_interest|orderbook|perp_tradeability,6
context|open_interest|perp_tradeability|volatility,5
path_structure|perp_tradeability,5
asset_relative_return|open_interest|path_structure|perp_tradeability,5
