within_leaf_mean_ic,within_leaf_positive_ic_fraction,within_leaf_mean_top_quantile_spread,within_leaf_mean_edge_uplift,within_leaf_hit_lift,within_leaf_valid_folds,within_leaf_future_edge_learnability_score,learnability_definition,canonical_key
0.2922465115114029,1.0,0.012989284888321097,0.006182492460375675,0.07261781568116626,4,0.9581011742822838,within_leaf_future_edge,(*)|(loc_prior_bar_pos_24>-0.0094262166)|(choppiness_index_20<=1.0790406&ob_pressure_mkt_resid<=-2.5008941&symbol_minus_mkt_ret_1h<=0.094186656&symbol_minus_mkt_ret_4h<=0.37114367)
0.15597646849419108,1.0,0.0077532286193160126,0.003851079511446129,0.04823559809965529,4,0.9138130796393061,within_leaf_future_edge,(*)|(*)|(asset_minus_universe_median_ret_24h<=0.062197492&asset_mom_minus_basket_mom_4h<=-0.25855339&mark_perp_dislocation>-0.0095981145&ob_depth_z_10bps<=-0.23574929)
0.13428977252236085,1.0,0.0075985691859768644,0.004148166333881429,0.016124846593795483,4,0.8677176922644235,within_leaf_future_edge,(*)|(dist_local_swing<=0.0011310009&dist_rolling_7d_high<=0.11638818)|(excess_6h_ts_resid>-0.88047832&mark_vs_perp_bps>-1.2742661&oi_chg_2h<=0.12114758&oi_rank>0.046130955)
0.07854913281515953,1.0,0.003378867496182665,0.0022866150723120666,-0.009268158058176323,4,0.7966237309846974,within_leaf_future_edge,(*)|(dist_local_swing<=0.0049999356&dist_rolling_7d_high<=0.10990277)|(mark_vs_perp_bps>1.4980861&range_per_funding_abs_z_24h<=0.2629844&volume_percentile<=1.329754)
0.1763370691830205,1.0,0.009213764056440766,0.005473486826185277,0.040859932359640125,4,0.9095684598926701,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>-0.004296869&ob_pressure_mkt_resid<=-0.0021142077&oi_trend_10d_robust_z>-0.0057249288)
0.20342611896011292,1.0,0.009388093827140936,0.005090997587811025,0.03947335680528459,4,0.9067224750488625,within_leaf_future_edge,(*)|(*)|(asset_atr_level_pct<=0.23940237&mark_perp_dislocation>-0.0062294384&ob_imbalance_mkt_resid<=-2.5008941)
0.15043806477116414,1.0,0.008994071844146481,0.005155924505138621,0.006236261409234389,4,0.8569994875174695,within_leaf_future_edge,(*)|(*)|(mark_vs_perp_bps>1.1906908&ob_imbalance_mkt_resid<=-0.00031842364&oi_1d_chg_z>0.019204872)
0.16070601825854214,1.0,0.008154891346586526,0.004722892163568453,-0.02109290333638081,4,0.84633193564669,within_leaf_future_edge,(*)|(loc_prior_bar_pos_48>-0.2916306)|(mark_vs_perp_bps>1.7924738&symbol_minus_mkt_ret_1h<=0.16644439&true_range_percentile<=0.029176008)
0.12734571880904264,1.0,0.006241863203323929,0.0041531772881287345,0.05059229215349133,4,0.91872870117147,within_leaf_future_edge,(*)|(dist_rolling_7d_high<=0.11300938&loc_prev_week_range_pos_24>0.22854356)|(mark_perp_dislocation>0.0052190302)
0.16529045640716408,1.0,0.008323101785624233,0.00523082269838914,0.02868074033096421,4,0.8907714544875419,within_leaf_future_edge,(*)|(loc_prior_bar_pos_48>-0.54917872)|(mark_perp_dislocation>-0.0026713151&ob_imbalance_mkt_resid<=-0.00089406967&symbol_minus_mkt_ret_1h<=0.21981747)
0.1528339383344639,1.0,0.008037838716975287,0.004229713454522997,0.030420787719958542,4,0.889730647464249,within_leaf_future_edge,(*)|(*)|(dist_ema_fast_ts_resid>-0.45600486&mark_perp_dislocation>0.004121989&ob_pressure_mkt_resid<=-0.00000000000000000000000000000000001)
