strategy_id,symbol,timestamp,side,normalized_rank_score,net_return,gross_return,entry_adverse_bps,entry_favorable_bps,entry_gap_bps,entry_slippage_proxy_bps,entry_delay_minutes,delay_window_candle_count,delay_window_range_bps,delay_entry_ref_gap_bps,delay_close_gap_bps,delay_max_adverse_bps,delay_max_favorable_bps
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,SYN/USD:USD,2026-01-22 10:00:00+00:00,long,0.9819100011642798,-0.006231984827239537,-0.0042362211624953705,,,0.0,0.0,10.0,11.0,0.0,,0.0,0.0,0.0
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,SYN/USD:USD,2026-01-22 10:00:00+00:00,long,0.9692702875771335,-0.006231985158147983,-0.0042362214838265536,,,0.0,0.0,10.0,11.0,0.0,,0.0,0.0,0.0
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,OGN/USD:USD,2026-01-22 10:00:00+00:00,long,0.9205378973105135,-0.007046323410246824,-0.0050513744339024365,,,0.0,0.0,10.0,11.0,0.0,,0.0,0.0,0.0
short_bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644,RARE/USD:USD,2026-01-22 10:00:00+00:00,short,0.8841759809058097,0.05014579301339761,0.05219799236778434,,,-0.0,0.0,10.0,11.0,0.0,,-0.0,0.0,0.0
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,USDT/USD:USD,2026-01-22 10:00:00+00:00,long,0.8705393526603795,-0.002499696713135237,-0.0005001967627993191,,,0.0,0.0,10.0,11.0,0.0,,0.0,0.0,0.0
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,OGN/USD:USD,2026-01-22 10:00:00+00:00,long,0.8090071603213412,-0.006572582560115118,-0.004577159728437007,,,0.0,0.0,10.0,11.0,0.0,,0.0,0.0,0.0
long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,SYN/USD:USD,2026-01-22 10:00:00+00:00,long,0.80615467458377,-0.006705725717415714,-0.004710435961108899,,,0.0,0.0,10.0,11.0,0.0,,0.0,0.0,0.0
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,SYN/USD:USD,2026-01-22 11:00:00+00:00,long,0.9798725113517289,-0.006231985174065152,-0.00423622110802745,,,0.0,0.0,10.0,11.0,0.0,,0.0,0.0,0.0
long_loc_bb_channel_pos_48_0_63256526_zscore_price_200_-0_64289832_xasset_asset_minus_basket_fund_z_0_1707595,SYN/USD:USD,2026-01-22 11:00:00+00:00,long,0.9588499825358016,-0.00623198484146359,-0.004236221173736353,,,0.0,0.0,10.0,11.0,0.0,,0.0,0.0,0.0
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,OGN/USD:USD,2026-01-22 11:00:00+00:00,long,0.9070176970543719,-0.007046323000119446,-0.005051374338229479,,,0.0,0.0,10.0,11.0,0.0,,0.0,0.0,0.0
