symbol,rows,n_features,nan_cells,nan_pct_overall,all_nan_features,constant_features
AXL/USDT,486,902,39852,9.090909090909092,82,518
AXS/USDC,139,902,11398,9.090909090909092,82,530
AXS/USDT,939,902,76998,9.090909090909092,82,509
BABY/USDC,236,902,19352,9.090909090909092,82,540
BABY/USDT,218,902,17876,9.090909090909092,82,551
BANANA/USDC,59,902,4838,9.090909090909092,82,556
BANANA/USDT,410,902,33620,9.090909090909092,82,527
BANANAS31/USDC,228,902,18696,9.090909090909092,82,527
BANANAS31/USDT,244,902,20008,9.090909090909092,82,528
BAND/USDT,951,902,77982,9.090909090909092,82,509
BANK/USDC,75,902,6150,9.090909090909092,82,557
BANK/USDT,101,902,8282,9.090909090909092,82,526
BAR/USDT,710,902,58220,9.090909090909092,82,511
BARD/USDC,114,902,9348,9.090909090909092,82,543
BARD/USDT,116,902,9512,9.090909090909092,82,527
BAT/USDT,954,902,78228,9.090909090909092,82,509
BB/USDC,55,902,4510,9.090909090909092,82,531
BB/USDT,451,902,36982,9.090909090909092,82,515
BCH/USDC,467,902,38294,9.090909090909092,82,526
BCH/USDT,973,902,79786,9.090909090909092,82,512
BEAMX/USDC,225,902,18450,9.090909090909092,82,530
BEAMX/USDT,533,902,43706,9.090909090909092,82,518
BEL/USDT,737,902,60434,9.090909090909092,82,509
BERA/USDC,272,902,22304,9.090909090909092,82,515
BERA/USDT,252,902,20664,9.090909090909092,82,514
BFUSD/USDT,131,902,10742,9.090909090909092,82,553
BICO/USDT,726,902,59532,9.090909090909092,82,507
BIGTIME/USDT,211,902,17302,9.090909090909092,82,539
BIO/USDC,267,902,21894,9.090909090909092,82,524
BIO/USDT,303,902,24846,9.090909090909092,82,512
BLUR/USDT,548,902,44936,9.090909090909092,82,514
BMT/USDC,65,902,5330,9.090909090909092,82,546
BMT/USDT,212,902,17384,9.090909090909092,82,523
BNB/USDC,728,902,59696,9.090909090909092,82,511
BNB/USDT,947,902,77654,9.090909090909092,82,516
BNSOL/USDT,358,902,29356,9.090909090909092,82,518
BNT/USDT,786,902,64452,9.090909090909092,82,501
BOME/USDC,457,902,37474,9.090909090909092,82,520
BOME/USDT,509,902,41738,9.090909090909092,82,521
BONK/USDC,486,902,39852,9.090909090909092,82,523
BONK/USDT,550,902,45100,9.090909090909092,82,526
BREV/USDC,42,902,3444,9.090909090909092,82,540
BREV/USDT,39,902,3198,9.090909090909092,82,614
BROCCOLI714/USDT,245,902,20090,9.090909090909092,82,521
BTC/USDC,699,902,57318,9.090909090909092,82,509
BTC/USDT,927,902,76014,9.090909090909092,82,515
BTTC/USDT,767,902,62894,9.090909090909092,82,523
C/USDC,149,902,12218,9.090909090909092,82,532
C/USDT,148,902,12136,9.090909090909092,82,549
C98/USDT,941,902,77162,9.090909090909092,82,510
CAKE/USDC,266,902,21812,9.090909090909092,82,527
CAKE/USDT,966,902,79212,9.090909090909092,82,511
CATI/USDT,391,902,32062,9.090909090909092,82,531
CELO/USDT,924,902,75768,9.090909090909092,82,508
CELR/USDT,734,902,60188,9.090909090909092,82,520
CETUS/USDC,69,902,5658,9.090909090909092,82,549
CETUS/USDT,303,902,24846,9.090909090909092,82,518
CFX/USDC,412,902,33784,9.090909090909092,82,521
CFX/USDT,1005,902,82410,9.090909090909092,82,511
CGPT/USDC,64,902,5248,9.090909090909092,82,561
CGPT/USDT,317,902,25994,9.090909090909092,82,521
CHR/USDT,981,902,80442,9.090909090909092,82,507
CHZ/USDC,292,902,23944,9.090909090909092,82,523
CHZ/USDT,959,902,78638,9.090909090909092,82,504
CITY/USDT,725,902,59450,9.090909090909092,82,518
CKB/USDT,938,902,76916,9.090909090909092,82,512
COMP/USDC,77,902,6314,9.090909090909092,82,542
COMP/USDT,977,902,80114,9.090909090909092,82,511
COOKIE/USDC,270,902,22140,9.090909090909092,82,528
COOKIE/USDT,278,902,22796,9.090909090909092,82,537
COS/USDT,953,902,78146,9.090909090909092,82,515
COTI/USDC,68,902,5576,9.090909090909092,82,554
COTI/USDT,987,902,80934,9.090909090909092,82,511
COW/USDC,318,902,26076,9.090909090909092,82,515
COW/USDT,322,902,26404,9.090909090909092,82,515
CRV/USDC,441,902,36162,9.090909090909092,82,516
CRV/USDT,956,902,78392,9.090909090909092,82,501
CTK/USDT,951,902,77982,9.090909090909092,82,511
CTSI/USDT,976,902,80032,9.090909090909092,82,512
CVC/USDT,641,902,52562,9.090909090909092,82,519
CVX/USDC,80,902,6560,9.090909090909092,82,545
CVX/USDT,964,902,79048,9.090909090909092,82,512
CYBER/USDC,147,902,12054,9.090909090909092,82,523
CYBER/USDT,628,902,51496,9.090909090909092,82,514
D/USDT,297,902,24354,9.090909090909092,82,542
DASH/USDC,81,902,6642,9.090909090909092,82,545
DASH/USDT,953,902,78146,9.090909090909092,82,510
DCR/USDT,1003,902,82246,9.090909090909092,82,511
DEGO/USDT,712,902,58384,9.090909090909092,82,516
DENT/USDT,949,902,77818,9.090909090909092,82,515
DEXE/USDT,708,902,58056,9.090909090909092,82,516
DIA/USDT,723,902,59286,9.090909090909092,82,510
DODO/USDT,766,902,62812,9.090909090909092,82,510
DOGE/USDC,487,902,39934,9.090909090909092,82,516
DOGE/USDT,978,902,80196,9.090909090909092,82,514
DOGS/USDC,54,902,4428,9.090909090909092,82,549
DOGS/USDT,334,902,27388,9.090909090909092,82,530
DOLO/USDT,149,902,12218,9.090909090909092,82,534
DOT/USDC,531,902,43542,9.090909090909092,82,517
DOT/USDT,972,902,79704,9.090909090909092,82,520
DUSK/USDT,972,902,79704,9.090909090909092,82,509
DYDX/USDC,308,902,25256,9.090909090909092,82,524
DYDX/USDT,990,902,81180,9.090909090909092,82,514
DYM/USDT,538,902,44116,9.090909090909092,82,510
EDEN/USDC,66,902,5412,9.090909090909092,82,568
EDEN/USDT,100,902,8200,9.090909090909092,82,546
EDU/USDT,656,902,53792,9.090909090909092,82,505
EGLD/USDC,245,902,20090,9.090909090909092,82,520
EGLD/USDT,942,902,77244,9.090909090909092,82,515
EIGEN/USDC,281,902,23042,9.090909090909092,82,522
EIGEN/USDT,352,902,28864,9.090909090909092,82,515
ENA/USDC,454,902,37228,9.090909090909092,82,520
ENA/USDT,427,902,35014,9.090909090909092,82,518
ENJ/USDT,724,902,59368,9.090909090909092,82,512
ENS/USDC,430,902,35260,9.090909090909092,82,518
ENS/USDT,981,902,80442,9.090909090909092,82,513
ENSO/USDC,104,902,8528,9.090909090909092,82,540
ENSO/USDT,88,902,7216,9.090909090909092,82,532
EPIC/USDC,240,902,19680,9.090909090909092,82,517
EPIC/USDT,239,902,19598,9.090909090909092,82,533
ERA/USDT,175,902,14350,9.090909090909092,82,527
ETC/USDT,976,902,80032,9.090909090909092,82,515
ETH/USDC,715,902,58630,9.090909090909092,82,514
ETH/USDT,879,902,72078,9.090909090909092,82,511
ETHFI/USDC,444,902,36408,9.090909090909092,82,522
ETHFI/USDT,478,902,39196,9.090909090909092,82,514
EUL/USDC,104,902,8528,9.090909090909092,82,537
EUL/USDT,106,902,8692,9.090909090909092,82,539
EURI/USDC,237,902,19434,9.090909090909092,82,526
EURI/USDT,405,902,33210,9.090909090909092,82,522
F/USDC,86,902,7052,9.090909090909092,82,555
F/USDT,105,902,8610,9.090909090909092,82,532
FARM/USDT,711,902,58302,9.090909090909092,82,522
FDUSD/USDC,301,902,24682,9.090909090909092,82,531
FDUSD/USDT,659,902,54038,9.090909090909092,82,516
FET/USDC,474,902,38868,9.090909090909092,82,519
FET/USDT,971,902,79622,9.090909090909092,82,510
FF/USDT,93,902,7626,9.090909090909092,82,531
FIDA/USDT,947,902,77654,9.090909090909092,82,508
FIL/USDC,435,902,35670,9.090909090909092,82,521
FIL/USDT,980,902,80360,9.090909090909092,82,512
FIO/USDT,943,902,77326,9.090909090909092,82,506
FLOKI/USDC,500,902,41000,9.090909090909092,82,518
FLOKI/USDT,661,902,54202,9.090909090909092,82,521
FLOW/USDT,959,902,78638,9.090909090909092,82,511
FLUX/USDT,753,902,61746,9.090909090909092,82,510
FORM/USDC,246,902,20172,9.090909090909092,82,525
FORM/USDT,219,902,17958,9.090909090909092,82,537
FORTH/USDT,701,902,57482,9.090909090909092,82,520
FTT/USDT,588,902,48216,9.090909090909092,82,511
FUN/USDC,82,902,6724,9.090909090909092,82,572
FUN/USDT,967,902,79294,9.090909090909092,82,512
G/USDT,379,902,31078,9.090909090909092,82,523
GALA/USDC,459,902,37638,9.090909090909092,82,513
GALA/USDT,881,902,72242,9.090909090909092,82,504
GAS/USDT,687,902,56334,9.090909090909092,82,508
GIGGLE/USDC,83,902,6806,9.090909090909092,82,555
GIGGLE/USDT,85,902,6970,9.090909090909092,82,557
GLM/USDT,725,902,59450,9.090909090909092,82,510
GLMR/USDT,758,902,62156,9.090909090909092,82,512
GMT/USDT,928,902,76096,9.090909090909092,82,515
GMX/USDT,784,902,64288,9.090909090909092,82,513
GNO/USDT,730,902,59860,9.090909090909092,82,516
GNS/USDT,744,902,61008,9.090909090909092,82,508
GPS/USDC,265,902,21730,9.090909090909092,82,532
GPS/USDT,244,902,20008,9.090909090909092,82,532
GRT/USDC,133,902,10906,9.090909090909092,82,537
GRT/USDT,970,902,79540,9.090909090909092,82,508
GTC/USDT,968,902,79376,9.090909090909092,82,506
GUN/USDC,255,902,20910,9.090909090909092,82,520
GUN/USDT,227,902,18614,9.090909090909092,82,532
HAEDAL/USDC,216,902,17712,9.090909090909092,82,525
HAEDAL/USDT,184,902,15088,9.090909090909092,82,523
HBAR/USDC,310,902,25420,9.090909090909092,82,510
HBAR/USDT,1026,902,84132,9.090909090909092,82,509
HEI/USDC,71,902,5822,9.090909090909092,82,549
HEI/USDT,236,902,19352,9.090909090909092,82,524
HEMI/USDC,115,902,9430,9.090909090909092,82,531
HEMI/USDT,122,902,10004,9.090909090909092,82,554
HFT/USDT,793,902,65026,9.090909090909092,82,511
HIGH/USDT,733,902,60106,9.090909090909092,82,510
HIVE/USDC,62,902,5084,9.090909090909092,82,577
HIVE/USDT,728,902,59696,9.090909090909092,82,514
HMSTR/USDT,366,902,30012,9.090909090909092,82,519
HOLO/USDT,129,902,10578,9.090909090909092,82,543
HOME/USDT,163,902,13366,9.090909090909092,82,518
HOOK/USDT,778,902,63796,9.090909090909092,82,511
HOT/USDT,731,902,59942,9.090909090909092,82,505
HUMA/USDC,205,902,16810,9.090909090909092,82,525
HUMA/USDT,180,902,14760,9.090909090909092,82,539
HYPER/USDC,205,902,16810,9.090909090909092,82,524
HYPER/USDT,212,902,17384,9.090909090909092,82,538
ICP/USDC,473,902,38786,9.090909090909092,82,513
ICP/USDT,918,902,75276,9.090909090909092,82,511
ICX/USDT,890,902,72980,9.090909090909092,82,512
ID/USDT,698,902,57236,9.090909090909092,82,509
IDEX/USDT,981,902,80442,9.090909090909092,82,511
ILV/USDC,167,902,13694,9.090909090909092,82,519
ILV/USDT,942,902,77244,9.090909090909092,82,516
IMX/USDT,924,902,75768,9.090909090909092,82,504
INIT/USDC,200,902,16400,9.090909090909092,82,525
INIT/USDT,186,902,15252,9.090909090909092,82,525
INJ/USDC,536,902,43952,9.090909090909092,82,513
INJ/USDT,945,902,77490,9.090909090909092,82,512
IO/USDC,420,902,34440,9.090909090909092,82,520
IO/USDT,428,902,35096,9.090909090909092,82,519
IOST/USDT,958,902,78556,9.090909090909092,82,521
IOTA/USDC,212,902,17384,9.090909090909092,82,557
IOTA/USDT,1035,902,84870,9.090909090909092,82,503
IOTX/USDT,714,902,58548,9.090909090909092,82,511
IQ/USDT,526,902,43132,9.090909090909092,82,525
JASMY/USDT,945,902,77490,9.090909090909092,82,509
JOE/USDT,714,902,58548,9.090909090909092,82,512
JST/USDT,917,902,75194,9.090909090909092,82,514
JTO/USDT,498,902,40836,9.090909090909092,82,517
JUP/USDC,492,902,40344,9.090909090909092,82,516
JUP/USDT,458,902,37556,9.090909090909092,82,513
JUV/USDT,971,902,79622,9.090909090909092,82,508
KAIA/USDT,349,902,28618,9.090909090909092,82,518
KAITO/USDT,247,902,20254,9.090909090909092,82,531
KAVA/USDT,902,902,73964,9.090909090909092,82,513
KERNEL/USDC,217,902,17794,9.090909090909092,82,519
KERNEL/USDT,216,902,17712,9.090909090909092,82,520
KITE/USDC,70,902,5740,9.090909090909092,82,544
KITE/USDT,78,902,6396,9.090909090909092,82,565
KMNO/USDC,200,902,16400,9.090909090909092,82,533
KMNO/USDT,224,902,18368,9.090909090909092,82,519
KNC/USDT,961,902,78802,9.090909090909092,82,504
KSM/USDT,1019,902,83558,9.090909090909092,82,511
LA/USDC,159,902,13038,9.090909090909092,82,526
LA/USDT,182,902,14924,9.090909090909092,82,528
LAYER/USDT,264,902,21648,9.090909090909092,82,530
LAZIO/USDT,910,902,74620,9.090909090909092,82,513
LDO/USDC,454,902,37228,9.090909090909092,82,513
LDO/USDT,922,902,75604,9.090909090909092,82,506
LINEA/USDC,118,902,9676,9.090909090909092,82,533
LINEA/USDT,121,902,9922,9.090909090909092,82,538
LINK/USDC,522,902,42804,9.090909090909092,82,517
LINK/USDT,955,902,78310,9.090909090909092,82,513
LISTA/USDT,418,902,34276,9.090909090909092,82,516
LPT/USDT,899,902,73718,9.090909090909092,82,517
LQTY/USDT,701,902,57482,9.090909090909092,82,511
LRC/USDT,958,902,78556,9.090909090909092,82,508
LTC/USDC,440,902,36080,9.090909090909092,82,522
LTC/USDT,986,902,80852,9.090909090909092,82,515
LUMIA/USDT,366,902,30012,9.090909090909092,82,516
LUNA/USDT,906,902,74292,9.090909090909092,82,512
LUNC/USDC,43,902,3526,9.090909090909092,82,573
LUNC/USDT,840,902,68880,9.090909090909092,82,520
MAGIC/USDT,706,902,57892,9.090909090909092,82,503
MANA/USDT,946,902,77572,9.090909090909092,82,505
MANTA/USDC,500,902,41000,9.090909090909092,82,518
MANTA/USDT,481,902,39442,9.090909090909092,82,521
MASK/USDT,941,902,77162,9.090909090909092,82,513
MAV/USDT,638,902,52316,9.090909090909092,82,517
MBL/USDT,1008,902,82656,9.090909090909092,82,508
MBOX/USDT,772,902,63304,9.090909090909092,82,513
MDT/USDT,982,902,80524,9.090909090909092,82,506
ME/USDT,327,902,26814,9.090909090909092,82,522
MEME/USDC,318,902,26076,9.090909090909092,82,527
MEME/USDT,560,902,45920,9.090909090909092,82,521
MET/USDC,84,902,6888,9.090909090909092,82,545
MET/USDT,84,902,6888,9.090909090909092,82,527
METIS/USDT,510,902,41820,9.090909090909092,82,515
MINA/USDT,959,902,78638,9.090909090909092,82,507
MIRA/USDT,101,902,8282,9.090909090909092,82,549
MITO/USDC,51,902,4182,9.090909090909092,82,576
MITO/USDT,121,902,9922,9.090909090909092,82,530
MLN/USDT,761,902,62402,9.090909090909092,82,512
MMT/USDC,88,902,7216,9.090909090909092,82,540
MMT/USDT,104,902,8528,9.090909090909092,82,539
MORPHO/USDC,118,902,9676,9.090909090909092,82,546
MORPHO/USDT,114,902,9348,9.090909090909092,82,538
MOVE/USDC,240,902,19680,9.090909090909092,82,540
MOVE/USDT,308,902,25256,9.090909090909092,82,525
MOVR/USDT,751,902,61582,9.090909090909092,82,513
