fold_id,raw_target_name,effective_target_name,target_representation,residualisation_enabled,fit_sample_count,train_effective_valid_count,val_effective_valid_count,train_excluded_missing_nuisance_pct,val_excluded_missing_nuisance_pct,nuisance_columns_requested,nuisance_columns_resolved,intercept,coefficients,fit_support_definition,residualizer_weight_mean,residualizer_weight_p5,residualizer_weight_p50,residualizer_weight_p95,resolved__ema50_ema200_spread_continuous,corr_raw__ema50_ema200_spread_continuous,corr_effective__ema50_ema200_spread_continuous,resolved__atr_change_rate_ts_continuous,corr_raw__atr_change_rate_ts_continuous,corr_effective__atr_change_rate_ts_continuous,resolved__bars_in_high_vol_state_log_norm,corr_raw__bars_in_high_vol_state_log_norm,corr_effective__bars_in_high_vol_state_log_norm,resolved__volatility_of_volatility_48,corr_raw__volatility_of_volatility_48,corr_effective__volatility_of_volatility_48,resolved__trend_strength_percentile,corr_raw__trend_strength_percentile,corr_effective__trend_strength_percentile,resolved__volatility_autocorr_48,corr_raw__volatility_autocorr_48,corr_effective__volatility_autocorr_48,train_processed_valid_count,val_processed_valid_count
0,atr_norm_returns_target,atr_norm_returns_target_miner_effective,residualised,True,33113,33113,6720,0.5584933333333333,0.552,"[""ema50_ema200_spread_continuous"", ""atr_change_rate_ts_continuous"", ""bars_in_high_vol_state_log_norm"", ""volatility_of_volatility_48"", ""trend_strength_percentile"", ""volatility_autocorr_48""]","[""ema50_ema200_spread_atr"", ""atr_change_rate"", ""bars_in_high_vol_state_log_norm"", ""volatility_of_volatility_48"", ""trend_strength_percentile"", ""volatility_autocorr_48""]",-0.19867488442881936,"[0.06428809279212887, -0.055895458086206926, 0.0614717959841872, 0.10521349564888231, -0.04451292016009348, -0.03797243347893178]",finite(raw_target)&finite(all_nuisance_columns) on fold-train partition,1.3068092339560067,0.7733083486557009,1.3073019981384277,1.8605053663253783,ema50_ema200_spread_atr,-0.0026206639021201777,-0.03102319431170902,atr_change_rate,-0.00871697984528481,0.0253355106882952,bars_in_high_vol_state_log_norm,0.030248757446551942,-0.012531013983786279,volatility_of_volatility_48,0.02913634958055866,-0.025335252526567542,trend_strength_percentile,0.003607680734901853,0.007595172303993497,volatility_autocorr_48,-0.00652700104427405,0.006430991323350741,33113,6720
1,atr_norm_returns_target,atr_norm_returns_target_miner_effective,residualised,True,33214,33214,6316,0.5571466666666667,0.5789333333333333,"[""ema50_ema200_spread_continuous"", ""atr_change_rate_ts_continuous"", ""bars_in_high_vol_state_log_norm"", ""volatility_of_volatility_48"", ""trend_strength_percentile"", ""volatility_autocorr_48""]","[""ema50_ema200_spread_atr"", ""atr_change_rate"", ""bars_in_high_vol_state_log_norm"", ""volatility_of_volatility_48"", ""trend_strength_percentile"", ""volatility_autocorr_48""]",-0.2324793765594943,"[0.03679773140033307, -0.03986893753909929, 0.09840616784465837, 0.06919056807046484, -0.04597342375436949, -0.04041223896737388]",finite(raw_target)&finite(all_nuisance_columns) on fold-train partition,1.2849352685072324,0.7543038666248322,1.2882254123687744,1.8380438804626464,ema50_ema200_spread_atr,-0.01224009273837066,-0.02864142932655864,atr_change_rate,0.000758514003081178,0.02500791560424277,bars_in_high_vol_state_log_norm,0.028676500056161285,-0.01905054913818709,volatility_of_volatility_48,0.027166967562816318,-0.020672259137232883,trend_strength_percentile,0.0022409395005412217,0.007497435626909675,volatility_autocorr_48,-0.0064410973486982385,0.0081726787427681,33214,6316
2,atr_norm_returns_target,atr_norm_returns_target_miner_effective,residualised,True,32964,32964,6097,0.56048,0.5935333333333334,"[""ema50_ema200_spread_continuous"", ""atr_change_rate_ts_continuous"", ""bars_in_high_vol_state_log_norm"", ""volatility_of_volatility_48"", ""trend_strength_percentile"", ""volatility_autocorr_48""]","[""ema50_ema200_spread_atr"", ""atr_change_rate"", ""bars_in_high_vol_state_log_norm"", ""volatility_of_volatility_48"", ""trend_strength_percentile"", ""volatility_autocorr_48""]",-0.25048219935465155,"[0.05976202704021327, -0.04106896474708735, 0.10551551172501085, 0.08624522443133888, -0.040793433526693595, -0.04173380466182753]",finite(raw_target)&finite(all_nuisance_columns) on fold-train partition,1.263827587084246,0.7246396273374558,1.266200602054596,1.819324660301208,ema50_ema200_spread_atr,-0.001836345372514232,-0.031239973318828912,atr_change_rate,-0.0026214070277467646,0.026400516869836996,bars_in_high_vol_state_log_norm,0.03230565669097859,-0.02432072884516619,volatility_of_volatility_48,0.04081825651337285,-0.017729841886782092,trend_strength_percentile,0.006866512842064991,0.006495144677448688,volatility_autocorr_48,-0.006898811956033514,0.008000903370744366,32964,6097
3,atr_norm_returns_target,atr_norm_returns_target_miner_effective,residualised,True,32669,32669,6392,0.5644133333333333,0.5738666666666667,"[""ema50_ema200_spread_continuous"", ""atr_change_rate_ts_continuous"", ""bars_in_high_vol_state_log_norm"", ""volatility_of_volatility_48"", ""trend_strength_percentile"", ""volatility_autocorr_48""]","[""ema50_ema200_spread_atr"", ""atr_change_rate"", ""bars_in_high_vol_state_log_norm"", ""volatility_of_volatility_48"", ""trend_strength_percentile"", ""volatility_autocorr_48""]",-0.21869999042986565,"[0.06275144904144626, -0.04586039959632569, 0.1282688890863943, -0.018960047374620044, -0.005897037201668046, -0.005898571940183136]",finite(raw_target)&finite(all_nuisance_columns) on fold-train partition,1.2882190477260929,0.7503478169441223,1.2876319885253906,1.8615414857864379,ema50_ema200_spread_atr,-0.0029738094433267082,-0.03870839017028465,atr_change_rate,-0.0017791793191396519,0.027129646039871936,bars_in_high_vol_state_log_norm,0.03861749319691116,-0.009282278767754861,volatility_of_volatility_48,0.006858013242762029,-0.01262309844295824,trend_strength_percentile,0.011101170583504523,0.0030969902679120653,volatility_autocorr_48,0.010538087113808513,0.012214994276326208,32669,6392
