fold_id,seed,group,gain,split
0,42,location,2228.803,275.0
0,42,regime,11551.475,1551.0
1,42,location,2317.4387,278.0
1,42,regime,9099.472,1225.0
2,42,location,2335.1033,317.0
2,42,regime,9849.132,1427.0
3,42,location,2900.3533,573.0
3,42,regime,14793.275,3077.0
