families_combo,count
open_interest|perp_tradeability|residual,135
context|open_interest|residual,118
open_interest|residual,105
perp_tradeability|residual,100
context|open_interest|perp_tradeability|residual,90
context|open_interest|perp_tradeability,72
context|residual,61
context|perp_tradeability|residual,59
context|open_interest,58
asset_relative_return|open_interest|residual,56
open_interest|perp_tradeability,53
asset_relative_return|open_interest,40
asset_relative_return|open_interest|perp_tradeability|residual,36
asset_relative_return|residual,33
asset_relative_return|context|open_interest|perp_tradeability,33
asset_relative_return|open_interest|perp_tradeability,32
asset_relative_return|context|open_interest|residual,31
residual,27
open_interest|path_structure,26
asset_relative_return|perp_tradeability|residual,26
open_interest,26
context|perp_tradeability,24
asset_relative_return|context|open_interest,24
open_interest|path_structure|perp_tradeability,24
asset_relative_return|context|residual,24
asset_relative_return|context|open_interest|perp_tradeability|residual,23
perp_tradeability,22
compression|open_interest|residual,20
compression|context|open_interest|perp_tradeability,20
context|open_interest|path_structure,19
open_interest|residual|volatility,19
context|path_structure|perp_tradeability|residual,19
path_structure|perp_tradeability,19
asset_relative_return|context|perp_tradeability|residual,19
compression|context|perp_tradeability,18
compression|open_interest,18
open_interest|path_structure|perp_tradeability|residual,18
open_interest|path_structure|residual,17
context|open_interest|path_structure|residual,16
path_structure|perp_tradeability|residual,15
liquidity|open_interest|perp_tradeability|residual,15
open_interest|open_interest_location|residual,14
compression|context|open_interest|perp_tradeability|residual,14
compression|open_interest|perp_tradeability,14
compression|perp_tradeability|residual,13
liquidity|open_interest|residual,13
asset_state|open_interest|perp_tradeability|residual,13
asset_relative_return|open_interest|path_structure|residual,13
asset_state|perp_tradeability|residual,13
asset_relative_return|open_interest|path_structure,13
context|path_structure,12
asset_relative_return|open_interest|residual|volatility,12
context|open_interest|residual|trend,12
context|open_interest|perp_tradeability|volatility,12
open_interest|residual|trend,12
path_structure,11
open_interest|perp_tradeability|residual|volatility_term_structure,11
open_interest|perp_tradeability|residual|trend,11
compression|open_interest|perp_tradeability|residual,11
compression|context|open_interest|residual,11
open_interest|open_interest_location,10
compression|context|perp_tradeability|residual,10
context,10
context|open_interest_location|perp_tradeability|residual,10
asset_relative_return|path_structure|residual,9
context|path_structure|perp_tradeability,9
context|open_interest|residual|volatility_term_structure,9
open_interest|open_interest_location|perp_tradeability,9
context|open_interest|perp_tradeability|residual|volatility,9
asset_relative_return|asset_state|perp_tradeability,9
compression|context,9
open_interest|residual|volatility_term_structure,9
asset_relative_return|perp_tradeability,8
compression|context|open_interest,8
asset_relative_return|open_interest|path_structure|perp_tradeability,8
context|path_structure|residual,8
compression|context|residual,8
context|funding|open_interest|residual,8
context|residual|volatility,8
path_structure|residual,8
asset_relative_return|context|perp_tradeability,8
asset_relative_return|context|path_structure|residual,7
perp_tradeability|residual|volatility,7
funding|open_interest|perp_tradeability|residual,7
residual|trend,7
context|funding|open_interest,7
context|funding|perp_tradeability,7
context|liquidity|open_interest|perp_tradeability|residual,7
context|open_interest|volatility,7
asset_state|open_interest|residual,7
asset_relative_return|open_interest|residual|trend,7
open_interest|perp_tradeability|residual|volatility,7
context|open_interest|residual|volatility,7
asset_state|context|open_interest,7
context|open_interest_location|residual,7
asset_state|context|open_interest|perp_tradeability,7
open_interest|perp_tradeability|volatility,7
asset_relative_return|context,7
context|perp_tradeability|residual|volatility,6
context|open_interest|open_interest_location|residual,6
context|open_interest|trend,6
context|perp_tradeability|residual|trend,6
context|residual|trend,6
liquidity|open_interest|path_structure|residual,6
compression|perp_tradeability,6
asset_relative_return|context|open_interest|perp_tradeability|volatility,6
asset_relative_return|compression|context|perp_tradeability,6
asset_relative_return|open_interest|path_structure|perp_tradeability|residual,6
context|residual|volatility_term_structure,6
asset_relative_return|compression|context|open_interest|perp_tradeability,6
funding|open_interest|residual,6
perp_tradeability|residual|trend,6
context|liquidity|open_interest,6
open_interest|open_interest_location|path_structure,6
context|funding|perp_tradeability|residual,6
context|open_interest|open_interest_location,6
residual|volatility_term_structure,6
compression|residual,6
asset_state|context|residual,6
context|volatility,5
asset_relative_return|context|residual|volatility,5
momentum|open_interest|perp_tradeability,5
momentum|open_interest|path_structure|residual,5
asset_relative_return|context|open_interest|volatility,5
asset_relative_return|context|open_interest|path_structure,5
context|liquidity|perp_tradeability|residual,5
context|perp_tradeability|trend,5
funding|open_interest|perp_tradeability,5
asset_relative_return|open_interest|perp_tradeability|volatility,5
open_interest|volatility_term_structure,5
open_interest|open_interest_location|perp_tradeability|residual,5
perp_tradeability|residual|volatility_term_structure,5
context|funding|open_interest|perp_tradeability,5
asset_state|compression|open_interest|perp_tradeability,5
asset_relative_return|open_interest|open_interest_location|residual,5
compression|open_interest|path_structure|residual,5
context|open_interest|path_structure|perp_tradeability,5
asset_state|open_interest|perp_tradeability,5
asset_relative_return|asset_state|open_interest|perp_tradeability,5
compression|open_interest|path_structure|perp_tradeability,5
context|open_interest|perp_tradeability|residual|trend,5
open_interest|orderbook|perp_tradeability,5
asset_relative_return|funding|open_interest|residual,5
open_interest|trend,5
open_interest|perp_tradeability|volatility_term_structure,5
liquidity|open_interest|perp_tradeability,4
open_interest|path_structure|residual|volatility,4
open_interest|perp_carry|residual,4
asset_state|context|open_interest|perp_tradeability|residual,4
momentum|open_interest|residual,4
open_interest|perp_tradeability|trend,4
asset_relative_return|context|open_interest|path_structure|perp_tradeability,4
context|open_interest|perp_tradeability|volatility_term_structure,4
context|funding|residual,4
context|liquidity|open_interest|residual,4
path_structure|residual|volatility,4
asset_relative_return|context|residual|trend,4
asset_relative_return|compression|open_interest,4
context|perp_tradeability|volatility_term_structure,4
asset_relative_return|open_interest|residual|volatility_term_structure,4
