reason,usage_count
all_negative_path,615
group_violation_location_2,235
contradiction_reg_atr_change_rate_ts_top20,85
group_violation_location_3,75
contradiction_reg_atr_change_rate_ts_band30_70,9
group_violation_location_4,6
contradiction_reg_atr_change_rate_ts_band20_80,3
contradiction_reg_atr_change_rate_ts_band25_75,1
contradiction_reg_atr_change_rate_ts_bot20,1
