model_id,fold_id,seed,tree_idx,leaf_idx,reason
stage_a_context_model,1,42,16,4,group_violation_location_3
stage_a_context_model,1,42,17,0,all_negative_path
stage_a_context_model,1,42,17,6,group_violation_location_4
stage_a_context_model,1,42,17,5,group_violation_location_4
stage_a_context_model,1,42,17,7,group_violation_location_4
stage_a_context_model,1,42,17,4,group_violation_location_4
stage_a_context_model,1,42,17,8,group_violation_location_4
stage_a_context_model,1,42,17,3,group_violation_location_2
stage_a_context_model,1,42,18,0,all_negative_path
stage_a_context_model,1,42,18,8,group_violation_location_4
stage_a_context_model,1,42,18,7,group_violation_location_3
stage_a_context_model,1,42,18,2,group_violation_location_4
stage_a_context_model,1,42,18,6,group_violation_location_4
stage_a_context_model,1,42,18,3,group_violation_location_4
stage_a_context_model,1,42,18,5,group_violation_location_5
stage_a_context_model,1,42,18,9,group_violation_location_5
stage_a_context_model,1,42,19,0,all_negative_path
stage_a_context_model,1,42,19,7,group_violation_location_4
stage_a_context_model,1,42,19,3,group_violation_location_5
stage_a_context_model,1,42,19,9,group_violation_location_5
stage_a_context_model,1,42,19,4,group_violation_location_4
stage_a_context_model,1,42,19,6,group_violation_location_4
stage_a_context_model,1,42,19,8,group_violation_location_4
stage_a_context_model,1,42,19,5,group_violation_location_2
stage_a_context_model,1,42,20,0,all_negative_path
stage_a_context_model,1,42,20,9,group_violation_location_5
stage_a_context_model,1,42,20,7,group_violation_location_4
stage_a_context_model,1,42,20,6,group_violation_location_3
stage_a_context_model,1,42,20,8,group_violation_location_3
stage_a_context_model,1,42,20,3,group_violation_location_3
stage_a_context_model,1,42,20,5,group_violation_location_3
stage_a_context_model,1,42,21,0,all_negative_path
stage_a_context_model,1,42,21,3,group_violation_location_3
stage_a_context_model,1,42,21,7,group_violation_location_6
stage_a_context_model,1,42,21,9,group_violation_location_6
stage_a_context_model,1,42,21,6,group_violation_location_4
stage_a_context_model,1,42,21,5,group_violation_location_3
stage_a_context_model,1,42,21,4,group_violation_location_2
stage_a_context_model,1,42,22,0,all_negative_path
stage_a_context_model,1,42,22,9,group_violation_location_3
stage_a_context_model,1,42,22,7,group_violation_location_4
stage_a_context_model,1,42,22,8,group_violation_location_4
stage_a_context_model,1,42,22,2,group_violation_location_2
stage_a_context_model,1,42,23,0,all_negative_path
stage_a_context_model,1,42,23,6,group_violation_location_6
stage_a_context_model,1,42,23,5,group_violation_location_5
stage_a_context_model,1,42,23,4,group_violation_location_4
stage_a_context_model,1,42,23,3,group_violation_location_3
stage_a_context_model,1,42,24,0,all_negative_path
stage_a_context_model,1,42,24,7,group_violation_location_3
stage_a_context_model,1,42,24,6,group_violation_location_4
stage_a_context_model,1,42,24,5,group_violation_location_3
stage_a_context_model,1,42,24,2,group_violation_location_4
stage_a_context_model,1,42,24,9,group_violation_location_4
stage_a_context_model,1,42,24,4,group_violation_location_3
stage_a_context_model,1,42,25,0,all_negative_path
stage_a_context_model,1,42,25,7,group_violation_location_3
stage_a_context_model,1,42,25,4,group_violation_location_3
stage_a_context_model,1,42,25,2,group_violation_location_5
stage_a_context_model,1,42,25,9,group_violation_location_5
stage_a_context_model,1,42,25,5,group_violation_location_4
stage_a_context_model,1,42,25,3,group_violation_location_3
stage_a_context_model,1,42,26,0,all_negative_path
stage_a_context_model,1,42,26,9,group_violation_location_5
stage_a_context_model,1,42,26,8,group_violation_location_5
stage_a_context_model,1,42,26,7,group_violation_location_4
stage_a_context_model,1,42,26,6,group_violation_location_3
stage_a_context_model,1,42,27,0,all_negative_path
stage_a_context_model,1,42,27,6,group_violation_location_4
stage_a_context_model,1,42,27,8,group_violation_location_5
stage_a_context_model,1,42,27,5,group_violation_location_5
stage_a_context_model,1,42,27,9,group_violation_location_5
stage_a_context_model,1,42,27,3,group_violation_location_4
stage_a_context_model,1,42,27,7,group_violation_location_4
stage_a_context_model,1,42,28,0,all_negative_path
stage_a_context_model,1,42,28,3,group_violation_location_4
stage_a_context_model,1,42,28,6,group_violation_location_5
stage_a_context_model,1,42,28,7,group_violation_location_5
stage_a_context_model,1,42,28,5,group_violation_location_3
stage_a_context_model,1,42,28,4,group_violation_location_3
stage_a_context_model,1,42,28,9,group_violation_location_3
stage_a_context_model,1,42,29,0,all_negative_path
stage_a_context_model,1,42,29,9,group_violation_location_5
stage_a_context_model,1,42,29,8,group_violation_location_3
stage_a_context_model,1,42,29,5,group_violation_location_3
stage_a_context_model,1,42,29,6,group_violation_location_4
stage_a_context_model,1,42,29,7,group_violation_location_4
stage_a_context_model,1,42,30,0,all_negative_path
stage_a_context_model,1,42,30,8,group_violation_location_6
stage_a_context_model,1,42,30,5,group_violation_location_4
stage_a_context_model,1,42,30,4,group_violation_location_3
stage_a_context_model,1,42,31,0,all_negative_path
stage_a_context_model,1,42,31,8,group_violation_location_5
stage_a_context_model,1,42,31,7,group_violation_location_4
stage_a_context_model,1,42,31,3,group_violation_location_3
stage_a_context_model,1,42,31,5,group_violation_location_4
stage_a_context_model,1,42,31,9,group_violation_location_4
stage_a_context_model,1,42,31,4,group_violation_location_2
stage_a_context_model,1,42,32,0,all_negative_path
stage_a_context_model,1,42,32,6,group_violation_location_4
stage_a_context_model,1,42,32,4,group_violation_location_4
stage_a_context_model,1,42,32,5,group_violation_location_4
stage_a_context_model,1,42,32,7,group_violation_location_4
stage_a_context_model,1,42,32,9,group_violation_location_4
stage_a_context_model,1,42,32,2,group_violation_location_2
stage_a_context_model,1,42,33,0,all_negative_path
stage_a_context_model,1,42,33,5,group_violation_location_4
stage_a_context_model,1,42,33,4,group_violation_location_4
stage_a_context_model,1,42,33,6,group_violation_location_5
stage_a_context_model,1,42,33,7,group_violation_location_5
stage_a_context_model,1,42,33,2,group_violation_location_3
stage_a_context_model,1,42,33,3,group_violation_location_3
stage_a_context_model,1,42,34,0,all_negative_path
stage_a_context_model,1,42,34,9,group_violation_location_4
stage_a_context_model,1,42,34,3,group_violation_location_6
stage_a_context_model,1,42,34,8,group_violation_location_6
stage_a_context_model,1,42,34,7,group_violation_location_5
stage_a_context_model,1,42,34,5,group_violation_location_5
stage_a_context_model,1,42,34,6,group_violation_location_5
stage_a_context_model,1,42,35,0,all_negative_path
stage_a_context_model,1,42,35,5,group_violation_location_5
stage_a_context_model,1,42,35,8,group_violation_location_5
stage_a_context_model,1,42,35,7,group_violation_location_3
stage_a_context_model,1,42,35,3,group_violation_location_3
stage_a_context_model,1,42,35,6,group_violation_location_4
stage_a_context_model,1,42,35,9,group_violation_location_4
stage_a_context_model,1,42,36,0,all_negative_path
stage_a_context_model,1,42,36,7,group_violation_location_5
stage_a_context_model,1,42,36,4,group_violation_location_4
stage_a_context_model,1,42,36,3,group_violation_location_3
stage_a_context_model,1,42,36,8,group_violation_location_4
stage_a_context_model,1,42,36,6,group_violation_location_3
stage_a_context_model,1,42,36,5,group_violation_location_2
stage_a_context_model,2,42,0,0,all_negative_path
stage_a_context_model,2,42,0,6,group_violation_location_5
stage_a_context_model,2,42,0,9,group_violation_location_5
stage_a_context_model,2,42,0,4,group_violation_location_3
stage_a_context_model,2,42,0,5,group_violation_location_4
stage_a_context_model,2,42,0,8,group_violation_location_4
stage_a_context_model,2,42,0,3,group_violation_location_2
stage_a_context_model,2,42,1,0,all_negative_path
stage_a_context_model,2,42,1,5,group_violation_location_4
stage_a_context_model,2,42,1,6,group_violation_location_5
stage_a_context_model,2,42,1,7,group_violation_location_5
stage_a_context_model,2,42,1,8,group_violation_location_4
stage_a_context_model,2,42,1,9,group_violation_location_4
stage_a_context_model,2,42,1,3,group_violation_location_2
stage_a_context_model,2,42,2,0,all_negative_path
stage_a_context_model,2,42,2,8,group_violation_location_4
stage_a_context_model,2,42,2,7,group_violation_location_3
stage_a_context_model,2,42,2,9,group_violation_location_3
stage_a_context_model,2,42,2,2,group_violation_location_3
stage_a_context_model,2,42,2,4,group_violation_location_5
stage_a_context_model,2,42,2,6,group_violation_location_5
stage_a_context_model,2,42,2,5,group_violation_location_4
stage_a_context_model,3,42,0,0,all_negative_path
stage_a_context_model,3,42,0,5,group_violation_location_4
stage_a_context_model,3,42,0,6,group_violation_location_5
stage_a_context_model,3,42,0,9,group_violation_location_5
stage_a_context_model,3,42,0,7,group_violation_location_4
stage_a_context_model,3,42,0,8,group_violation_location_4
stage_a_context_model,3,42,0,2,group_violation_location_2
stage_a_context_model,4,42,0,0,all_negative_path
stage_a_context_model,4,42,0,4,group_violation_location_5
stage_a_context_model,4,42,0,6,group_violation_location_6
stage_a_context_model,4,42,0,9,group_violation_location_6
stage_a_context_model,4,42,0,5,group_violation_location_4
stage_a_context_model,4,42,0,7,group_violation_location_4
stage_a_context_model,4,42,0,8,group_violation_location_4
stage_a_context_model,4,42,0,2,group_violation_location_2
stage_a_context_model,4,42,1,0,all_negative_path
stage_a_context_model,4,42,1,3,group_violation_location_4
stage_a_context_model,4,42,1,5,group_violation_location_5
stage_a_context_model,4,42,1,7,group_violation_location_5
stage_a_context_model,4,42,1,8,group_violation_location_4
stage_a_context_model,4,42,1,9,group_violation_location_4
stage_a_context_model,4,42,1,4,group_violation_location_2
stage_a_context_model,4,42,2,0,all_negative_path
stage_a_context_model,4,42,2,6,group_violation_location_4
stage_a_context_model,4,42,2,7,group_violation_location_4
stage_a_context_model,4,42,2,5,group_violation_location_3
stage_a_context_model,4,42,2,3,group_violation_location_5
stage_a_context_model,4,42,2,9,group_violation_location_5
stage_a_context_model,4,42,2,8,group_violation_location_4
stage_a_context_model,4,42,2,4,group_violation_location_3
