,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
G_EXH_EFFORT,0.030081572,0.009931176,0.0911172,55.166668,10.589565,287.39246,1360.873,412.6037,4488.5093,0.20646594,0.06491741,0.6566526,0.3647875,0.07873754,1.6900442,5.0,0.0,0.48435023,1.0,0.98138297,1.0,0.0,1.0,1.1666666,0.94534576,1.0
climax_vol_24,0.020406347,0.003615025,0.11519118,32.5,5.9651766,177.06935,871.4619,163.09988,4656.3237,0.13550198,0.022806227,0.8050778,0.2373758,0.045787532,1.2306247,2.0,0.28751943,0.0,0.6656504,0.9601064,1.0,0.0,3.0,2.5,0.7561343,2.0
climax_vol_12,0.019706877,0.0037694047,0.10302979,30.333334,6.724747,136.82465,872.4287,179.58557,4238.268,0.13930514,0.024836378,0.78135073,0.23488991,0.030425936,1.8133632,3.0,0.03831083,0.8877033,0.64147866,0.9840425,1.0,0.0,3.0,1.0,0.7488239,3.0
impact_12,0.015075176,0.0020489742,0.110914506,32.666668,4.642796,229.84233,772.38196,108.77727,5484.3623,0.1092823,0.014705984,0.81209266,0.21457784,0.05616302,0.8198214,1.0,0.20691456,0.82239693,0.48141965,0.9734042,1.0,0.0,5.0,1.6666666,0.65813184,4.0
body_pct,0.014482933,0.0022834977,0.091857046,35.5,5.0579967,249.1599,714.8644,111.23712,4594.07,0.10123499,0.016741643,0.61215746,0.1961985,0.04398637,0.87513125,4.0,0.21705996,0.8877033,0.46095333,0.9574468,1.0,0.0,6.5,2.6666667,0.64288604,5.0
stall_x_flow,0.0121005755,0.002064181,0.0709356,32.5,3.6855574,286.59164,604.7064,116.46792,3139.6614,0.08705945,0.017018355,0.44536313,0.16699138,0.0481572,0.57906437,6.0,0.23942119,0.82854116,0.3786255,0.9468085,1.0,0.0,8.5,3.3333333,0.59494615,6.0
trap_quality,0.013207995,0.00790002,0.022082368,29.166666,11.393224,74.6667,643.8973,371.40167,1116.3215,0.09471461,0.056426328,0.15898354,0.17654335,0.1054493,0.29556915,40.0,0.0,0.8877033,0.41689494,0.8590425,1.0,0.0,14.5,8.833333,0.5940529,7.0
dir_path_long_2h,0.012374766,0.004559134,0.033588577,28.333334,5.676462,141.4222,584.3655,171.81763,1987.4735,0.08453853,0.02936117,0.24340864,0.16949607,0.08654615,0.3319491,17.0,0.06268426,0.81764674,0.3881008,0.88297874,1.0,0.0,12.5,7.3333335,0.58420014,8.0
range_pct,0.011476041,0.0018016747,0.07309838,20.833334,3.6247606,119.73971,483.54004,79.013115,2959.141,0.07895057,0.014338318,0.4347227,0.13320653,0.039253995,0.45202988,7.0,0.0,0.8877033,0.3570433,0.91223407,1.0,0.0,19.5,5.5,0.5744324,9.0
atr_pct_base,0.011598678,0.002912331,0.04619301,30.333334,8.117197,113.3533,606.8606,176.79826,2083.051,0.081733905,0.023111612,0.28905085,0.16682914,0.061839752,0.4500659,11.0,0.34670788,0.8877033,0.3612813,0.88297874,1.0,0.0,11.5,7.3333335,0.5694494,10.0
