metric,value,filter_type
volume_kalman_snr_improvement,1072.5868188350787,volume
volume_kalman_noise_reduction,0.9990669772197657,volume
volume_kalman_smoothness_ratio,1.205183428275773,volume
volume_kalman_tracking_rmse,6.143665339188057,volume
volume_kalman_high_freq_reduction,-0.18285415294876683,volume
volume_kalman_low_freq_preservation,1.000435109578653,volume
moving_average_snr_improvement,0.0,moving
moving_average_noise_reduction,,moving
moving_average_smoothness_ratio,,moving
moving_average_tracking_rmse,,moving
moving_average_high_freq_reduction,,moving
moving_average_low_freq_preservation,,moving
fisher_snr_improvement,0.0,fisher
fisher_noise_reduction,,fisher
fisher_smoothness_ratio,,fisher
fisher_tracking_rmse,,fisher
fisher_high_freq_reduction,,fisher
fisher_low_freq_preservation,,fisher
