feature_name,group,usage_count
asset_atr_level_pct,regime,363
up_down_semivol_ratio_tanh,regime,297
dist_rolling_7d_high,location,286
return_autocorr_48,regime,281
price_trend_15d_vol_norm,regime,269
range_24h_pct,regime,265
dist_prior_day_high,location,249
loc_bb_channel_pos_48,location,245
price_rv_7d_robust_z,regime,241
price_trend_10d_vol_norm,regime,210
zscore_price_200,location,201
oiw_z_delta_entry_dist_14d_atr,location,185
bars_in_high_vol_state_log_norm,location,178
price_trend_7d_vol_norm,regime,154
dist_ema200_atr,location,139
price_rv_15d_robust_z,regime,138
oi_value_log_7d_robust_z,regime,136
dist_funding_pressure_price_12h_atr,location,133
oi_vol_15d_robust_z,regime,129
oi_expansion_compression_balance_24h,regime,125
asset_funding_rate_abs_mean_7d,regime,119
compression_score,regime,118
variance_ratio_10_48,regime,115
funding_persistence,regime,114
price_rv_10d_robust_z,regime,112
loc_swing_range_pos_24,location,111
oiw_pos_delta_entry_dist_14d_atr,location,108
prior_volatility,regime,100
log_oi_to_volume_1d,regime,97
rolling_range_20,regime,94
loc_swing_range_pos_48,location,93
oi_value_log_1d_robust_z,regime,92
funding_vol_7d_robust_z,regime,91
dist_local_swing,location,88
oiw_entry_zone_1d_atr,regime,88
funding_vol_10d_robust_z,regime,87
efficiency_ratio_20,regime,87
amihud_illiq,regime,85
pullback_depth,location,85
spectral_entropy_ret_24,regime,82
atr_percentile,regime,82
loc_pullback_depth_48,location,82
funding_mean_10d_robust_z,regime,81
asset_funding_rate_mean_3d,regime,79
oi_expansion_compression_balance_96h,regime,78
xasset_funding_ts_resid,regime,76
funding_mean_15d_robust_z,regime,75
up_down_return_mass_ratio_tanh,regime,75
asset_vol_level_pct,regime,75
volume_zscore_48h,regime,73
atr_compression_ratio,regime,72
loc_range_pos_48,location,71
dist_oiw_abs_delta_12h_atr,location,71
oi_vol_7d_robust_z,regime,69
oiw_z_delta_entry_dist_7d_atr,location,65
volume_autocorr_48,regime,65
dist_funding_pressure_price_96h_atr,regime,64
asset_funding_rate_mean_7d,regime,63
leverage_build,regime,61
loc_prev_week_range_pos_48,location,61
asset_minus_mkt_oi_1d_peer_resid,regime,60
loc_session_pos_24,location,60
loc_session_pos_48,location,59
dist_range_mid_atr,location,58
leverage_build_score,regime,58
compression_ratio,regime,58
oiw_pos_delta_entry_dist_7d_atr,location,57
oi_value_z_30d,regime,56
range_expansion_ratio,regime,56
oi_trend_7d_robust_z,regime,55
loc_prev_week_range_pos_24,location,54
direction_entropy_20,regime,53
donchian_zone_1d_atr,regime,53
dist_oiw_intensity_96h_atr,regime,53
funding_vol_15d_robust_z,regime,52
oi_vol_10d_robust_z,regime,52
zscore_price_50,location,50
prior_range,regime,50
choppiness_index_20,regime,50
asset_funding_rate_mean_15d,regime,48
ema50_slope,regime,48
dist_oiw_z_delta_96h_atr,regime,48
funding_z,regime,47
oiw_intensity_entry_dist_7d_atr,location,47
trend_acceleration,regime,47
loc_ema_stack_pos_48,location,46
fund_abs_z_mkt_resid,regime,45
vol_z_peer_resid,regime,43
loc_pullback_depth_24,location,42
dist_ma100_atr,location,41
xasset_asset_minus_basket_fund_z,regime,40
funding_per_hour_z,regime,39
fund_rate_z_14d,regime,37
loc_initial_balance_pos_24,location,37
asset_funding_z,regime,37
loc_range_pos_24,location,36
funding_mean_7d_robust_z,regime,36
volume_trend_48,regime,35
oi_to_volume_1d_z_90d,regime,34
xasset_asset_minus_mkt_funding,regime,34
cs_rank_oi_value_z_30d,regime,34
oi_rank,regime,33
oiw_z_delta_entry_dist_1d_atr,location,32
loc_ema_stack_pos_24,location,32
oi_trend_10d_robust_z,regime,32
log_oi_to_volume_7d,regime,30
rvol_z_peer_resid,regime,30
asset_minus_mkt_oi_1d_z_90d,regime,29
bollinger_band_width,regime,29
dist_prior_day_low,location,29
dist_ema50_atr,location,29
volume_percentile,regime,28
grind_score_surprise,regime,28
spike_score_surprise,regime,27
loc_initial_balance_pos_48,location,26
oi_value_z_90d,regime,26
true_range_percentile,regime,25
dist_ema20_atr,location,24
funding_rank_30d,regime,23
oi_z,regime,22
dist_oiw_signed_delta_12h_atr,location,21
funding_per_hour_mkt_resid,regime,21
distance_to_ema,location,21
loc_prev_day_range_pos_48,location,21
range_per_funding_abs_z_24h,regime,20
funding_abs_z,regime,20
exh_qual_surprise,regime,19
asset_minus_mkt_oi_1d,regime,18
loc_pivot_ladder_pos_48,location,18
asset_minus_mkt_oi_7d,regime,18
oiw_pos_delta_entry_dist_1d_atr,location,18
funding_per_hour,regime,15
ema_slope_norm,regime,15
loc_prior_bar_pos_24,location,13
oiw_intensity_entry_dist_1d_atr,location,13
funding_rate,regime,12
funding_1d_chg_peer_resid,regime,12
loc_bb_channel_pos_24,location,10
funding_mom_w,regime,10
loc_prev_day_range_pos_24,location,9
volume_entropy_24,regime,8
volume_price_corr_ts_resid,regime,8
loc_pivot_ladder_pos_24,location,8
loc_prior_bar_pos_48,location,7
overext_surprise,regime,6
xasset_funding_peer_resid,regime,4
