fold_id,target_mean,target_std,target_p1,target_p50,target_p99
0,-6.13635e-05,0.012371646,-0.034818485,0.0,0.036995362
1,-3.871803e-05,0.012409433,-0.034875527,-9.702461e-12,0.037482932
2,4.9521686e-06,0.01220559,-0.034614217,0.0,0.03752867
3,3.4315704e-05,0.012139061,-0.03441949,0.0,0.037359692
4,2.2116494e-05,0.011832412,-0.03407892,0.0,0.036870077
