rejection_reason,count
b_sign_consistency_too_low,986
b_mask_ic_uplift_too_low,307
b_positive_ic_fraction_too_low,229
b_min_fold_support_too_low,144
b_support_instability_too_high,12
b_support_too_low,58
b_decile_spread_too_low,6
low_support,5
b_oos_ic_too_low,22
b_mean_net_ret_too_low,1
b_support_too_high,3
