rejection_reason,count
b_sign_consistency_too_low,904
b_mask_ic_uplift_too_low,579
b_support_too_high,62
b_support_too_low,310
b_min_fold_support_too_low,141
b_positive_ic_fraction_too_low,51
b_decile_spread_too_low,1
b_oos_ic_too_low,12
