symbol,rows,valid_ohlc_rows,spot_rows,funding_rows,oi_rows,mark_rows,zero_heavy_features_before,zero_heavy_features_after
1INCH_USD:USD,33711,27643,27643,3469,61,27340,130,129
2Z_USD:USD,33711,5379,5379,5379,57,5367,273,43
AAVE_USD:USD,33711,6705,6705,6691,57,6634,159,41
ADA_USD:USD,33711,6705,6705,6691,57,6634,158,36
AEVO_USD:USD,33711,6705,6705,6691,57,6634,185,42
AIXBT_USD:USD,33711,6705,6705,6696,56,6648,162,35
AKT_USD:USD,33711,6705,6705,6705,57,6694,167,29
ALCH_USD:USD,33711,6705,6705,6705,57,6694,168,32
ALEO_USD:USD,33711,1693,724,1693,20,1692,759,66
ALGO_USD:USD,33711,2055,2055,1753,63,1751,387,92
ALICE_USD:USD,33711,4472,4472,4465,60,4409,213,29
ALT_USD:USD,33711,375,375,73,63,71,759,0
ANIME_USD:USD,33711,375,375,73,63,71,759,0
ANKR_USD:USD,33711,4472,4472,4465,60,4409,201,28
APE_USD:USD,33711,375,375,73,63,71,759,0
API3_USD:USD,33711,375,375,73,63,71,759,0
APT_USD:USD,33711,375,375,73,63,71,759,0
ARB_USD:USD,33711,375,375,73,63,71,759,0
ARC_USD:USD,33711,4472,4472,4454,61,4399,177,23
ARKM_USD:USD,33711,4472,4472,4454,61,4399,254,28
AR_USD:USD,33711,375,375,73,63,71,759,0
ASTER_USD:USD,33711,375,375,73,63,71,759,0
ASTR_USD:USD,33711,4472,4472,4454,61,4399,221,34
ATH_USD:USD,33711,4472,4472,4454,61,4399,207,32
ATOM_USD:USD,33711,375,375,73,63,71,759,0
AUCTION_USD:USD,33711,375,375,73,63,71,759,0
AUD_USD:USD,33711,4472,4472,4454,61,4399,416,126
AVAX_USD:USD,33711,375,375,73,63,71,759,0
AXS_USD:USD,33711,375,375,73,63,71,759,0
B3_USD:USD,33711,4472,4472,4454,61,4399,226,36
BAND_USD:USD,33711,2391,2391,2089,63,1922,386,109
BAT_USD:USD,33711,375,375,73,63,71,759,0
BCH_USD:USD,33711,375,375,73,63,71,759,0
BDX_USD:USD,33711,2001,693,1977,0,1910,762,461
BEAM_USD:USD,33711,375,375,73,63,71,759,0
BERA_USD:USD,33711,375,375,73,63,71,759,0
BICO_USD:USD,33711,375,375,73,63,71,759,0
BIGTIME_USD:USD,33711,375,375,73,63,71,759,0
BIO_USD:USD,33711,375,375,73,63,71,759,0
BLUR_USD:USD,33711,375,375,73,63,71,759,0
BNB_USD:USD,33711,376,375,74,64,72,759,0
BNT_USD:USD,33711,376,375,74,64,72,759,0
BONK_USD:USD,33711,376,375,74,64,72,759,0
BTC_USD:USD,33711,376,375,74,64,72,759,0
C98_USD:USD,33711,376,375,74,64,72,759,0
CAKE_USD:USD,33711,376,375,74,64,72,759,0
CAT_USD:USD,33711,376,375,74,64,72,759,0
CELO_USD:USD,33711,376,375,74,64,72,759,0
CELR_USD:USD,33711,376,375,74,64,72,759,0
CFG_USD:USD,33711,1975,1974,1957,61,1899,758,18
CHR_USD:USD,33711,376,375,74,64,72,759,0
CHZ_USD:USD,33711,376,375,74,64,72,759,0
COMP_USD:USD,33711,376,375,74,64,72,759,0
COOKIE_USD:USD,33711,376,375,74,64,72,759,0
COTI_USD:USD,33711,376,375,74,64,72,759,0
COW_USD:USD,33711,376,375,74,64,72,759,0
CRO_USD:USD,33711,376,375,74,64,72,759,0
CRV_USD:USD,33711,376,375,74,64,72,759,0
CTSI_USD:USD,33711,6706,6705,6689,62,6633,182,35
CVX_USD:USD,33711,6706,6705,6685,62,6625,163,32
CYBER_USD:USD,33711,376,375,74,64,72,759,0
DASH_USD:USD,33711,376,375,74,64,72,759,0
DEEP_USD:USD,33711,376,375,74,64,72,759,0
DEGEN_USD:USD,33711,376,375,74,64,72,759,0
DENT_USD:USD,33711,376,375,74,64,72,759,0
DOGE_USD:USD,33711,376,375,74,64,72,759,0
DOGS_USD:USD,33711,376,375,74,64,72,759,0
DOG_USD:USD,33711,376,375,74,64,72,759,0
DOT_USD:USD,33711,376,375,74,64,72,759,0
DYDX_USD:USD,33711,376,375,74,64,72,759,0
DYM_USD:USD,33711,376,375,74,64,72,759,0
EGLD_USD:USD,33711,376,375,74,64,72,759,0
EIGEN_USD:USD,33711,376,375,74,64,72,759,0
ENA_USD:USD,33711,376,375,74,64,72,759,0
ENJ_USD:USD,33711,376,375,74,64,72,759,0
ENS_USD:USD,33711,376,375,74,64,72,759,0
ESPORTS_USD:USD,33711,376,375,74,64,72,759,0
ETC_USD:USD,33711,376,375,74,64,72,759,0
ETHFI_USD:USD,33711,376,375,74,64,72,759,0
ETH_USD:USD,33711,376,375,74,64,72,759,0
EUR_USD:USD,33711,376,375,74,64,72,759,0
FARTCOIN_USD:USD,33711,376,375,74,64,72,759,0
FET_USD:USD,33711,376,375,74,64,72,759,0
FIL_USD:USD,33711,376,375,74,64,72,759,0
FLOKI_USD:USD,33711,376,375,74,64,72,759,0
FLOW_USD:USD,33711,376,375,74,64,72,759,0
FLR_USD:USD,33711,376,375,74,64,72,759,0
FLUX_USD:USD,33711,376,375,74,64,72,759,0
GALA_USD:USD,33711,376,375,74,64,72,759,0
GBP_USD:USD,33711,376,375,74,0,72,759,0
GIGA_USD:USD,33711,376,375,74,64,72,759,0
GMT_USD:USD,33711,376,375,74,64,72,759,0
GMX_USD:USD,33711,376,375,74,64,72,759,0
GOAT_USD:USD,33711,376,375,74,64,72,759,0
GRASS_USD:USD,33711,376,375,74,64,72,759,0
GRIFFAIN_USD:USD,33711,376,375,74,64,72,759,0
GRT_USD:USD,33711,376,375,74,64,72,759,0
GTC_USD:USD,33711,376,375,74,64,72,759,0
HBAR_USD:USD,33711,376,375,74,64,72,759,0
HFT_USD:USD,33711,376,375,74,64,72,759,0
HMSTR_USD:USD,33711,376,375,74,64,72,759,0
ICP_USD:USD,33711,376,375,74,64,72,759,0
ICX_USD:USD,33711,376,375,74,64,72,759,0
IMX_USD:USD,33711,376,375,74,64,72,759,0
INIT_USD:USD,33711,376,375,74,64,72,759,0
INJ_USD:USD,33711,376,375,74,64,72,759,0
IP_USD:USD,33711,376,375,74,64,72,759,0
JASMY_USD:USD,33711,376,375,74,64,72,759,0
JTO_USD:USD,33711,376,375,74,64,72,759,0
JUP_USD:USD,33711,376,375,74,64,72,759,0
KAITO_USD:USD,33711,376,375,74,64,72,759,0
KAS_USD:USD,33711,376,375,74,64,72,759,0
KAVA_USD:USD,33711,376,375,74,64,72,759,0
KSM_USD:USD,33711,376,375,74,64,72,759,0
LAYER_USD:USD,33711,377,375,75,64,74,759,0
LCAP_USD:USD,33711,377,375,75,64,74,759,0
LDO_USD:USD,33711,377,375,75,64,74,759,0
LINK_USD:USD,33711,377,375,75,64,74,759,0
LPT_USD:USD,33711,377,375,75,64,74,759,0
LQTY_USD:USD,33711,377,375,75,64,74,759,0
LRC_USD:USD,33711,377,375,75,64,74,759,0
LSK_USD:USD,33711,377,375,75,64,74,759,0
LTC_USD:USD,33711,377,375,75,64,74,759,0
MANA_USD:USD,33711,377,375,75,64,74,759,0
MELANIA_USD:USD,33711,377,375,75,64,74,759,0
METIS_USD:USD,33711,377,375,75,64,74,759,0
MEW_USD:USD,33711,377,375,75,64,74,759,0
ME_USD:USD,33711,377,375,75,64,74,759,0
MINA_USD:USD,33711,377,375,75,64,74,759,0
MIRA_USD:USD,33711,377,375,75,64,74,759,0
MNT_USD:USD,33711,377,375,75,64,74,759,0
MOG_USD:USD,33711,377,375,75,64,74,759,0
MON_USD:USD,33711,377,375,75,64,74,759,0
MOODENG_USD:USD,33711,4474,4472,4287,61,4401,174,36
MORPHO_USD:USD,33711,377,375,75,64,74,759,0
MOVR_USD:USD,33711,4474,4472,4464,58,4407,227,28
MUBARAK_USD:USD,33711,377,375,75,64,74,759,0
NEAR_USD:USD,33711,377,375,75,64,74,759,0
NEIRO_USD:USD,33711,377,375,75,64,74,759,0
NIGHT_USD:USD,33711,377,375,75,64,74,759,0
NMR_USD:USD,33711,3336,3334,3257,65,3214,224,90
NOT_USD:USD,33711,377,375,75,64,74,759,0
OGN_USD:USD,33711,377,375,75,64,74,759,0
OMI_USD:USD,33711,377,375,75,64,74,759,0
ONDO_USD:USD,33711,377,375,75,64,74,759,0
OPEN_USD:USD,33711,377,375,75,64,74,759,0
OP_USD:USD,33711,377,375,75,64,74,759,0
ORCA_USD:USD,33711,377,375,75,64,74,759,0
ORDER_USD:USD,33711,377,375,75,64,74,759,0
OXT_USD:USD,33711,377,375,75,64,74,759,0
PAXG_USD:USD,33711,377,375,75,64,74,759,0
PENDLE_USD:USD,33711,377,375,75,64,74,759,0
PENGU_USD:USD,33711,377,375,75,64,74,759,0
PEPE_USD:USD,33711,377,375,75,64,74,759,0
PNUT_USD:USD,33711,377,375,75,64,74,759,0
POL_USD:USD,33711,377,375,75,64,74,759,0
POPCAT_USD:USD,33711,377,375,75,64,74,759,0
PORTAL_USD:USD,33711,377,375,75,64,74,759,0
POWR_USD:USD,33711,377,375,75,64,74,759,0
PROMPT_USD:USD,33711,377,375,75,64,74,759,0
PUMP_USD:USD,33711,377,375,75,64,74,759,0
PYTH_USD:USD,33711,377,375,75,64,74,759,0
QNT_USD:USD,33711,377,375,75,64,74,759,0
QTUM_USD:USD,33711,377,375,75,64,74,759,0
RARE_USD:USD,33711,377,375,75,64,74,759,0
RARI_USD:USD,33711,377,375,75,64,74,759,0
RAVE_USD:USD,33711,1500,1498,1479,63,1425,759,33
RAY_USD:USD,33711,377,375,75,64,74,759,0
RENDER_USD:USD,33711,377,375,75,64,74,759,0
REZ_USD:USD,33711,377,375,75,64,74,759,0
RIVER_USD:USD,33711,377,375,75,64,74,759,0
RLC_USD:USD,33711,377,375,75,64,74,759,0
RSR_USD:USD,33711,377,375,75,64,74,759,0
RUNE_USD:USD,33711,377,375,75,64,74,759,0
SAGA_USD:USD,33711,377,375,75,64,74,759,0
SAND_USD:USD,33711,377,375,75,64,74,759,0
SEI_USD:USD,33711,377,375,75,64,74,759,0
SHIB_USD:USD,33711,377,375,75,64,74,759,0
SNX_USD:USD,33711,377,375,75,64,74,759,0
SOLV_USD:USD,33711,377,375,75,64,74,759,0
SOL_USD:USD,33711,377,375,75,64,74,759,0
SONIC_USD:USD,33711,377,375,75,64,74,759,0
SOON_USD:USD,33711,377,375,75,64,74,759,0
SPELL_USD:USD,33711,377,375,75,64,74,759,0
SPK_USD:USD,33711,377,375,75,64,74,759,0
SPX_USD:USD,33711,377,375,75,64,74,759,0
SSV_USD:USD,33711,377,375,75,64,74,759,0
STBL_USD:USD,33711,377,375,75,64,74,759,0
STG_USD:USD,33711,377,375,75,64,74,759,0
STORJ_USD:USD,33711,377,375,75,64,74,759,0
STRK_USD:USD,33711,377,375,75,64,74,759,0
STX_USD:USD,33711,377,375,75,64,74,759,0
SUI_USD:USD,33711,377,375,75,64,74,759,0
SUN_USD:USD,33711,377,375,75,64,74,759,0
SUPER_USD:USD,33711,377,375,75,64,74,759,0
SUSHI_USD:USD,33711,377,375,75,64,74,759,0
SWARMS_USD:USD,33711,377,375,75,64,74,759,0
SXT_USD:USD,33711,378,375,75,66,73,759,0
SYN_USD:USD,33711,378,375,75,66,73,759,0
SYRUP_USD:USD,33711,378,375,75,66,73,789,0
S_USD:USD,33711,377,375,75,64,74,759,0
TAO_USD:USD,33711,378,375,75,66,73,789,0
TIA_USD:USD,33711,378,375,75,66,73,789,0
TLM_USD:USD,33711,378,375,75,66,73,789,0
TNSR_USD:USD,33711,378,375,75,66,73,789,0
TON_USD:USD,33711,378,375,75,66,73,789,0
TRUMP_USD:USD,33711,378,375,75,66,73,789,0
TRU_USD:USD,33711,378,375,75,66,73,789,0
TRX_USD:USD,33711,378,375,75,66,73,789,0
TURBO_USD:USD,33711,378,375,75,66,73,789,0
T_USD:USD,33711,378,375,75,66,73,789,0
UMA_USD:USD,33711,378,375,75,66,73,789,0
UNI_USD:USD,33711,378,375,75,66,73,789,0
