symbol,rows,valid_ohlc_rows,spot_rows,funding_rows,oi_rows,mark_rows,zero_heavy_features_before,zero_heavy_features_after
NMR_USD:USD,16423,16423,16423,3249,50,2966,26,26
NOT_USD:USD,16306,16306,11049,75,75,74,26,24
OGN_USD:USD,32578,32578,32578,75,75,74,22,20
OMI_USD:USD,3533,3533,3533,3528,3204,3250,36,33
ONDO_USD:USD,18440,18440,18440,75,75,74,16,14
OPEN_USD:USD,5334,5334,5334,5320,5299,4924,10,10
OP_USD:USD,34726,34726,23128,75,75,74,16,14
ORCA_USD:USD,12368,12368,12368,75,75,74,16,14
ORDER_USD:USD,5503,5503,5503,5481,5503,5045,14,14
OXT_USD:USD,13604,13604,13604,75,75,74,25,23
PAXG_USD:USD,24177,24177,24177,75,75,74,32,26
PENDLE_USD:USD,17292,17292,17099,75,75,74,19,15
PENGU_USD:USD,12368,12368,11434,75,75,74,23,21
PEPE_USD:USD,26173,26173,26173,75,75,74,26,24
PNUT_USD:USD,12945,12945,12418,75,75,74,17,15
POL_USD:USD,14556,14556,14556,75,75,74,17,15
POPCAT_USD:USD,16808,16808,14577,75,75,74,16,14
PORTAL_USD:USD,16641,16641,16507,75,75,74,20,18
POWR_USD:USD,17621,17621,17621,75,75,74,25,23
PROMPT_USD:USD,5498,5498,5498,5476,5456,5029,16,16
PUMP_USD:USD,7423,7423,7423,75,75,74,24,22
PYTH_USD:USD,21655,21655,21514,75,75,74,17,15
QNT_USD:USD,31566,31566,31566,75,75,74,30,24
QTUM_USD:USD,32747,32747,32747,75,75,74,20,16
RARE_USD:USD,15394,15394,15394,75,75,74,22,20
RARI_USD:USD,5000,5000,5000,4995,4707,4616,31,31
RAY_USD:USD,13733,13733,13733,75,75,74,14,12
RENDER_USD:USD,15801,15801,15637,75,75,74,19,15
REZ_USD:USD,16069,16069,16069,75,75,74,23,21
RIVER_USD:USD,4663,4663,4663,4646,2759,4253,27,27
RLC_USD:USD,27195,27195,27195,75,75,74,20,18
RSR_USD:USD,14433,14433,12946,75,75,74,24,22
RUNE_USD:USD,32409,32409,32409,75,75,74,18,16
SAGA_USD:USD,18385,18385,16136,75,75,74,16,14
SAND_USD:USD,33752,33752,33752,75,75,74,19,17
SEI_USD:USD,19140,19140,19140,75,75,74,19,17
SHIB_USD:USD,26037,26037,26037,75,75,74,25,23
SNX_USD:USD,33923,33923,33923,75,75,74,18,16
SOLV_USD:USD,11071,11071,3823,75,75,74,24,22
SOL_USD:USD,35027,35027,35027,75,75,74,31,25
SONIC_USD:USD,11431,11431,11263,75,75,74,24,22
SOON_USD:USD,5624,5624,5624,5615,5620,5230,15,15
SPELL_USD:USD,19497,19497,19497,75,75,74,24,22
SPK_USD:USD,7777,7777,7777,75,75,74,17,15
SPX_USD:USD,12368,12368,12368,75,75,74,14,12
SSV_USD:USD,13399,13399,13399,75,75,74,20,16
STBL_USD:USD,5651,5651,5651,5621,5604,5174,13,13
STG_USD:USD,24680,24680,24680,75,75,74,18,16
STORJ_USD:USD,32410,32410,32410,75,75,74,16,14
STRK_USD:USD,19645,19645,19645,75,75,74,20,18
STX_USD:USD,27513,27513,27513,75,75,74,16,14
SUI_USD:USD,26700,26700,26700,75,75,74,16,14
SUN_USD:USD,13787,13787,9753,75,75,74,22,20
SUPER_USD:USD,18108,18108,18108,75,75,74,17,15
SUSHI_USD:USD,32578,32578,32578,75,75,74,17,15
SWARMS_USD:USD,11262,11262,11262,75,75,74,22,20
SXT_USD:USD,8682,8682,8682,76,76,74,21,19
SYN_USD:USD,15248,15248,15248,76,76,74,18,16
SYRUP_USD:USD,8762,8762,8762,76,76,74,14,12
S_USD:USD,11674,11674,9106,75,75,74,16,14
TAO_USD:USD,16570,16570,16513,76,76,74,32,26
TIA_USD:USD,21655,21655,21655,76,76,74,19,17
TLM_USD:USD,17124,17124,17124,76,76,74,24,22
TNSR_USD:USD,17124,17124,17124,76,76,74,15,13
TON_USD:USD,17984,17984,14049,76,76,74,21,17
TRUMP_USD:USD,11675,11675,11669,76,76,74,20,15
TRU_USD:USD,18281,18281,18281,76,76,74,24,22
TRX_USD:USD,34305,34305,34305,76,76,74,24,22
TURBO_USD:USD,17124,17124,15464,76,76,74,26,24
T_USD:USD,17791,17791,17791,76,76,74,26,24
UMA_USD:USD,20271,20271,20271,76,76,74,16,14
UNI_USD:USD,35027,35027,35027,76,76,74,24,19
USDC_USD:USD,27967,27967,27967,76,76,74,34,29
USDT_USD:USD,27967,27967,27967,76,76,74,18,16
USUAL_USD:USD,11748,11748,11408,76,76,74,25,23
VELO_USD:USD,11261,11261,1522,76,76,74,24,24
VET_USD:USD,13398,13398,3299,76,76,74,25,23
VINE_USD:USD,11525,11525,11264,76,76,74,20,18
VIRTUAL_USD:USD,11621,11621,11074,76,76,74,15,13
WIF_USD:USD,20363,20363,20121,76,76,74,17,15
WLD_USD:USD,24515,24515,10567,76,76,74,16,14
WLFI_USD:USD,6247,6247,6247,6203,6241,5740,19,19
WOO_USD:USD,27371,27371,27371,76,76,74,17,15
W_USD:USD,18515,18515,18515,76,76,74,18,16
XCN_USD:USD,11436,11436,11436,76,76,74,16,16
XLM_USD:USD,33923,33923,33923,76,76,74,20,18
XMR_USD:USD,35028,35028,35028,76,76,74,31,25
XPL_USD:USD,5647,5647,5647,5634,5643,5206,9,9
XRP_USD:USD,35027,35027,35027,76,76,74,18,16
XTZ_USD:USD,33923,33923,33923,76,76,74,17,15
YFI_USD:USD,33751,33751,33751,72,71,53,29,23
YGG_USD:USD,18464,18464,18464,76,76,74,18,16
ZBT_USD:USD,4659,4659,4659,4648,3410,4277,16,16
ZEC_USD:USD,32747,32747,32747,72,71,53,28,22
ZK_USD:USD,15747,15747,15439,76,76,74,18,16
ZRO_USD:USD,16741,16741,16513,76,76,74,20,16
ZRX_USD:USD,27200,27200,27200,72,71,53,17,15
