symbol,feature_rows,innovation_z_x_zr_3h_bad,innovation_z_x_zr_3h_finite,oi_rel_vol_2h_bad,oi_rel_vol_2h_finite,oi_rel_vol_4h_bad,oi_rel_vol_4h_finite,oi_rel_vol_8h_bad,oi_rel_vol_8h_finite,unwind_score_bad,unwind_score_finite,dist_vwap_norm_bad,dist_vwap_norm_finite,dist_stack_bad,dist_stack_finite,vwap_zone_1d_atr_bad,vwap_zone_1d_atr_finite,vwap_zone_7d_atr_bad,vwap_zone_7d_atr_finite,raw_rows,raw_start,raw_end,raw_open_finite,raw_high_finite,raw_low_finite,raw_close_finite,raw_volume_finite,raw_funding_rate_finite,raw_open_interest_finite,raw_mark_price_finite,raw_mark_close_finite,raw_index_price_finite,raw_index_close_finite,raw_spot_close_finite,raw_spot_volume_finite,fund_file_rows,fund_funding_rate_finite,fund_open_interest_finite,fund_mark_price_finite,fund_index_price_finite,orderbook_exists,orderbook_rows
1INCH_USD:USD,35041,33348,1693,14422,20619,10819,24222,8346,26695,19447,15594,2545,32496,3821,31220,2295,32746,2231,32810,32810,2022-08-24 16:00:00+00:00,2026-05-22 17:00:00+00:00,32810,32810,32810,32810,32810,32808,28133,32809,32809,135,135,32807,32807,32810,32810,28133,32810,135,False,0
2Z_USD:USD,35041,34989,52,34226,815,33831,1210,33330,1711,33141,1900,32207,2834,33174,1867,31283,3758,29977,5064,5447,2025-10-07 19:00:00+00:00,2026-05-22 17:00:00+00:00,5447,5447,5447,5447,5447,5447,5447,5447,5447,11,11,5435,5435,5447,5447,5447,5447,12,False,0
AAVE_USD:USD,35041,1768,33273,7133,27908,6960,28081,6919,28122,10746,24295,846,34195,2296,32745,840,34201,840,34201,34202,2022-06-27 16:00:00+00:00,2026-05-22 17:00:00+00:00,34202,34202,34202,34202,34202,34199,28133,34200,34200,89,89,34199,34199,34202,34202,28134,34202,89,False,0
ADA_USD:USD,35041,30897,4144,6923,28118,6918,28123,6918,28123,10308,24733,0,35041,1458,33583,1,35040,1,35040,35094,2022-05-21 12:00:00+00:00,2026-05-22 17:00:00+00:00,35094,35094,35094,35094,35094,35035,28133,35038,35038,136,136,35037,35037,35094,35094,28135,35041,136,False,0
AEVO_USD:USD,35041,34333,708,25216,9825,22099,12942,19636,15405,30629,4412,17836,17205,19294,15747,17570,17471,17537,17504,17504,2024-05-23 10:00:00+00:00,2026-05-22 17:00:00+00:00,17504,17504,17504,17504,17504,17504,17504,17504,17504,0,0,17503,17503,17504,17504,17504,17504,3,False,0
AIXBT_USD:USD,35041,34752,289,24647,10394,23838,11203,23501,11540,29954,5087,23373,11668,24831,10210,23374,11667,23374,11667,11667,2025-01-21 15:00:00+00:00,2026-05-22 17:00:00+00:00,11667,11667,11667,11667,11667,11667,11667,11667,11667,116,116,11666,11666,11667,11667,11667,11667,116,False,0
AKT_USD:USD,35041,30205,4836,26848,8193,24688,10353,22980,12061,25249,9792,21915,13126,23373,11668,21861,13180,21861,13180,13180,2024-11-19 14:00:00+00:00,2026-05-22 17:00:00+00:00,13180,13180,13180,13180,13180,13179,13179,13179,13179,11,11,13179,13179,13180,13180,13180,13180,12,False,0
ALCH_USD:USD,35041,34491,550,26812,8229,25484,9557,24500,10541,33866,1175,23769,11272,25227,9814,23628,11413,23539,11502,11502,2025-01-28 12:00:00+00:00,2026-05-22 17:00:00+00:00,11502,11502,11502,11502,11502,11495,11502,11502,11502,11,11,11494,11494,11502,11502,11502,11502,12,False,0
ALGO_USD:USD,35041,34088,953,9029,26012,7719,27322,7102,27939,10344,24697,1062,33979,2517,32524,1053,33988,1053,33988,33988,2022-07-06 14:00:00+00:00,2026-05-22 17:00:00+00:00,33988,33988,33988,33988,33988,33981,28134,33985,33985,135,135,33984,33984,33988,33986,28135,33987,135,False,0
ALICE_USD:USD,35041,23236,11805,20305,14736,15411,19630,11164,23877,34406,635,3855,31186,5130,29911,3063,31978,2905,32136,32138,2022-09-21 16:00:00+00:00,2026-05-22 17:00:00+00:00,32138,32138,32138,32138,32138,32135,28132,32135,32135,11,11,32135,32135,32138,32138,28134,32138,12,False,0
ALT_USD:USD,35041,34926,115,25613,9428,22805,12236,20374,14667,32408,2633,18272,16769,19679,15362,17857,17184,17700,17341,17357,2024-05-29 13:00:00+00:00,2026-05-22 17:00:00+00:00,17357,17357,17357,17357,17357,17355,17357,17357,17357,135,135,17356,17356,17357,17356,17357,17357,135,False,0
ANIME_USD:USD,35041,35021,20,30996,4045,29191,5850,27183,7858,34377,664,24679,10362,25799,9242,23925,11116,23451,11590,11591,2025-01-24 19:00:00+00:00,2026-05-22 17:00:00+00:00,11591,11591,11591,11591,11591,11590,11590,11590,11590,135,135,11590,11590,11591,11591,11591,11591,135,False,0
ANKR_USD:USD,35041,35003,38,16846,18195,12277,22764,9132,25909,20568,14473,3164,31877,4462,30579,2783,32258,2758,32283,32296,2022-09-15 02:00:00+00:00,2026-05-22 17:00:00+00:00,32296,32296,32296,32296,32296,32289,28134,32293,32293,11,11,32292,32292,32296,32294,28135,32295,12,False,0
APE_USD:USD,35041,18053,16988,7467,27574,7000,28041,6920,28121,13714,21327,500,34541,1958,33083,501,34540,501,34540,34540,2022-06-13 14:00:00+00:00,2026-05-22 17:00:00+00:00,34540,34540,34540,34540,34540,34535,28133,34537,34537,135,135,34537,34537,34540,34538,28135,34540,135,False,0
API3_USD:USD,35041,27013,8028,20536,14505,17634,17407,15768,19273,22474,12567,14866,20175,16323,18718,14830,20211,14830,20211,20212,2024-01-31 14:00:00+00:00,2026-05-22 17:00:00+00:00,20212,20212,20212,20212,20212,20205,20211,20211,20211,135,135,20204,20204,20212,20212,20212,20211,135,False,0
APT_USD:USD,35041,7097,27944,8929,26112,7794,27247,7125,27916,11639,23402,3593,31448,5028,30013,3571,31470,3571,31470,31470,2022-10-19 12:00:00+00:00,2026-05-22 17:00:00+00:00,31470,31470,31470,31470,31470,31467,28131,31467,31467,138,138,31467,31467,31470,31470,28133,31470,138,False,0
ARB_USD:USD,35041,27712,7329,8715,26326,7914,27127,7470,27571,10847,24194,7292,27749,8750,26291,7293,27748,7293,27748,27748,2023-03-23 14:00:00+00:00,2026-05-22 17:00:00+00:00,27748,27748,27748,27748,27748,27745,27746,27746,27746,138,138,27746,27746,27748,27747,27748,27748,138,False,0
ARC_USD:USD,35041,34711,330,26268,8773,25052,9989,24200,10841,33917,1124,23608,11433,25066,9975,23543,11498,23543,11498,11498,2025-01-28 16:00:00+00:00,2026-05-22 17:00:00+00:00,11498,11498,11498,11498,11498,11491,11498,11498,11498,11,11,11490,11490,11498,11498,11498,11498,12,False,0
