strategy,strategy_id,threshold,scope,month,n,net_hit,gross_hit,mean_net_bps,median_net_bps,mean_gross_bps,fees_bps,entry_gap_bps,entry_slip_proxy_bps
long_loc,long_loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147,0.85,local_candidates,2026-01,12,0.0,0.0,-85.32160349322662,-82.6878302761225,-65.38699038424689,19.934613108979722,0.0,0.0
long_loc,long_loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147,0.85,local_candidates,2026-02,287,0.5331010452961672,0.5400696864111498,145.31529752865248,89.32468939692578,165.48077946416973,20.16548193551727,0.41947160691447355,0.01738712389537088
long_loc,long_loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147,0.85,local_candidates,2026-03,589,0.5025466893039049,0.5025466893039049,233.96833001200042,7.508617271460743,254.22255237442425,20.25422236242387,1.9233377981588222,0.0056496729701405145
long_loc,long_loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147,0.85,local_candidates,2026-04,738,0.5338753387533876,0.5338753387533876,293.41501770845474,97.79914639803788,313.7287491038993,20.313731395444577,0.9607140150235896,0.008145737120120941
long_loc,long_loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147,0.85,local_candidates,2026-05,549,0.6466302367941712,0.6466302367941712,307.4148409775038,122.2590602871638,327.7425836138126,20.32774263630886,1.1255133149526677,0.14781599680129215
long_loc,long_loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147,0.85,accepted_portfolio,2026-01,2,0.0,0.0,-86.22956649642785,-86.22956649642785,-66.29586300795391,19.933703488473945,0.0,0.0
long_loc,long_loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147,0.85,accepted_portfolio,2026-02,74,0.7162162162162162,0.7297297297297297,221.3203678625293,166.08538863705616,241.56192988244038,20.241562019911107,-0.27540690865237466,0.0
long_loc,long_loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147,0.85,accepted_portfolio,2026-03,127,0.7007874015748031,0.7007874015748031,354.5324359171529,179.9641551799433,374.90734205709595,20.37490613994304,0.07442325927081149,0.0
long_loc,long_loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147,0.85,accepted_portfolio,2026-04,154,0.6493506493506493,0.6493506493506493,335.5738964404332,142.9116533504282,355.9298265916885,20.355930151255347,0.07772059609829024,0.0
long_loc,long_loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147,0.85,accepted_portfolio,2026-05,116,0.6724137931034483,0.6724137931034483,285.9233851990706,127.86343135608027,306.2296153461853,20.306230147114782,0.08147323296772033,0.04110266380999332
long_dist,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,0.88,local_candidates,2026-01,9,0.3333333333333333,0.3333333333333333,-15.528501290600946,-65.50730126066696,4.475976351466053,20.004477642067,-17.057779030195984,0.0
long_dist,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,0.88,local_candidates,2026-02,554,0.3664259927797834,0.4259927797833935,115.10605611064683,-61.555295134504625,135.24129806737446,20.135241956727615,-1.477610376932957,0.04010400804323685
long_dist,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,0.88,local_candidates,2026-03,1275,0.46509803921568627,0.5090196078431373,190.741551732948,-11.770423447270556,210.95250572017682,20.210953987228866,0.6193057336110781,0.05572909792189087
long_dist,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,0.88,local_candidates,2026-04,1810,0.5093922651933702,0.5408839779005525,304.8863990147939,8.443472872195786,325.21161187863186,20.325212863838008,0.047087934589475765,0.011252391273596358
long_dist,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,0.88,local_candidates,2026-05,1150,0.6121739130434782,0.6469565217391304,324.34148494361875,149.24487080122393,344.68617186412365,20.344686920504962,-0.5874768402058246,0.0
long_dist,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,0.88,accepted_portfolio,2026-01,4,0.75,0.75,58.65378305241498,25.03033957023392,78.7325178680147,20.078734815599702,0.0,0.0
long_dist,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,0.88,accepted_portfolio,2026-02,95,0.4105263157894737,0.45263157894736844,145.45364842449666,-61.13192601899459,165.61927020012334,20.16562177562666,1.264422731463053,0.0
long_dist,long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,0.88,accepted_portfolio,2026-03,210,0.5571428571428572,0.6,241.14389902501864,114.79806597228591,261.4053042615775,20.26140523655885,0.010753215089285919,0.0
