strategy_short,month,trades,hit_rate_net,hit_rate_gross,hit_rate_no_delay_net_same_exit,mean_net_return_pct,mean_gross_return_pct,mean_no_delay_net_same_exit_pct,mean_no_delay_gross_same_exit_pct,delay_cost_bps_net_mean,delay_cost_bps_net_median,delay_cost_bps_gross_mean,entry_gap_bps_mean,entry_gap_bps_median,entry_gap_bps_p90,entry_gap_bps_p10,entry_slippage_proxy_bps_mean,expected_friction_bps_mean,gross_to_net_friction_bps_mean,delayed_1m_fill_rate,mean_position_size
long_dist,2026-01,6.0,0.5,0.5,0.5,0.1474303856271483,0.3477781855935711,-0.10730821023352656,0.09303958973289617,-25.47385958606748,-1.734723475976807e-13,-25.47385958606748,-25.586668545293975,0.0,0.0,-76.76000563588192,0.0,20.03477999664227,20.03477999664227,1.0,909.7995764199827
long_dist,2026-02,118.0,0.4406779661016949,0.4830508474576271,0.4406779661016949,1.7105841144816034,1.9124966384250837,1.6878565910485162,1.8897691149919955,-2.272752343308791,-1.2576745200831851e-13,-2.27275234330879,-2.336406393859219,0.0,0.0,0.0,0.0,20.191252394347995,20.191252394347995,1.0,2023.7323223925998
long_dist,2026-03,236.0,0.538135593220339,0.576271186440678,0.538135593220339,2.374660555647862,2.577237793673003,2.3716152667847057,2.574192504809846,-0.3045288863156396,-4.336808689942018e-14,-0.30452888631563985,-0.3063966638443013,0.0,0.0,0.0,0.0,20.257723802514068,20.257723802514068,1.0,7601.579068492316
long_dist,2026-04,314.0,0.5636942675159236,0.6050955414012739,0.5668789808917197,2.7536991763115215,2.9566558608951015,2.7656831154836725,2.968639800067252,1.1983939172150382,-6.938893903907228e-14,1.1983939172150384,1.2008515808694284,0.0,0.0,0.0,0.0,20.295668458358005,20.295668458358005,1.0,95143.41676396884
long_dist,2026-05,221.0,0.6606334841628959,0.6923076923076923,0.6561085972850679,3.183093043105742,3.386479541251187,3.155449633042372,3.358836131187816,-2.7643410063370304,0.0,-2.7643410063370304,-2.7605967691778424,0.0,0.0,0.0,0.0,20.338649814544485,20.338649814544485,1.0,587925.4692162457
long_loc,2026-01,4.0,0.0,0.0,0.0,-0.8268782551679057,-0.6275057731098628,-0.8268782551679084,-0.6275057731098654,-2.645453300864631e-13,-8.673617379884035e-14,-2.645453300864631e-13,,,,,,19.937248205804295,19.937248205804295,0.0,1121.0068946746326
long_loc,2026-02,72.0,0.7222222222222222,0.7361111111111112,0.7222222222222222,2.4161404757832687,2.618759229562252,2.411062421711167,2.61368117549015,-0.5078054072101866,5.637851296924623e-14,-0.5078054072101863,-0.5162974146829377,0.0,0.0,0.0,0.0,20.261875377898374,20.261875377898374,0.9722222222222222,1867.977538644344
long_loc,2026-03,126.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.363054521472051,3.5666211356986195,3.3638050157846164,3.5673716300111837,0.07504943125648016,6.938893903907228e-14,0.0750494312564801,0.08148063730511257,0.0,0.0,0.0,0.0,20.356661422656824,20.356661422656824,0.9206349206349206,8888.266224759516
long_loc,2026-04,156.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.3147850995364347,3.5183034035597403,3.3155665448716944,3.5190848488950004,0.07814453352596769,-1.3877787807814457e-13,0.07814453352596754,0.08032866979286374,0.0,0.0,0.0,0.0,20.351830402330574,20.351830402330574,0.9551282051282052,91854.02522734489
long_loc,2026-05,106.0,0.6698113207547169,0.6698113207547169,0.660377358490566,3.0569717155875904,3.260231950668014,3.044278940122392,3.247539175202816,-1.2692775465197919,6.071532165918825e-14,-1.269277546519792,-1.3769311580679486,0.0,0.0,0.0,0.049153701051126035,20.326023508042432,20.326023508042432,0.9150943396226415,581157.4027840565
short_dist,2026-01,1.0,1.0,1.0,1.0,5.431835822139719,5.637473047390845,5.431835822139714,5.63747304739084,-5.551115123125783e-13,-5.551115123125783e-13,-5.551115123125783e-13,0.0,0.0,-0.0,-0.0,0.0,20.563722525112556,20.563722525112556,1.0,648.8495775388424
short_dist,2026-02,127.0,0.8582677165354331,0.8582677165354331,0.8582677165354331,3.0811501804586006,3.284434614675507,3.0811501804586015,3.284434614675508,4.4983452094892555e-15,0.0,4.507549189546034e-15,0.0,0.0,0.0,0.0,0.0,20.328443421690636,20.328443421690636,0.7165354330708661,2621.4082144780778
short_dist,2026-03,250.0,0.816,0.828,0.816,2.3536775756728434,2.556233818329113,2.3534444362431146,2.5560006788993843,-0.02331394297287119,-1.463672932855431e-14,-0.02331394297287136,-0.009420912832810066,0.0,0.0,-0.0,0.0,20.25562426562696,20.25562426562696,0.72,11613.383760280265
short_dist,2026-04,206.0,0.7912621359223301,0.8009708737864077,0.7912621359223301,2.6968584086942573,2.899758186788517,2.696858408694258,2.8997581867885174,2.64090070436366e-14,0.0,2.652611140449972e-14,0.0,0.0,0.0,-0.0,0.0,20.289977809425924,20.289977809425924,0.7233009708737864,124962.42947154735
short_dist,2026-05,106.0,0.6981132075471698,0.7075471698113207,0.6981132075471698,2.4241354992230226,2.6267622847357788,2.433809583882556,2.636436369395313,0.9674084659533755,6.938893903907228e-14,0.9674084659533747,1.0711287010122426,0.0,-0.0,0.0,0.0,20.262678551275627,20.262678551275627,0.8962264150943396,787447.3998656475
short_loc,2026-01,44.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,3.478136503672824,3.6818183463683067,3.4925798993290567,3.696261742024541,1.4443395656233422,0.0,1.4443395656233415,1.4732373770886844,0.0,-0.0,0.0,0.0,20.368184269548305,20.368184269548305,1.0,1161.8689817448458
short_loc,2026-02,174.0,0.8333333333333334,0.8448275862068966,0.8333333333333334,2.7471119623985705,2.950062040969919,2.7235773510835517,2.9265274296548998,-2.353461131501894,0.0,-2.353461131501894,-2.6423812882677096,0.0,0.0,0.0,0.06308881013151395,20.29500785713484,20.29500785713484,0.9252873563218391,2379.076767624564
short_loc,2026-03,351.0,0.8347578347578347,0.8404558404558404,0.8319088319088319,1.9734947136802425,2.1756703957696932,1.9711825127191744,2.1733581948086247,-0.23122009610682617,-6.938893903907228e-14,-0.2312200961068262,-0.22559831841206215,0.0,0.0,-0.0,0.07818137185272463,20.21756820894505,20.21756820894505,0.9658119658119658,10739.875926524785
short_loc,2026-04,283.0,0.8303886925795053,0.8374558303886925,0.8303886925795053,1.749428393425824,1.9513797822102033,1.756952451299218,1.9589038400835974,0.7524057873394081,1.3877787807814457e-13,0.752405787339408,0.837400360074311,0.0,-0.0,-0.0,0.36002515872363744,20.195138878437934,20.195138878437934,0.9045936395759717,105772.12370817906
short_loc,2026-05,127.0,0.8188976377952756,0.8346456692913385,0.8188976377952756,2.748605436524209,2.951557022319357,2.7537138342872427,2.95666542008239,0.5108397763033262,-3.469446951953614e-14,0.5108397763033261,0.4934081131177211,0.0,-0.0,0.0,0.0385478123656585,20.295158579514723,20.295158579514723,0.9763779527559056,711877.3539448843
