strategy,month,scope,n,mean_score,p90_score,mean_auction_rank,mean_strategy_rank,net_hit,mean_net_bps,mean_gross_bps
long_dist,2026-01,above_threshold,9,0.7328032784991794,0.7631580352783203,0.9082158413094743,0.8542035717566167,0.3333333333333333,-15.528501290600946,4.475976351466053
long_dist,2026-02,above_threshold,554,0.788945238512776,0.8870458543300629,0.9365092551278411,0.8989645044624337,0.3664259927797834,115.10605611064683,135.24129806737446
long_dist,2026-03,above_threshold,1275,0.799155573050181,0.9145476222038269,0.9403118180705489,0.9050124232663581,0.46509803921568627,190.741551732948,210.95250572017682
long_dist,2026-04,above_threshold,1810,0.8032024187936309,0.9158099472522736,0.9425793228078163,0.908567091849551,0.5093922651933702,304.8863990147939,325.21161187863186
long_dist,2026-05,above_threshold,1150,0.7960770836083786,0.892634791135788,0.9403801508983337,0.9051053196387282,0.6121739130434782,324.34148494361875,344.68617186412365
long_dist,2026-01,all_exported,22,0.6776779673316262,0.742145574092865,0.8684939280444898,0.7984239513586441,0.13636363636363635,-50.11282187351252,-30.142963710773877
long_dist,2026-02,all_exported,903,0.7312117434815315,0.8687941431999207,0.8995053414682367,0.8451597240304671,0.3344407530454042,101.53539569099846,121.65705343877605
long_dist,2026-03,all_exported,1956,0.7436914906850378,0.886772871017456,0.9057597481675514,0.8545757119165435,0.467280163599182,192.63056494043082,212.8434095183068
long_dist,2026-04,all_exported,2764,0.7464738116854351,0.8944377899169922,0.9072077558623357,0.8569073909191646,0.4540520984081042,242.00324907112966,262.2655158902951
long_dist,2026-05,all_exported,1784,0.7402454291558052,0.8746526718139649,0.9047648735045318,0.8531781361581354,0.5683856502242153,284.72017127520695,305.0251974618644
long_loc,2026-01,above_threshold,12,0.7537437230348587,0.8311241805553437,0.9184952143154389,0.9412134332230654,0.0,-85.32160349322662,-65.38699038424689
long_loc,2026-02,above_threshold,287,0.7921573748156584,0.928089249134064,0.934685197510081,0.9527386054445984,0.5331010452961672,145.31529752865248,165.48077946416973
long_loc,2026-03,above_threshold,589,0.7727144416200284,0.8926231145858765,0.9255025276129797,0.9463705258664805,0.5025466893039049,233.96833001200042,254.22255237442425
long_loc,2026-04,above_threshold,738,0.7818636177031975,0.9205340504646301,0.9293451884331576,0.9489896329202638,0.5338753387533876,293.41501770845474,313.7287491038993
long_loc,2026-05,above_threshold,549,0.7625120957475325,0.8871572136878967,0.9200888688774733,0.942602924668709,0.6466302367941712,307.4148409775038,327.7425836138126
long_loc,2026-01,all_exported,15,0.723463757832845,0.8287709712982178,0.8963761964211401,0.9260913277550756,0.0,-87.73986648294827,-67.80767419059633
long_loc,2026-02,all_exported,362,0.75670307627699,0.8961885392665864,0.9120077803298363,0.9371239218241181,0.5359116022099447,157.87706182537002,178.05511804859452
long_loc,2026-03,all_exported,815,0.7308464337711685,0.8747713923454284,0.8978694791020426,0.927351171183432,0.47484662576687114,203.23305228427049,223.45650894909144
long_loc,2026-04,all_exported,922,0.7496678152337767,0.9001135528087616,0.9084692724116545,0.934626124751433,0.5216919739696312,275.4273094473351,295.72303473181154
long_loc,2026-05,all_exported,749,0.7249170175700067,0.8725502014160157,0.8949230284574189,0.9252955422693707,0.6114819759679573,263.64156197978144,283.92548780539255
short_dist,2026-01,above_threshold,13,0.655979362817911,0.7544070005416871,0.8514049745510419,0.8988109682115991,1.0,590.8973139471188,611.5088061021261
short_dist,2026-02,above_threshold,648,0.7095476245438611,0.8534699141979217,0.8850809944359674,0.9235979670522257,0.7654320987654321,249.55224587210122,269.82206849831323
short_dist,2026-03,above_threshold,1376,0.7227865098000958,0.859531432390213,0.8938524954272277,0.9301380470068227,0.7369186046511628,184.20605377648397,204.41046532391266
short_dist,2026-04,above_threshold,980,0.7299695978359301,0.8622488439083099,0.8987977375219751,0.9338057683641281,0.6918367346938775,224.77871796388723,245.0237427684275
short_dist,2026-05,above_threshold,609,0.7037713469934386,0.8360040903091431,0.8828012439294888,0.9222844244844679,0.6338259441707718,192.24605451841677,212.4585143973847
short_dist,2026-01,all_exported,13,0.655979362817911,0.7544070005416871,0.8514049745510419,0.8988109682115991,1.0,590.8973139471188,611.5088061021261
short_dist,2026-02,all_exported,648,0.7095476245438611,0.8534699141979217,0.8850809944359674,0.9235979670522257,0.7654320987654321,249.55224587210122,269.82206849831323
short_dist,2026-03,all_exported,1376,0.7227865098000958,0.859531432390213,0.8938524954272277,0.9301380470068227,0.7369186046511628,184.20605377648397,204.41046532391266
short_dist,2026-04,all_exported,980,0.7299695978359301,0.8622488439083099,0.8987977375219751,0.9338057683641281,0.6918367346938775,224.77871796388723,245.0237427684275
short_dist,2026-05,all_exported,609,0.7037713469934386,0.8360040903091431,0.8828012439294888,0.9222844244844679,0.6338259441707718,192.24605451841677,212.4585143973847
short_loc,2026-01,above_threshold,307,0.7390569813476712,0.8901244163513183,0.9020417962888407,0.8984960833123571,0.8078175895765473,236.40451857508978,256.6611823642494
short_loc,2026-02,above_threshold,816,0.7228960298440036,0.8618649244308472,0.8939109691317225,0.890181128863404,0.8198529411764706,258.5164693961171,278.7952663275664
short_loc,2026-03,above_threshold,2668,0.7278473908709979,0.8842335283756256,0.8957294012169945,0.8920161742707067,0.7623688155922039,119.51493455201904,139.6545901192194
short_loc,2026-04,above_threshold,1654,0.7366375687476946,0.8807852923870086,0.9018674057669751,0.8985192062885595,0.7660217654171705,144.105781073371,164.2700519571728
short_loc,2026-05,above_threshold,663,0.7284157354367804,0.8767715811729432,0.8969033353858207,0.8933073792968178,0.6681749622926093,155.3541718304071,175.52970225966826
short_loc,2026-01,all_exported,307,0.7390569813476712,0.8901244163513183,0.9020417962888407,0.8984960833123571,0.8078175895765473,236.40451857508978,256.6611823642494
short_loc,2026-02,all_exported,816,0.7228960298440036,0.8618649244308472,0.8939109691317225,0.890181128863404,0.8198529411764706,258.5164693961171,278.7952663275664
short_loc,2026-03,all_exported,2668,0.7278473908709979,0.8842335283756256,0.8957294012169945,0.8920161742707067,0.7623688155922039,119.51493455201904,139.6545901192194
short_loc,2026-04,all_exported,1654,0.7366375687476946,0.8807852923870086,0.9018674057669751,0.8985192062885595,0.7660217654171705,144.105781073371,164.2700519571728
short_loc,2026-05,all_exported,663,0.7284157354367804,0.8767715811729432,0.8969033353858207,0.8933073792968178,0.6681749622926093,155.3541718304071,175.52970225966826
