Stage: FeatureSelection | Step: 04_04 | Shape: (255867, 51)
       open     high      low    close    volume  close_returns  open_returns  high_returns  low_returns  label  market_depth  rolling_corr_10  momentum_20  momentum_strength  volume_volatility  bullish_engulfing_present  bearish_engulfing_present  hammer_present  hanging_man_present  shooting_star_present  inverted_hammer_count  inverted_hammer_present  tweezer_top_count  tweezer_top_present  tweezer_bottom_count  bullish_marubozu_count  bullish_marubozu_present  bearish_marubozu_count  bearish_marubozu_present  doji_count  doji_present  spinning_top_count  spinning_top_present  total_patterns  bullish_patterns  bearish_patterns  nearest_support_distance  morl_detrended_energy_ts  adaptive_sma  adaptive_bollinger  5m_price_change  5m_price_volatility  15m_price_change  15m_price_volatility  30m_price_change  30m_price_volatility  volume_regime  trend_regime  pca_cluster_0_pc2  pca_cluster_3_pc1  pca_cluster_1_pc1
0   2738.43  2738.44  2735.60  2735.71   844.101            NaN           NaN           NaN          NaN     -1    1664.98060        -0.244283        14.24           0.001851         929.115813                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.424569                619.237034   2735.825171            0.853677         0.003260             0.002032          0.001072              0.001816          0.003179              0.003615              3             4           0.145067           1.352129           0.860171
1   2735.71  2738.62  2735.31  2736.94  1167.769       0.000450     -0.000993      0.000066    -0.000106     -1    1895.61210        -0.295717        19.15           0.003340        1225.488163                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.422896                619.237034   2737.477086            0.957700         0.003260             0.002032          0.001072              0.001816          0.003179              0.003615              4             4           0.145028           2.144067           1.562528
2   2736.95  2737.47  2734.11  2736.03  1591.090      -0.000332      0.000453     -0.000420    -0.000439     -1    1986.21130        -0.323871        14.90           0.002094        1224.374620                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.423540                619.237034   2738.963757            0.805106        -0.002272             0.002076          0.001072              0.001816          0.003179              0.003615              4             4           0.145114           1.929302           0.974966
3   2736.03  2738.09  2735.18  2736.41  1337.407       0.000139     -0.000336      0.000226     0.000391     -1    1981.62165        -0.151992         8.23           0.000095        1227.356899                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.426131                619.237034   2738.345922            0.483383        -0.002272             0.002076          0.001072              0.001816          0.003179              0.003615              1             4           0.161128          -0.721135          -0.054802
4   2736.41  2736.59  2732.00  2732.21  1094.522      -0.001535      0.000139     -0.000548    -0.001163     -1    1918.39545        -0.110497         8.67           0.001597        1244.121494                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.425975                619.237034   2737.971635            0.468912        -0.002272             0.002076          0.001072              0.001816          0.003179              0.003615              1             4           0.160987          -0.523392           0.740262
5   2732.23  2734.40  2731.42  2731.99  1267.401      -0.000081     -0.001528     -0.000800    -0.000212     -1    1915.48045        -0.058073         7.70           0.000822        1247.185560                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.426329                619.237034   2737.371860            0.395064        -0.002272             0.002076          0.001072              0.001816          0.003179              0.003615              0             4           0.161556          -0.822436           0.376104
6   2731.99  2734.39  2731.99  2733.20   981.399       0.000443     -0.000088     -0.000004     0.000209     -1    1734.69175        -0.055258         1.96           0.000980        1169.993419                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.426136                619.237034   2736.349191            0.385965        -0.002272             0.002076          0.001072              0.001816          0.003179              0.003615              0             4           0.144207          -1.509038           0.449933
7   2733.19  2733.46  2730.04  2730.52  7402.700      -0.000981      0.000439     -0.000340    -0.000714     -1    1776.07970        -0.059010        -1.79           0.000936        1206.969592                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.426381                619.237034   2735.388262            0.290641         0.000625             0.002076          0.002642              0.001816          0.004225              0.003615              4             4           0.138218          -1.323693           0.429357
8   2730.52  2731.10  2728.31  2728.41  6128.926      -0.000773     -0.000977     -0.000863    -0.000634      1    1723.91300         0.017153        -1.25           0.002063        1212.526439                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.427529                619.237034   2734.913763            0.176948         0.000625             0.002076          0.002642              0.001816          0.004225              0.003615              1             4           0.136657          -0.653926          -0.977557
9   2728.41  2728.98  2726.01  2728.98  6045.371       0.000209     -0.000773     -0.000776    -0.000843      1    1680.27825         0.009731        -2.88           0.002023        1199.204802                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.427744                619.237034   2734.309984            0.218172         0.000625             0.002076          0.002642              0.001816          0.004225              0.003615              3             4           0.135663          -0.825227          -0.958774
10  2728.98  2733.64  2728.98  2731.55  4124.822       0.000942      0.000209      0.001708     0.001090      1    1689.87445         0.021092         3.18           0.000690        1195.349211                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.425553                619.237034   2734.577662            0.562720         0.000625             0.002076          0.002642              0.001816          0.004225              0.003615              2             3           0.143705           0.352437          -0.334356
11  2731.54  2732.24  2729.00  2731.99  3006.975       0.000161      0.000938     -0.000512     0.000007      1    1652.81905         0.035295         4.64           0.001651        1222.840983                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.425246                619.237034   2734.918952            0.681154         0.000625             0.002076          0.002642              0.001816          0.004225              0.003615              0             3           0.143175           0.405507          -0.785022
12  2731.98  2735.11  2731.98  2733.76  1502.331       0.000648      0.000161      0.001050     0.001092      1    1620.24850         0.124620         3.20           0.000928        1234.816115                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.424861                619.237034   2735.490846            0.860658        -0.000942             0.002045          0.002642              0.001816          0.004225              0.003615              1             2           0.141133           0.697572          -0.445695
13  2733.70  2735.82  2733.57  2735.30  1290.342       0.000563      0.000630      0.000260     0.000582     -1    1593.58040         0.014810         1.07           0.000486        1244.077596                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.425438                619.237034   2736.252794            0.687025        -0.000942             0.002045          0.002642              0.001816          0.004225              0.003615              1             2           0.141496           0.961008           0.218051
14  2735.31  2735.88  2734.07  2734.49   569.554      -0.000296      0.000589      0.000022     0.000183      1    1603.55915         0.189236         1.98           0.000874        1241.391415                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.427221                619.237034   2736.468682            0.284212        -0.000942             0.002045          0.002642              0.001816          0.004225              0.003615              2             2           0.137367           0.234291          -0.420305
15  2734.48  2736.63  2734.20  2734.54  2951.908       0.000018     -0.000303      0.000274     0.000048      1    1585.49155         0.113102         0.89           0.000497        1250.450081                        0.0                        0.0             0.0                  0.0                    0.0                    0.0                      0.0                0.0                  0.0                   0.0                     0.0                       0.0                     0.0                       0.0         0.0           0.0                 0.0                   0.0             0.0               0.0               0.0                  0.427039                619.237034   2735.970885            0.347966        -0.000942             0.002045          0.002642              0.001816          0.004225              0.003615              1             2           0.136320          -0.694821          -0.243587
