Stage: EngineerFeatures | Step: 04_02 | Shape: (255967, 88)
       open     high      low    close    volume  close_returns  open_returns  high_returns  low_returns  price_impact  volume_price_impact  order_flow_imbalance  bid_ask_spread  market_depth  realized_volatility  parkinson_volatility  garman_klass_volatility  volatility_regime  volatility_percentile  autocorr_1  autocorr_5  autocorr_10  rolling_corr_5  rolling_corr_10  correlation_strength  momentum_5  momentum_10  momentum_20     roc_5    roc_10  momentum_strength  avg_volume  volume_volatility  liquidity_score  bullish_engulfing_count  bullish_engulfing_present  bearish_engulfing_count  bearish_engulfing_present  hammer_count  hammer_present  hanging_man_count  hanging_man_present  shooting_star_count  shooting_star_present  inverted_hammer_count  inverted_hammer_present  tweezer_top_count  tweezer_top_present  tweezer_bottom_count  tweezer_bottom_present  bullish_marubozu_count  bullish_marubozu_present  bearish_marubozu_count  bearish_marubozu_present  rising_three_methods_count  rising_three_methods_present  falling_three_methods_count  falling_three_methods_present  doji_count  doji_present  spinning_top_count  spinning_top_present  total_patterns  pattern_density  bullish_patterns  bearish_patterns  bullish_bearish_ratio  nearest_support_distance  nearest_resistance_distance  support_levels_count  resistance_levels_count  morl_detrended_energy_ts  adaptive_sma  adaptive_ema  adaptive_atr  adaptive_bollinger  1m_price_change  1m_price_volatility  1m_volume_change  1m_volume_ma_ratio  1m_5m_volume_ma_ratio  1m_15m_volume_ma_ratio  5m_price_change  5m_price_volatility  5m_volume_change  5m_volume_ma_ratio  5m_5m_volume_ma_ratio  5m_15m_volume_ma_ratio
10  2728.98  2733.64  2728.98  2731.55  4124.822       0.000942      0.000209      0.001708     0.001090           0.0                  0.0                   0.0        0.004886   2907.773455             2.067517              0.000002             5.338843e-07                  0               0.612002         NaN         NaN          NaN        0.140776              NaN                   0.0       -0.44        -4.16          NaN -0.000161 -0.001521           0.001523     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.428496                     0.527902                     3                        3                       NaN   2730.698832   2731.096270      3.288067            0.409440         0.000942             0.000786          2.417438            0.932428               2.230184                0.752171        -0.000443             0.002032         -0.271589            0.325778                0.28164                0.386369
11  2731.54  2732.24  2729.00  2731.99  3006.975       0.000161      0.000938     -0.000512     0.000007           0.0                  0.0                   0.0        0.005017   2916.040250             1.978327              0.000002             5.471824e-07                  0               0.585471         NaN         NaN          NaN        0.192508        -0.017562                   0.0       -1.21        -4.95          NaN -0.000443 -0.001809           0.001812     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.428266                     0.527656                     3                        3                       NaN   2730.461308   2731.438892      3.305300            0.482690         0.000161             0.000786          2.417438            0.932428               2.230184                0.752171        -0.000443             0.002032         -0.271589            0.325778                0.28164                0.386369
12  2731.98  2735.11  2731.98  2733.76  1502.331       0.000648      0.000161      0.001050     0.001092           0.0                  0.0                   0.0        0.003981   2807.293385             1.982006              0.000002             5.429124e-07                  0               0.586639         NaN         NaN          NaN        0.564318         0.056532                   0.0        3.24        -2.27          NaN  0.001187 -0.000830           0.000830     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.427341                     0.526667                     3                        3                       NaN   2731.070644   2732.227534      3.287613            0.692125         0.000648             0.000786          2.417438            0.932428               2.230184                0.752171         0.001885             0.002032         -0.271589            0.325778                0.28164                0.386369
13  2733.70  2735.82  2733.57  2735.30  1290.342       0.000563      0.000630      0.000260     0.000582           0.0                  0.0                   0.0        0.003404   2698.939714             1.955492              0.000001             5.188626e-07                  0               0.578153         NaN         NaN          NaN        0.068868         0.145834                   0.0        6.89        -1.11          NaN  0.002525 -0.000406           0.000406     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426538                     0.525807                     3                        3                       NaN   2732.366433   2733.234025      3.209452            0.904671         0.000563             0.000786          2.417438            0.932428               2.230184                0.752171         0.001885             0.002032         -0.271589            0.325778                0.28164                0.386369
14  2735.31  2735.88  2734.07  2734.49   569.554      -0.000296      0.000589      0.000022     0.000183           0.0                  0.0                   0.0        0.002549   2556.980667             1.890260              0.000001             4.965559e-07                  0               0.556283         NaN         NaN          NaN       -0.589794         0.208199                   0.0        5.51         2.28          NaN  0.002019  0.000834           0.000834     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426960                     0.526259                     3                        3                       NaN   2733.401701   2733.651025      3.099837            0.763531        -0.000296             0.000786          2.417438            0.932428               2.230184                0.752171         0.001885             0.002032         -0.271589            0.325778                0.28164                0.386369
15  2734.48  2736.63  2734.20  2734.54  2951.908       0.000018     -0.000303      0.000274     0.000048           0.0                  0.0                   0.0        0.002674   2581.663625             1.821844              0.000001             4.901708e-07                  0               0.531854         NaN         NaN          NaN        0.009363         0.200369                   0.0        2.99         2.55          NaN  0.001095  0.000933           0.000933     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426934                     0.526231                     3                        3                       NaN   2733.968255   2733.945312      3.009730            0.729271         0.000018             0.000786          2.417438            0.932428               2.230184                0.752171         0.001885             0.002032         -0.271589            0.325778                0.28164                0.386369
16  2734.53  2737.14  2734.53  2737.14  1252.693       0.000951      0.000018      0.000186     0.000121           0.0                  0.0                   0.0        0.003147   2503.488882             1.883102              0.000001             4.674247e-07                  0               0.553654         NaN         NaN          NaN       -0.124243         0.184843                   0.0        5.15         3.94          NaN  0.001885  0.001442           0.001439     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.425579                     0.524781                     3                        3                       NaN   2734.945119   2734.961004      2.969835            0.889203         0.000951             0.000786          2.417438            0.932428               2.230184                0.752171         0.001885             0.002032         -0.271589            0.325778                0.28164                0.386369
17  2737.14  2740.63  2735.05  2735.66  5711.847      -0.000541      0.000954      0.001275     0.000190           0.0                  0.0                   0.0        0.005433   2681.731000             1.862612              0.000001             5.505640e-07                  0               0.546594         NaN         NaN          NaN       -0.457498         0.130824                   0.0        1.90         5.14          NaN  0.000695  0.001882           0.001879     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426350                     0.525606                     3                        3                       NaN   2735.309634   2735.174404      3.158325            0.713676        -0.000541             0.000786          2.417438            0.932428               2.230184                0.752171        -0.001907             0.002032         -0.271589            0.325778                0.28164                0.386369
18  2735.66  2736.13  2733.70  2733.70  1763.143      -0.000716     -0.000541     -0.001642    -0.000494           0.0                  0.0                   0.0        0.005368   2633.384263             1.864947              0.000001             5.319180e-07                  0               0.547559         NaN         NaN          NaN       -0.124041         0.003104                   0.0       -1.60         5.29          NaN -0.000585  0.001939           0.001935     0.00000           0.000000              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.427373                     0.526700                     3                        3                       NaN   2735.010265   2734.700709      3.125910            0.499477        -0.000716             0.000786          2.417438            0.932428               2.230184                0.752171        -0.001907             0.002032         -0.271589            0.325778                0.28164                0.386369
19  2733.71  2737.26  2732.14  2735.61  2952.731       0.000699     -0.000713      0.000413    -0.000571           0.0                  0.0                   0.0        0.005003   2649.351600             1.870806              0.000002             5.836300e-07                  0               0.549610         NaN         NaN          NaN       -0.293138        -0.134935                   0.0        1.12         6.63          NaN  0.000410  0.002429           0.002424  2649.35160        2099.256703              1.0                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426376                     0.525634                     3                        3                       NaN   2735.226054   2734.984968      3.277212            0.681374         0.000699             0.000786          2.417438            0.932428               2.230184                0.752171        -0.001907             0.002032         -0.271589            0.325778                0.28164                0.386369
