Stage: EngineerFeatures | Step: 04_02 | Shape: (255967, 19)
       open     high      low    close    volume  close_returns  open_returns  high_returns  low_returns  price_impact  volume_price_impact  order_flow_imbalance  bid_ask_spread  market_depth  realized_volatility  parkinson_volatility  garman_klass_volatility  volatility_regime  volatility_percentile
0   2738.43  2738.44  2735.60  2735.71   844.101            NaN           NaN           NaN          NaN           0.0                  0.0                   0.0        0.003847    844.101000             0.000000              0.000000             1.568416e-07                  0               0.500000
1   2735.71  2738.62  2735.31  2736.94  1167.769       0.000450     -0.000993      0.000066    -0.000106           0.0                  0.0                   0.0        0.003847   1005.935000             0.000000              0.000001             4.050373e-07                  0               0.500000
2   2736.95  2737.47  2734.11  2736.03  1591.090      -0.000332      0.000453     -0.000420    -0.000439           0.0                  0.0                   0.0        0.004161   1200.986667             1.513209              0.000001             5.068688e-07                  0               0.405802
3   2736.03  2738.09  2735.18  2736.41  1337.407       0.000139     -0.000336      0.000226     0.000391           0.0                  0.0                   0.0        0.003922   1235.091750             1.077513              0.000001             5.196281e-07                  0               0.193859
4   2736.41  2736.59  2732.00  2732.21  1094.522      -0.001535      0.000139     -0.000548    -0.001163           0.0                  0.0                   0.0        0.004797   1206.977800             2.384876              0.000002             5.152132e-07                  0               0.697627
5   2732.23  2734.40  2731.42  2731.99  1267.401      -0.000081     -0.001528     -0.000800    -0.000212           0.0                  0.0                   0.0        0.004833   1217.048333             2.086032              0.000002             5.279309e-07                  0               0.617178
6   2731.99  2734.39  2731.99  2733.20   981.399       0.000443     -0.000088     -0.000004     0.000209           0.0                  0.0                   0.0        0.003380   1183.384143             2.029181              0.000001             4.967669e-07                  0               0.601035
7   2733.19  2733.46  2730.04  2730.52  7402.700      -0.000981      0.000439     -0.000340    -0.000714           0.0                  0.0                   0.0        0.003692   1960.798625             2.040110              0.000001             4.865065e-07                  0               0.604172
8   2730.52  2731.10  2728.31  2728.41  6128.926      -0.000773     -0.000977     -0.000863    -0.000634           0.0                  0.0                   0.0        0.003902   2423.923889             1.949767              0.000001             4.648372e-07                  0               0.576106
9   2728.41  2728.98  2726.01  2728.98  6045.371       0.000209     -0.000773     -0.000776    -0.000843           0.0                  0.0                   0.0        0.003606   2786.068600             1.889602              0.000001             4.759543e-07                  0               0.556115
10  2728.98  2733.64  2728.98  2731.55  4124.822       0.000942      0.000209      0.001708     0.001090           0.0                  0.0                   0.0        0.004886   2907.773455             2.067517              0.000002             5.338843e-07                  0               0.612002
11  2731.54  2732.24  2729.00  2731.99  3006.975       0.000161      0.000938     -0.000512     0.000007           0.0                  0.0                   0.0        0.005017   2916.040250             1.978327              0.000002             5.471824e-07                  0               0.585471
12  2731.98  2735.11  2731.98  2733.76  1502.331       0.000648      0.000161      0.001050     0.001092           0.0                  0.0                   0.0        0.003981   2807.293385             1.982006              0.000002             5.429124e-07                  0               0.586639
13  2733.70  2735.82  2733.57  2735.30  1290.342       0.000563      0.000630      0.000260     0.000582           0.0                  0.0                   0.0        0.003404   2698.939714             1.955492              0.000001             5.188626e-07                  0               0.578153
14  2735.31  2735.88  2734.07  2734.49   569.554      -0.000296      0.000589      0.000022     0.000183           0.0                  0.0                   0.0        0.002549   2556.980667             1.890260              0.000001             4.965559e-07                  0               0.556283
15  2734.48  2736.63  2734.20  2734.54  2951.908       0.000018     -0.000303      0.000274     0.000048           0.0                  0.0                   0.0        0.002674   2581.663625             1.821844              0.000001             4.901708e-07                  0               0.531854
16  2734.53  2737.14  2734.53  2737.14  1252.693       0.000951      0.000018      0.000186     0.000121           0.0                  0.0                   0.0        0.003147   2503.488882             1.883102              0.000001             4.674247e-07                  0               0.553654
17  2737.14  2740.63  2735.05  2735.66  5711.847      -0.000541      0.000954      0.001275     0.000190           0.0                  0.0                   0.0        0.005433   2681.731000             1.862612              0.000001             5.505640e-07                  0               0.546594
18  2735.66  2736.13  2733.70  2733.70  1763.143      -0.000716     -0.000541     -0.001642    -0.000494           0.0                  0.0                   0.0        0.005368   2633.384263             1.864947              0.000001             5.319180e-07                  0               0.547559
19  2733.71  2737.26  2732.14  2735.61  2952.731       0.000699     -0.000713      0.000413    -0.000571           0.0                  0.0                   0.0        0.005003   2649.351600             1.870806              0.000002             5.836300e-07                  0               0.549610
20  2735.62  2736.00  2730.26  2730.49  2284.224      -0.001872      0.000699     -0.000460    -0.000688           0.0                  0.0                   0.0        0.006792   2721.357750             2.150287              0.000002             6.180047e-07                  2               0.636364
21  2730.50  2733.15  2730.47  2731.92  2179.447       0.000524     -0.001872     -0.001042     0.000077           0.0                  0.0                   0.0        0.005596   2771.941650             2.158037              0.000002             6.041827e-07                  2               0.638576
22  2731.92  2734.46  2730.45  2734.45  2237.729       0.000926      0.000520      0.000479    -0.000007           0.0                  0.0                   0.0        0.004262   2804.273600             2.238343              0.000002             6.059486e-07                  2               0.660457
23  2734.45  2736.00  2732.89  2735.37  1282.162       0.000336      0.000926      0.000563     0.000894           0.0                  0.0                   0.0        0.004482   2801.511350             2.247409              0.000002             6.082064e-07                  2               0.663016
24  2735.36  2736.00  2731.04  2731.82  2288.849      -0.001298      0.000333      0.000000    -0.000677           0.0                  0.0                   0.0        0.005170   2861.227700             2.188187              0.000002             6.332486e-07                  2               0.647045
25  2731.81  2735.76  2731.71  2735.51  1133.223       0.001351     -0.001298     -0.000088     0.000245           0.0                  0.0                   0.0        0.005655   2854.518800             2.338813              0.000002             6.231593e-07                  3               0.686524
26  2735.52  2736.53  2734.50  2734.91  2370.042      -0.000219      0.001358      0.000281     0.001021           0.0                  0.0                   0.0        0.004000   2923.950950             2.331705              0.000002             6.204769e-07                  3               0.684762
27  2734.90  2734.90  2731.00  2732.01  2166.262      -0.001060     -0.000227     -0.000596    -0.001280           0.0                  0.0                   0.0        0.003883   2662.129050             2.345914              0.000002             6.290627e-07                  3               0.688160
28  2732.00  2732.34  2729.16  2729.62  1332.599      -0.000875     -0.001060     -0.000936    -0.000674           0.0                  0.0                   0.0        0.004447   2422.312700             2.360427              0.000002             6.337200e-07                  3               0.691778
29  2729.62  2730.00  2726.72  2728.38  1630.506      -0.000454     -0.000871     -0.000856    -0.000894           0.0                  0.0                   0.0        0.004041   2201.569450             2.374520              0.000002             6.370632e-07                  3               0.695111
30  2728.37  2729.25  2725.19  2726.62  1532.224      -0.000645     -0.000458     -0.000275    -0.000561           0.0                  0.0                   0.0        0.004620   2071.939550             2.321797              0.000002             6.288581e-07                  3               0.682136
31  2726.61  2727.76  2726.07  2726.76  1321.900       0.000051     -0.000645     -0.000546     0.000323           0.0                  0.0                   0.0        0.003893   1987.685800             2.318094              0.000002             6.037288e-07                  3               0.681183
32  2726.76  2729.67  2726.76  2728.53  1663.444       0.000649      0.000055      0.000700     0.000253           0.0                  0.0                   0.0        0.002978   1995.741450             2.318094              0.000002             5.994546e-07                  3               0.681179
