Stage: EngineerFeatures | Step: 04_02 | Shape: (256281, 89)
       open     high      low    close    volume  close_returns  open_returns  high_returns  low_returns  price_impact  volume_price_impact  order_flow_imbalance  bid_ask_spread  market_depth  realized_volatility  parkinson_volatility  garman_klass_volatility  volatility_regime  volatility_percentile  autocorr_1  autocorr_5  autocorr_10  rolling_corr_5  rolling_corr_10  correlation_strength  momentum_5  momentum_10  momentum_20     roc_5    roc_10  momentum_strength  avg_volume  volume_volatility  liquidity_score  engulfing_patterns_count  engulfing_patterns_present  hammer_hanging_man_count  hammer_hanging_man_present  shooting_star_inverted_hammer_count  shooting_star_inverted_hammer_present  tweezer_patterns_count  tweezer_patterns_present  marubozu_patterns_count  marubozu_patterns_present  three_methods_patterns_count  three_methods_patterns_present  doji_patterns_count  doji_patterns_present  spinning_top_patterns_count  spinning_top_patterns_present  bullish_engulfing_count  bullish_engulfing_present  bearish_engulfing_count  bearish_engulfing_present  hammer_count  hammer_present  hanging_man_count  hanging_man_present  shooting_star_count  shooting_star_present  inverted_hammer_count  inverted_hammer_present  tweezer_top_count  tweezer_top_present  tweezer_bottom_count  tweezer_bottom_present  bullish_marubozu_count  bullish_marubozu_present  bearish_marubozu_count  bearish_marubozu_present  rising_three_methods_count  rising_three_methods_present  falling_three_methods_count  falling_three_methods_present  doji_count  doji_present  spinning_top_count  spinning_top_present  total_patterns  pattern_density  bullish_patterns  bearish_patterns  bullish_bearish_ratio  adaptive_sma  adaptive_ema  adaptive_atr  adaptive_bollinger  volume_regime  trend_regime
10  2657.01  2657.73  2655.40  2657.13  1271.679       0.000045      0.000599      0.000049     0.000207      0.000000             0.006594              0.385963        0.003276   2104.012636             2.303269          2.064203e-06             7.079134e-07                  0               0.677519         NaN         NaN          NaN       -0.575004              NaN                   0.0        6.73         4.14          NaN  0.002539  0.001561           0.001558     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2655.480767   2655.443739      3.435024            0.821936              0             2
11  2657.13  2658.00  2656.45  2656.74  6313.647      -0.000147      0.000045      0.000102     0.000395      0.000000            -0.083588              0.088911        0.002543   2454.815500             2.198479          1.907464e-06             6.624044e-07                  0               0.649737         NaN         NaN          NaN        0.248882        -0.199312                   0.0        3.40         3.71          NaN  0.001281  0.001398           0.001396     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2656.139290   2655.800965      3.257512            0.744718              0             2
12  2656.71  2656.71  2654.59  2654.59   847.669      -0.000809     -0.000158     -0.000485    -0.000700      0.000000            -0.060137              0.058453        0.002387   2331.188846             2.216071          1.801530e-06             6.170243e-07                  0               0.654400         NaN         NaN          NaN        0.188269        -0.240193                   0.0       -0.92         6.02          NaN -0.000346  0.002273           0.002268     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2655.974221   2655.367266      3.141002            0.537748              0             2
13  2654.59  2656.89  2654.46  2655.78   755.515       0.000448     -0.000798      0.000068    -0.000049      0.000000             0.028945              0.081355        0.002932   2218.640714             2.141871          1.727349e-06             5.973110e-07                  0               0.633872         NaN         NaN          NaN       -0.212098        -0.267967                   0.0        0.39         6.09          NaN  0.000147  0.002298           0.002293     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2656.064123   2655.455121      3.084566            0.613594              0             2
14  2655.76  2655.76  2652.18  2652.46  1037.658      -0.001250      0.000441     -0.000425    -0.000859      0.000000            -0.107326              0.046398        0.003935   2139.908533             2.264312          1.733586e-06             5.783311e-07                  0               0.667409         NaN         NaN          NaN       -0.481625        -0.342210                   0.0       -4.55        -0.04          NaN -0.001712 -0.000015           0.000015     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2655.209096   2654.474090      3.122773            0.240482              0             2
15  2652.47  2653.25  2650.24  2650.98  1021.238      -0.000558     -0.001239     -0.000945    -0.000731      0.000000            -0.045635              0.014133        0.004256   2069.991625             2.213490          1.703767e-06             5.748269e-07                  0               0.653713         NaN         NaN          NaN       -0.514205        -0.023470                   0.0       -6.15         0.58          NaN -0.002315  0.000219           0.000219     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2654.063554   2653.365801      3.121345            0.042667              0             2
16  2650.98  2655.73  2650.98  2655.71  3778.069       0.001784     -0.000562      0.000935     0.000279      0.000000             0.484316              0.115078        0.005117   2170.466765             2.459992          1.797580e-06             5.630602e-07                  0               0.714581         NaN         NaN          NaN       -0.407570        -0.043963                   0.0       -1.03         2.37          NaN -0.000388  0.000893           0.000892     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2653.881295   2654.087280      3.254776            0.583221              0             2
17  2655.71  2657.26  2655.01  2656.08  1701.807       0.000139      0.001784      0.000576     0.001520      0.000000             0.016313              0.154093        0.004781   2144.430111             2.382371          1.734028e-06             5.512951e-07                  0               0.696854         NaN         NaN          NaN       -0.167745        -0.138671                   0.0        1.49         0.57          NaN  0.000561  0.000215           0.000215     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2654.166582   2654.688097      3.204191            0.619849              0             2
18  2656.07  2657.39  2655.70  2656.44   926.919       0.000136      0.000136      0.000049     0.000260      0.000000             0.008442              0.173930        0.002558   2080.350579             2.311621          1.660170e-06             5.325352e-07                  0               0.679459         NaN         NaN          NaN       -0.120104        -0.134244                   0.0        0.66         1.05          NaN  0.000249  0.000395           0.000395     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2654.300223   2655.205092      3.119542            0.647945              0             2
19  2656.45  2658.99  2656.44  2658.13  2002.001       0.000636      0.000143      0.000602     0.000279      0.000814             0.081471              0.213753        0.002779   2076.433100             2.272638          1.621244e-06             5.212029e-07                  0               0.669555         NaN         NaN          NaN       -0.012460        -0.117188                   0.0        5.67         1.12          NaN  0.002138  0.000422           0.000421  2076.43310        1529.983111         0.999187                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2655.361904   2656.077108      3.077288            0.816635              3             2
