Stage: FeatureSelection | Step: 04_04 | Shape: (255925, 51)
       open     high      low    close     volume  close_returns  open_returns  high_returns  low_returns  label  volume_price_impact  order_flow_imbalance  market_depth  rolling_corr_10  momentum_20  momentum_strength  volume_volatility  engulfing_patterns_present  hammer_hanging_man_present  shooting_star_inverted_hammer_present  tweezer_patterns_present  marubozu_patterns_present  doji_patterns_present  spinning_top_patterns_count  spinning_top_patterns_present  bullish_engulfing_count  bullish_engulfing_present  bearish_engulfing_count  bearish_engulfing_present  hanging_man_count  hanging_man_present  inverted_hammer_count  inverted_hammer_present  tweezer_top_count  tweezer_bottom_count  bullish_marubozu_count  bullish_marubozu_present  bearish_marubozu_count  bearish_marubozu_present  total_patterns  bullish_patterns  bearish_patterns  bullish_bearish_ratio  adaptive_sma  adaptive_bollinger  volume_regime  trend_regime  pca_cluster_3_pc1  pca_cluster_2_pc1  pca_cluster_0_pc1  pca_cluster_1_pc1
0   2764.04  2767.21  2762.27  2766.00   3209.050            NaN           NaN           NaN          NaN     -1             0.027714             -0.344693    1885.86630         0.023793       -11.77           0.002149        1088.505302                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2726.133520            0.147919              3             0          -2.113368          -1.015497          -1.181647           -1.17034
1   2765.99  2767.84  2765.50  2767.80   2221.711       0.000651      0.000705      0.000228     0.001169     -1             0.152278             -0.328166    1909.33330         0.130435        -9.37           0.000389        1079.829737                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2725.343180            0.418495              3             0          -1.043576          -0.192431          -1.181647           -1.17034
2   2767.81  2767.81  2755.00  2755.42   6944.543      -0.004473      0.000658     -0.000011    -0.003797     -1             0.042399             -0.217209    1895.34035         0.196686        -5.02           0.000576        1076.460970                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2725.105634            0.495280              3             0          -0.253718          -0.280030          -1.181647           -1.17034
3   2755.42  2755.94  2745.36  2748.05   8548.087      -0.002675     -0.004476     -0.004289    -0.003499     -1             0.023462             -0.237800    1863.81100         0.315210        -6.97           0.001217        1108.709936                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2725.719760            0.611890              0             0           0.860866           0.560601          -1.181647           -1.17034
4   2748.05  2753.18  2746.79  2753.17   5165.327       0.001863     -0.002675     -0.001001     0.000521     -1            -0.031125             -0.197064    1769.25115         0.461426        -8.67           0.000781        1143.368671                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2726.458812            0.442055              0             0           0.977405          -0.376263          -1.181647           -1.17034
5   2753.18  2753.18  2751.00  2751.01   2202.229      -0.000785      0.001867      0.000000     0.001533     -1             0.045745             -0.123329    1692.54020         0.169386        -3.32           0.000993        1166.562196                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2727.554013            0.689633              0             0           1.446598          -0.475690          -1.181647           -1.17034
6   2751.00  2751.01  2742.97  2743.37   4384.376      -0.002777     -0.000792     -0.000788    -0.002919     -1            -0.127511             -0.119817    1685.78645         0.042923        -4.52           0.001905        1169.143881                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2727.379487            0.389658              2             0          -0.224785          -0.901812          -1.181647           -1.17034
7   2743.44  2748.83  2742.90  2746.61   2637.970       0.001181     -0.002748     -0.000792    -0.000026     -1             0.104486             -0.045053    1650.36810        -0.187936         0.46           0.000374        1181.570391                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2727.755652            0.765794              1             0           0.485915           0.165064          -1.181647           -1.17034
8   2746.61  2747.51  2740.00  2741.89  10478.575      -0.001718      0.001155     -0.000480    -0.001057      1            -0.028811             -0.033751    1631.06405        -0.354834         1.40           0.001125        1186.744667                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2727.644818            0.649581              2             1          -0.132862           0.517641          -1.181647           -1.17034
9   2741.90  2744.27  2740.48  2743.45   3435.807       0.000569     -0.001715     -0.001179     0.000175      1             0.021891             -0.057756    1594.04875        -0.611673         2.46           0.002583        1208.245738                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2728.180211            0.738041              0             1           0.713206           1.202570          -1.181647           -1.17034
10  2743.45  2749.68  2743.44  2749.67   3989.687       0.002267      0.000565      0.001971     0.001080     -1            -0.011495             -0.175758    1620.44555        -0.689003         0.52           0.002334        1215.586292                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2728.232606            0.709745              3             1           0.079790           1.085494          -1.181647           -1.17034
11  2749.68  2753.62  2739.98  2740.73  13098.619      -0.003251      0.002271      0.001433    -0.001261     -1            -0.115993             -0.175234    1619.41540        -0.589387        -1.38           0.000117        1216.027641                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2728.327489            0.183598              2             2           0.133039          -0.065247          -1.181647           -1.17034
12  2740.73  2742.02  2736.42  2741.14   5581.959       0.000150     -0.003255     -0.004213    -0.001299      1             0.221033             -0.150053    1654.87255        -0.769241         1.72           0.001205        1205.768429                         0.0                         0.0                                    0.0                       0.0                        0.0                    1.0                          1.0                            1.0                      0.0                        0.0                      0.0                        0.0                0.0                  0.0                    0.0                      0.0                0.0                   0.0                     0.0                       0.0                     0.0                       0.0             2.0               0.0               0.0                    0.0   2728.561839            0.790889              3             2           0.294846           0.555288          -1.181647           -1.17034
