Stage: Combine | Step: 04_03 | Shape: (255867, 82)
       open     high      low    close    volume  close_returns  open_returns  high_returns  low_returns  close_log  open_log  high_log   low_log  close_detrended  label  bid_ask_spread  market_depth  realized_volatility  parkinson_volatility  garman_klass_volatility  volatility_regime  volatility_percentile  autocorr_1  autocorr_5  autocorr_10  rolling_corr_5  rolling_corr_10  correlation_strength  momentum_5  momentum_10  momentum_20     roc_5    roc_10  momentum_strength  avg_volume  volume_volatility  bullish_engulfing_count  bullish_engulfing_present  bearish_engulfing_count  bearish_engulfing_present  hammer_count  hammer_present  hanging_man_count  hanging_man_present  shooting_star_count  shooting_star_present  inverted_hammer_count  inverted_hammer_present  tweezer_top_count  tweezer_top_present  tweezer_bottom_count  tweezer_bottom_present  bullish_marubozu_count  bullish_marubozu_present  bearish_marubozu_count  bearish_marubozu_present  doji_count  doji_present  spinning_top_count  spinning_top_present  total_patterns  pattern_density  bullish_patterns  bearish_patterns  bullish_bearish_ratio  nearest_support_distance  nearest_resistance_distance  morl_detrended_energy_ts  adaptive_sma  adaptive_ema  adaptive_atr  adaptive_bollinger  1m_price_change  1m_price_volatility  5m_price_change  5m_price_volatility  15m_price_change  15m_price_volatility  30m_price_change  30m_price_volatility  volume_regime  trend_regime
10  2728.98  2733.64  2728.98  2731.55  4124.822       0.000942      0.000209      0.001708     0.001090   7.912624  7.911683  7.913389  7.911683              NaN      1        0.005634    1689.87445             2.553031              0.000002             5.839462e-07                  3               0.734280   -0.030704   -0.075807    -0.149232        0.089501         0.021092              0.030704        1.49        -1.89         3.18  0.000545 -0.000690           0.000690  1689.87445        1195.349211                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.425553                     0.524753                       NaN   2734.577662   2735.173891      3.375630            0.562720         0.001537             0.000933         0.000625             0.002076          0.002642              0.001816          0.004225              0.003615              2             3
11  2731.54  2732.24  2729.00  2731.99  3006.975       0.000161      0.000938     -0.000512     0.000007   7.912786  7.912621  7.912877  7.911691              NaN      1        0.005436    1652.81905             2.542913              0.000002             5.781211e-07                  3               0.732182   -0.050619   -0.125798    -0.159842        0.088884         0.035295              0.050619        1.71        -4.52         4.64  0.000625 -0.001648           0.001651  1652.81905        1222.840983                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.425246                     0.524425                       NaN   2734.918952   2735.904112      3.348295            0.681154         0.000216             0.000929         0.000625             0.002076          0.002642              0.001816          0.004225              0.003615              0             3
12  2731.98  2735.11  2731.98  2733.76  1502.331       0.000648      0.000161      0.001050     0.001092   7.913433  7.912782  7.913927  7.912782              NaN      1        0.002053    1620.24850             2.504957              0.000002             5.527732e-07                  3               0.724595   -0.053072   -0.101270    -0.119436        0.095807         0.124620              0.053072        2.92        -2.54         3.20  0.001067 -0.000927           0.000928  1620.24850        1234.816115                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.424861                     0.524013                       NaN   2735.490846   2736.628900      3.259787            0.860658         0.000270             0.000916        -0.000942             0.002045          0.002642              0.001816          0.004225              0.003615              1             2
13  2733.70  2735.82  2733.57  2735.30  1290.342       0.000563      0.000630      0.000260     0.000582   7.913996  7.913411  7.914186  7.913364              NaN     -1        0.002869    1593.58040             2.511739              0.000002             5.426954e-07                  3               0.726006   -0.052278   -0.090648    -0.076160       -0.055925         0.014810              0.052278        4.01         1.33         1.07  0.001467  0.000486           0.000486  1593.58040        1244.077596                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.425438                     0.524631                       NaN   2736.252794   2736.771526      3.263711            0.687025        -0.000405             0.000918        -0.000942             0.002045          0.002642              0.001816          0.004225              0.003615              1             2
14  2735.31  2735.88  2734.07  2734.49   569.554      -0.000296      0.000589      0.000022     0.000183   7.913700  7.914000  7.914208  7.913547              NaN      1        0.003905    1603.55915             2.435230              0.000002             5.267943e-07                  3               0.709140   -0.009028   -0.061625    -0.070064        0.147196         0.189236              0.009028        1.00        -2.39         1.98  0.000366 -0.000873           0.000874  1603.55915        1241.391415                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.427221                     0.526538                       NaN   2736.468682   2735.823871      3.322035            0.284212        -0.001249             0.000890        -0.000942             0.002045          0.002642              0.001816          0.004225              0.003615              2             2
15  2734.48  2736.63  2734.20  2734.54  2951.908       0.000018     -0.000303      0.000274     0.000048   7.913719  7.913697  7.914483  7.913594              NaN      1        0.003497    1585.49155             2.415759              0.000002             5.031353e-07                  3               0.704792   -0.045410   -0.069053    -0.046174        0.268112         0.113102              0.045410       -2.85        -1.36         0.89 -0.001041 -0.000497           0.000497  1585.49155        1250.450081                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.427039                     0.526343                       NaN   2735.970885   2735.296243      3.283710            0.347966         0.000128             0.000883        -0.000942             0.002045          0.002642              0.001816          0.004225              0.003615              1             2
16  2734.53  2737.14  2734.53  2737.14  1252.693       0.000951      0.000018      0.000186     0.000121   7.914669  7.913715  7.914669  7.913715              NaN     -1        0.003451    1594.69020             2.422414              0.000002             5.268085e-07                  3               0.706350    0.003760   -0.078101    -0.050031        0.082528         0.132406              0.003760       -2.58        -0.87         1.81 -0.000942 -0.000318           0.000318  1594.69020        1243.160696                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426590                     0.525863                       NaN   2735.524716   2735.210224      3.201048            0.460385         0.000315             0.000885        -0.000942             0.002045          0.002642              0.001816          0.004225              0.003615              1             2
17  2737.14  2740.63  2735.05  2735.66  5711.847      -0.000541      0.000954      0.001275     0.000190   7.914128  7.914669  7.915943  7.913905              NaN     -1        0.003407    1596.51985             2.425489              0.000002             5.170749e-07                  3               0.707101    0.049602   -0.176443    -0.034069        0.114897         0.157880              0.049602       -2.49         0.43         2.99 -0.000909  0.000157           0.000157  1596.51985        1242.166683                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.426157                     0.525400                       NaN   2735.090225   2735.411910      3.109669            0.553833         0.000303             0.000886         0.002961             0.002099          0.002642              0.001816          0.004225              0.003615              1             2
18  2735.66  2736.13  2733.70  2733.70  1763.143      -0.000716     -0.000541     -0.001642    -0.000494   7.913411  7.914128  7.914300  7.913411              NaN     -1        0.003091    1452.75930             2.086496              0.000001             4.958588e-07                  2               0.617311    0.033208   -0.168215    -0.070825        0.393152         0.180824              0.033208        1.17         5.18        -0.46  0.000427  0.001895           0.001891  1452.75930        1168.295923                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.424829                     0.523980                       NaN   2735.374921   2736.372436      3.074995            0.795818         0.000932             0.000762         0.002961             0.002099          0.002642              0.001816          0.004225              0.003615              1             2
19  2733.71  2737.26  2732.14  2735.61  2952.731       0.000699     -0.000713      0.000413    -0.000571   7.914110  7.913415  7.914713  7.912840           1.9030     -1        0.008082    1624.24835             2.452378              0.000002             6.497355e-07                  3               0.713008    0.067628   -0.239183    -0.097275        0.722508         0.317497              0.067628       10.38        11.38         5.85  0.003797  0.004164           0.004147  1624.24835        1430.709519                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN                  0.421823                     0.520764                       NaN   2737.283697   2738.748022      3.312217            1.083444         0.002114             0.000896         0.002961             0.002099          0.002642              0.001816          0.004225              0.003615              4             3
