Stage: EngineerFeatures | Step: 04_02 | Shape: (256025, 113)
       open     high      low    close     volume  close_returns  open_returns  high_returns  low_returns  price_impact  volume_price_impact  order_flow_imbalance  bid_ask_spread  market_depth  realized_volatility  parkinson_volatility  garman_klass_volatility  volatility_regime  volatility_percentile  autocorr_1  autocorr_5  autocorr_10  rolling_corr_5  rolling_corr_10  correlation_strength  momentum_5  momentum_10  momentum_20     roc_5    roc_10  momentum_strength  avg_volume  volume_volatility  liquidity_score  engulfing_patterns_count  engulfing_patterns_present  hammer_hanging_man_count  hammer_hanging_man_present  shooting_star_inverted_hammer_count  shooting_star_inverted_hammer_present  tweezer_patterns_count  tweezer_patterns_present  marubozu_patterns_count  marubozu_patterns_present  three_methods_patterns_count  three_methods_patterns_present  doji_patterns_count  doji_patterns_present  spinning_top_patterns_count  spinning_top_patterns_present  bullish_engulfing_count  bullish_engulfing_present  bearish_engulfing_count  bearish_engulfing_present  hammer_count  hammer_present  hanging_man_count  hanging_man_present  shooting_star_count  shooting_star_present  inverted_hammer_count  inverted_hammer_present  tweezer_top_count  tweezer_top_present  tweezer_bottom_count  tweezer_bottom_present  bullish_marubozu_count  bullish_marubozu_present  bearish_marubozu_count  bearish_marubozu_present  rising_three_methods_count  rising_three_methods_present  falling_three_methods_count  falling_three_methods_present  doji_count  doji_present  spinning_top_count  spinning_top_present  total_patterns  pattern_density  bullish_patterns  bearish_patterns  bullish_bearish_ratio  adaptive_sma  adaptive_ema  adaptive_atr  adaptive_bollinger  1m_price_change  1m_price_volatility  1m_volume_change  1m_volume_ma_ratio  1m_5m_volume_ma_ratio  1m_15m_volume_ma_ratio  5m_price_change  5m_price_volatility  5m_volume_change  5m_volume_ma_ratio  5m_5m_volume_ma_ratio  5m_15m_volume_ma_ratio  15m_price_change  15m_price_volatility  15m_volume_change  15m_volume_ma_ratio  15m_5m_volume_ma_ratio  15m_15m_volume_ma_ratio  30m_price_change  30m_price_volatility  30m_volume_change  30m_volume_ma_ratio  30m_5m_volume_ma_ratio  30m_15m_volume_ma_ratio  volume_regime  trend_regime
10  2743.45  2749.68  2743.44  2749.67   3989.687       0.002267      0.000565      0.001971     0.001080      0.000000             0.466311             -0.283879        0.006420   4837.942000             6.212014          7.044898e-06             1.617684e-06                  0               0.983185         NaN         NaN          NaN       -0.232720              NaN                   0.0       -1.34       -16.33          NaN -0.000487 -0.005904           0.005939     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2746.192909   2749.542805      6.427949            0.480368        -0.000587             0.000812          2.417438            0.932428               2.230184                0.752171        -0.001206              0.00126          0.026711            0.552819               0.470708                 0.64355         -0.001206              0.002454          -0.883276             0.141266                0.236308                 0.154402         -0.001206              0.003475          -0.914409             0.067207                0.115108                 0.074951              0             2
11  2749.68  2753.62  2739.98  2740.73  13098.619      -0.003251      0.002271      0.001433    -0.001261      0.000000            -1.765813             -0.425326        0.013183   5526.331750             6.291585          8.630452e-06             2.168173e-06                  0               0.984052         NaN         NaN          NaN       -0.663064        -0.278580                   0.0       -2.64       -27.07          NaN -0.000962 -0.009780           0.009877     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2745.609235   2747.706674      7.042652            0.178385        -0.000587             0.000812          2.417438            0.932428               2.230184                0.752171        -0.001206              0.00126          0.026711            0.552819               0.470708                 0.64355         -0.001206              0.002454          -0.883276             0.141266                0.236308                 0.154402         -0.001206              0.003475          -0.914409             0.067207                0.115108                 0.074951              0             2
12  2740.73  2742.02  2736.42  2741.14   5581.959       0.000150     -0.003255     -0.004213    -0.001299      0.000000             0.031831             -0.314668        0.012965   5530.610769             6.049485          8.258444e-06             2.161475e-06                  0               0.981318         NaN         NaN          NaN       -0.518824        -0.237114                   0.0       -5.47       -14.28          NaN -0.001992 -0.005183           0.005210     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2744.545256   2746.446297      6.934031            0.234775        -0.000587             0.000812          2.417438            0.932428               2.230184                0.752171        -0.001206              0.00126          0.026711            0.552819               0.470708                 0.64355         -0.001206              0.002454          -0.883276             0.141266                0.236308                 0.154402         -0.001206              0.003475          -0.914409             0.067207                0.115108                 0.074951              0             2
13  2741.14  2748.88  2740.45  2748.71   5245.421       0.002762      0.000150      0.002502     0.001473      0.000000             0.514728             -0.225276        0.008907   5510.240071             6.379458          8.348476e-06             2.134142e-06                  0               0.984857         NaN         NaN          NaN       -0.303968        -0.433905                   0.0        6.82         0.66          NaN  0.002487  0.000240           0.000240     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2745.689447   2747.854847      7.044239            0.618404        -0.000587             0.000812          2.417438            0.932428               2.230184                0.752171        -0.001206              0.00126          0.026711            0.552819               0.470708                 0.64355         -0.001206              0.002454          -0.883276             0.141266                0.236308                 0.154402         -0.001206              0.003475          -0.914409             0.067207                0.115108                 0.074951              0             2
14  2748.70  2749.45  2743.67  2744.00   2956.006      -0.001714      0.002758      0.000207     0.001175      0.000000            -0.173819             -0.253867        0.008989   5339.957800             6.195396          8.067335e-06             2.064065e-06                  0               0.982962         NaN         NaN          NaN       -0.452498        -0.419665                   0.0        0.55        -9.17          NaN  0.000200 -0.003331           0.003342     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2745.686086   2747.321440      6.975231            0.411945        -0.000587             0.000812          2.417438            0.932428               2.230184                0.752171        -0.001206              0.00126          0.026711            0.552819               0.470708                 0.64355         -0.001206              0.002454          -0.883276             0.141266                0.236308                 0.154402         -0.001206              0.003475          -0.914409             0.067207                0.115108                 0.074951              0             2
15  2744.00  2752.71  2743.17  2748.91   7136.479       0.001789     -0.001710      0.001186    -0.000182      0.000000             0.401671             -0.151292        0.009801   5452.240375             6.200153          8.332539e-06             2.234543e-06                  0               0.983048         NaN         NaN          NaN       -0.602177        -0.457975                   0.0       -0.76        -2.10          NaN -0.000276 -0.000763           0.000764     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2745.556968   2748.346756      7.152294            0.743471        -0.000587             0.000812          2.417438            0.932428               2.230184                0.752171        -0.001206              0.00126          0.026711            0.552819               0.470708                 0.64355         -0.001206              0.002454          -0.883276             0.141266                0.236308                 0.154402         -0.001206              0.003475          -0.914409             0.067207                0.115108                 0.074951              0             2
16  2748.90  2753.00  2747.47  2751.51   3499.810       0.000946      0.001786      0.000105     0.001568      0.000000             0.100286             -0.106885        0.009686   5337.391529             6.062426          8.064182e-06             2.201547e-06                  0               0.981467         NaN         NaN          NaN       -0.355011        -0.484575                   0.0       10.78         8.14          NaN  0.003933  0.002967           0.002958     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2747.330910   2749.704158      7.014687            0.817950        -0.000587             0.000812          2.417438            0.932428               2.230184                0.752171        -0.001206              0.00126          0.026711            0.552819               0.470708                 0.64355         -0.001206              0.002454          -0.883276             0.141266                0.236308                 0.154402         -0.001206              0.003475          -0.914409             0.067207                0.115108                 0.074951              0             2
17  2751.52  2753.74  2748.72  2748.73   2943.083      -0.001010      0.000953      0.000269     0.000455      0.000000            -0.087339             -0.134944        0.006555   5204.374389             5.887496          7.785264e-06             2.149632e-06                  0               0.979260         NaN         NaN          NaN       -0.689558        -0.478337                   0.0        7.59         2.12          NaN  0.002769  0.000772           0.000771     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2748.562621   2749.804681      6.903626            0.641985        -0.000587             0.000812          2.417438            0.932428               2.230184                0.752171        -0.001206              0.00126          0.026711            0.552819               0.470708                 0.64355         -0.001206              0.002454          -0.883276             0.141266                0.236308                 0.154402         -0.001206              0.003475          -0.914409             0.067207                0.115108                 0.074951              0             2
18  2748.72  2752.50  2748.00  2750.59   3008.053       0.000677     -0.001018     -0.000450    -0.000262      0.000000             0.057867             -0.099634        0.005917   5088.778526             5.751793          7.501403e-06             2.097543e-06                  0               0.977225         NaN         NaN          NaN       -0.744602        -0.460361                   0.0        1.88         8.70          NaN  0.000684  0.003173           0.003163     0.00000           0.000000         1.000000                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2748.880333   2750.378254      6.756648            0.704760        -0.000587             0.000812          2.417438            0.932428               2.230184                0.752171        -0.001206              0.00126          0.026711            0.552819               0.470708                 0.64355         -0.001206              0.002454          -0.883276             0.141266                0.236308                 0.154402         -0.001206              0.003475          -0.914409             0.067207                0.115108                 0.074951              0             2
19  2750.58  2752.00  2749.19  2750.80   2017.755       0.000076      0.000677     -0.000182     0.000433      0.000043             0.004293             -0.077155        0.004657   4935.227350             5.595086          7.161466e-06             2.018634e-06                  0               0.974916         NaN         NaN          NaN       -0.545574        -0.471684                   0.0        6.80         7.35          NaN  0.002478  0.002679           0.002672  4935.22735        2978.696360         0.999957                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                           NaN                             NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN                         NaN                           NaN                          NaN                            NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2750.018475   2750.799420      6.546443            0.679236        -0.000587             0.000812          2.417438            0.932428               2.230184                0.752171        -0.001206              0.00126          0.026711            0.552819               0.470708                 0.64355         -0.001206              0.002454          -0.883276             0.141266                0.236308                 0.154402         -0.001206              0.003475          -0.914409             0.067207                0.115108                 0.074951              0             2
