Stage: Combine | Step: 04_03 | Shape: (256181, 89)
       open     high      low    close    volume  close_returns  open_returns  high_returns  low_returns  close_log  open_log  high_log   low_log  close_detrended  label  price_impact  volume_price_impact  order_flow_imbalance  bid_ask_spread  market_depth  realized_volatility  parkinson_volatility  garman_klass_volatility  volatility_regime  volatility_percentile  autocorr_1  autocorr_5  autocorr_10  rolling_corr_5  rolling_corr_10  correlation_strength  momentum_5  momentum_10  momentum_20     roc_5    roc_10  momentum_strength  avg_volume  volume_volatility  liquidity_score  engulfing_patterns_count  engulfing_patterns_present  hammer_hanging_man_count  hammer_hanging_man_present  shooting_star_inverted_hammer_count  shooting_star_inverted_hammer_present  tweezer_patterns_count  tweezer_patterns_present  marubozu_patterns_count  marubozu_patterns_present  doji_patterns_count  doji_patterns_present  spinning_top_patterns_count  spinning_top_patterns_present  bullish_engulfing_count  bullish_engulfing_present  bearish_engulfing_count  bearish_engulfing_present  hammer_count  hammer_present  hanging_man_count  hanging_man_present  shooting_star_count  shooting_star_present  inverted_hammer_count  inverted_hammer_present  tweezer_top_count  tweezer_top_present  tweezer_bottom_count  tweezer_bottom_present  bullish_marubozu_count  bullish_marubozu_present  bearish_marubozu_count  bearish_marubozu_present  doji_count  doji_present  spinning_top_count  spinning_top_present  total_patterns  pattern_density  bullish_patterns  bearish_patterns  bullish_bearish_ratio  adaptive_sma  adaptive_ema  adaptive_atr  adaptive_bollinger  volume_regime  trend_regime
0   2651.63  2653.56  2651.62  2652.99  1131.918            NaN           NaN           NaN          NaN   7.883443  7.882930  7.883657  7.882926              NaN     -1      0.000895             0.043574              0.100998        0.003171    1542.48595             1.639238              0.000001             5.135246e-07                  1               0.459901   -0.071571    0.110607     0.200784       -0.158869        -0.245625              0.071571        2.40        -1.95        -1.50  0.000898 -0.000728           0.000729  1542.48595        1150.134054         0.999106                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2672.725369   2673.631615      3.142882            0.757401              1             1
1   2652.99  2653.63  2651.69  2653.03  1497.727       0.000015      0.000513      0.000026     0.000026   7.883458  7.883443  7.883684  7.882952              NaN     -1      0.001286             0.063886              0.035989        0.003427    1438.46715             1.693135              0.000001             4.747499e-07                  1               0.481862   -0.100374    0.105350     0.140522       -0.229647        -0.065309              0.100374        6.30         3.09         0.00  0.002359  0.001156           0.001154  1438.46715        1097.203050         0.998716                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2673.927125   2674.667989      3.157173            0.892780              2             2
2   2653.03  2653.16  2647.35  2648.57  4445.131      -0.001681      0.000015     -0.000177    -0.001637   7.881775  7.883458  7.883507  7.881314              NaN      1      0.000223             0.018872             -0.106592        0.002893    1253.12455             1.684172              0.000001             4.178711e-07                  1               0.478295   -0.125924    0.074847     0.107386       -0.821043        -0.040620              0.125924        7.47         2.75        -0.52  0.002798  0.001028           0.001027  1253.12455         588.790136         0.999777                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2675.348723   2675.456089      3.097799            0.848891              3             1
3   2648.56  2651.49  2648.56  2649.69  3592.527       0.000423     -0.001685     -0.000629     0.000457   7.882198  7.881771  7.882877  7.881771              NaN      1      0.003813             1.467004              0.182791        0.008822    1597.04035             2.167193              0.000002             6.211781e-07                  2               0.641149   -0.111940    0.190259     0.117952       -0.606560        -0.030406              0.111940        9.21         8.33         5.82  0.003444  0.003114           0.003104  1597.04035        1547.777045         0.996201                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2677.027857   2677.809338      3.374510            1.065761              4             2
4   2649.69  2653.77  2648.30  2652.50  3710.576       0.001061      0.000427      0.000860    -0.000098   7.883258  7.882198  7.883737  7.881673              NaN     -1      0.001964             1.032231              0.373171        0.011330    2082.09295             2.327826              0.000002             7.980847e-07                  3               0.683673    0.013157    0.169767     0.056774        0.166295         0.234952              0.013157       13.69        14.36         9.28  0.005120  0.005372           0.005343  2082.09295        2509.161913         0.998039                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2679.557137   2680.661232      3.630192            1.034465              4             2
5   2652.51  2653.50  2649.94  2650.40  1065.000      -0.000792      0.001064     -0.000102     0.000619   7.882466  7.883262  7.883635  7.882292              NaN      1      0.001011             0.485620              0.544901        0.010394    2472.37790             2.367684              0.000003             9.979578e-07                  3               0.693295    0.045613    0.179596     0.050249       -0.030950         0.189623              0.045613       14.81        17.21        11.83  0.005536  0.006439           0.006398  2472.37790        3018.287192         0.998990                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2682.309020   2683.359135      3.796447            0.970816              4             3
6   2650.39  2653.34  2649.51  2653.34  1500.945       0.001109     -0.000799     -0.000060    -0.000162   7.883575  7.882462  7.883575  7.882130              NaN     -1      0.002316            -0.278741              0.557468        0.009801    2452.42790             2.732318              0.000003             1.042013e-06                  3               0.769841   -0.003999    0.110911     0.114747        0.039680        -0.025214              0.003999        7.28        13.58         7.28  0.002719  0.005085           0.005059  2452.42790        3017.284381         0.997689                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2683.559272   2683.304397      3.984736            0.720008              3             3
7   2653.35  2658.03  2653.35  2655.51  2891.733       0.000818      0.001117      0.001768     0.001449   7.884392  7.883578  7.885341  7.883578              NaN     -1      0.000894             0.124148              0.570563        0.007423    2527.20900             2.765083              0.000003             1.068941e-06                  3               0.775869   -0.074824    0.095735     0.131915       -0.045421        -0.165304              0.074824        9.26        16.73         9.05  0.003459  0.006266           0.006227  2527.20900        3005.230675         0.999107                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2685.264694   2684.043380      3.957428            0.764361              3             4
8   2655.52  2656.17  2653.49  2655.39  1029.593      -0.000045      0.000818     -0.000700     0.000053   7.884347  7.884396  7.884641  7.883631              NaN     -1      0.000488             0.042071              0.579297        0.004273    2579.67245             2.770210              0.000003             1.076497e-06                  3               0.776915   -0.070428    0.135139     0.096968        0.040142        -0.103872              0.070428        4.43        13.64         9.54  0.001651  0.005101           0.005075  2579.67245        2980.220026         0.999512                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2686.098988   2684.940660      3.840345            0.766737              2             4
9   2655.42  2657.60  2654.85  2657.01  1007.310       0.000610     -0.000038      0.000538     0.000513   7.884957  7.884358  7.885179  7.884143              NaN     -1      0.000709             0.045755              0.620307        0.002806    2593.99940             2.700995              0.000003             1.040994e-06                  3               0.763988   -0.063312    0.161075     0.088528       -0.258262        -0.049194              0.063312        2.18        15.87        13.76  0.000811  0.005935           0.005900  2593.99940        2972.924062         0.999291                       NaN                         NaN                       NaN                         NaN                                  NaN                                    NaN                     NaN                       NaN                      NaN                        NaN                  NaN                    NaN                          NaN                            NaN                      NaN                        NaN                      NaN                        NaN           NaN             NaN                NaN                  NaN                  NaN                    NaN                    NaN                      NaN                NaN                  NaN                   NaN                     NaN                     NaN                       NaN                     NaN                       NaN         NaN           NaN                 NaN                   NaN             NaN              NaN               NaN               NaN                    NaN   2686.556776   2686.142877      3.684218            0.794876              1             4
