child_id,parent_ids,merge_type,round,details,timestamp
(*)|(LOC_40_UpperQuartileOfRange==1)|(reg_ema20_gt_ema50_ts_bot20==1),"['(*)|(LOC_40_UpperQuartileOfRange==1)|(reg_ema20_gt_ema50_ts_bot20==1)', '(*)|(LOC_40_UpperQuartileOfRange==1)|(reg_ema20_gt_ema50_ts_top20==0)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.385839
(*)|(LOC_90_AbovePrevDayHigh==1)|(reg_compression_score_ts_bot80==0&reg_price_lt_ema200_ts_top80==0&reg_return_autocorr_48_ts_band30_70==0),"['(*)|(LOC_90_AbovePrevDayHigh==1)|(reg_compression_score_ts_bot80==0&reg_price_lt_ema200_ts_top80==0&reg_return_autocorr_48_ts_band30_70==0)', '(*)|(LOC_90_AbovePrevDayHigh==1)|(reg_compression_score_ts_top80==1&reg_price_lt_ema200_ts_top80==0&reg_return_autocorr_48_ts_band30_70==0)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.393444
(*)|(LOC_90_AbovePrevDayHigh==1)|(reg_compression_score_ts_bot80==1&reg_price_lt_ema200_ts_top80==0&reg_return_autocorr_48_ts_band30_70==0),"['(*)|(LOC_90_AbovePrevDayHigh==1)|(reg_compression_score_ts_bot80==1&reg_price_lt_ema200_ts_top80==0&reg_return_autocorr_48_ts_band30_70==0)', '(*)|(LOC_90_AbovePrevDayHigh==1)|(reg_compression_score_ts_top80==0&reg_price_lt_ema200_ts_top80==0&reg_return_autocorr_48_ts_band30_70==0)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.401317
(*)|(*)|(reg_price_lt_ema200_ts_bot20==1&reg_return_autocorr_48_ts_top70==0),"['(*)|(*)|(reg_price_lt_ema200_ts_bot20==1&reg_return_autocorr_48_ts_top60==0)', '(*)|(*)|(reg_price_lt_ema200_ts_bot20==1&reg_return_autocorr_48_ts_top70==0)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.409916
(*)|(LOC_110_AboveBBMid==1)|(reg_bollinger_band_width_ts_band30_70==1&reg_ema20_gt_ema50_ts_top60==1&reg_return_autocorr_48_ts_top40==1),"['(*)|(LOC_110_AboveBBMid==1)|(reg_bollinger_band_width_ts_band30_70==1&reg_ema20_gt_ema50_ts_top60==1&reg_return_autocorr_48_ts_top40==1)', '(*)|(LOC_118_BetweenBBMidAndUpper==1)|(reg_bollinger_band_width_ts_band30_70==1&reg_ema20_gt_ema50_ts_top60==1&reg_return_autocorr_48_ts_bot40==0)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.417853
(*)|(LOC_01_AboveEMA==1)|(reg_price_lt_ema200_ts_top20==0),"['(*)|(LOC_01_AboveEMA==1)|(reg_price_lt_ema200_ts_top20==0)', '(*)|(LOC_05_StackedAboveAllEMAs==1)|(reg_price_lt_ema200_ts_top20==0)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.426350
(*)|(LOC_170_NotTooExtendedAboveEMA==1)|(reg_bollinger_band_width_ts_band25_75==1&reg_price_lt_ema200_ts_top70==1&reg_volatility_autocorr_48_ts_bot80==0),"['(*)|(LOC_170_NotTooExtendedAboveEMA==1)|(reg_bollinger_band_width_ts_band25_75==1&reg_price_lt_ema200_ts_top70==1&reg_volatility_autocorr_48_ts_bot80==0)', '(*)|(LOC_170_NotTooExtendedAboveEMA==1)|(reg_bollinger_band_width_ts_band25_75==1&reg_price_lt_ema200_ts_top70==1&reg_volatility_autocorr_48_ts_top80==1)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.433864
(*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_bollinger_band_width_ts_band30_70==0&reg_ema20_gt_ema50_ts_band25_75==1&reg_volatility_autocorr_48_ts_top20==1),"['(*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_bollinger_band_width_ts_band30_70==0&reg_ema20_gt_ema50_ts_band25_75==1&reg_volatility_autocorr_48_ts_top20==1)', '(*)|(LOC_76_NearInitialBalanceHigh==1)|(reg_bollinger_band_width_ts_band30_70==0)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.442677
(*)|(LOC_03_BetweenFastMidEMA==1)|(reg_ema50_gt_ema200_ts_top30==1),"['(*)|(LOC_03_BetweenFastMidEMA==1)|(reg_ema50_gt_ema200_ts_top30==1)', '(*)|(LOC_13_EMAValueZone_Long==1)|(*)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.451041
(*)|(LOC_90_AbovePrevDayHigh==1)|(reg_bollinger_band_width_ts_top40==0&reg_price_lt_ema200_ts_top80==0&reg_return_autocorr_48_ts_band30_70==1&reg_volume_zscore_48h_ts_band30_70==0),"['(*)|(LOC_90_AbovePrevDayHigh==1)|(reg_bollinger_band_width_ts_top40==0&reg_price_lt_ema200_ts_top80==0&reg_return_autocorr_48_ts_band25_75==1&reg_volume_zscore_48h_ts_band30_70==0)', '(*)|(LOC_90_AbovePrevDayHigh==1)|(reg_bollinger_band_width_ts_top40==0&reg_price_lt_ema200_ts_top80==0&reg_return_autocorr_48_ts_band30_70==1&reg_volume_zscore_48h_ts_band30_70==0)']",prune_duplicate,1,"{""decision_reason"": ""duplicate_pruned""}",2026-03-24 08:38:39.459351
