regime_families_combo,count
compression|liquidity|trend,247
liquidity|trend|volatility,237
liquidity|trend,219
compression|liquidity|trend|volatility,212
compression|trend,211
compression|trend|volatility,197
trend,196
trend|volatility,172
momentum|trend,152
compression|momentum|trend,150
trend|volatility_term_structure,144
momentum|trend|volatility,127
compression|liquidity|trend|volatility_term_structure,123
liquidity|momentum|trend,114
compression|trend|volatility_term_structure,112
compression|liquidity|momentum|trend,112
compression|momentum|trend|volatility,110
trend|volatility|volatility_term_structure,108
liquidity|trend|volatility_term_structure,106
liquidity|trend|volatility|volatility_term_structure,100
compression|liquidity,97
compression|liquidity|trend|volatility|volatility_term_structure,97
liquidity|momentum|trend|volatility,96
compression|liquidity|momentum|trend|volatility,93
compression,93
compression|trend|volatility|volatility_term_structure,88
compression|volatility,83
compression|liquidity|volatility_term_structure,79
compression|liquidity|volatility,75
momentum|trend|volatility_term_structure,74
compression|liquidity|momentum,74
compression|momentum,72
liquidity|volatility,63
liquidity,59
compression|volatility_term_structure,54
momentum,52
liquidity|volatility_term_structure,50
liquidity|momentum|volatility,49
compression|liquidity|volatility|volatility_term_structure,48
compression|momentum|volatility,45
momentum|volatility,43
compression|momentum|trend|volatility|volatility_term_structure,41
,41
liquidity|momentum,41
compression|momentum|volatility_term_structure,39
compression|momentum|trend|volatility_term_structure,38
compression|volatility|volatility_term_structure,38
volatility,36
liquidity|momentum|trend|volatility_term_structure,36
compression|liquidity|momentum|trend|volatility_term_structure,35
compression|liquidity|momentum|volatility,30
momentum|trend|volatility|volatility_term_structure,30
volatility|volatility_term_structure,29
liquidity|momentum|trend|volatility|volatility_term_structure,27
liquidity|volatility|volatility_term_structure,27
liquidity|momentum|volatility_term_structure,25
volatility_term_structure,22
momentum|volatility_term_structure,18
liquidity|momentum|volatility|volatility_term_structure,16
compression|liquidity|momentum|volatility_term_structure,14
compression|liquidity|momentum|trend|volatility|volatility_term_structure,14
compression|liquidity|momentum|volatility|volatility_term_structure,13
compression|momentum|volatility|volatility_term_structure,13
momentum|volatility|volatility_term_structure,11
