stage_order,stage_name,gate_name,metric_name,threshold,input_count,rejected_count,passed_count
1,scorer,below_hurdle,hurdle_excess,> 0,4992,945,914
1,scorer,low_presence,presence_freq,>= 0.4000,4992,6,914
1,scorer,low_sign_consistency,sign_consistency,>= 0.7500,4992,3021,914
1,scorer,low_support,min_support_actual,>= 10,4992,2559,914
1,scorer,non_positive_directional_ret,directional_mean_ret,> 0,4992,0,914
2,pruner,beats_hurdle,hurdle_excess,> 0,784,19,6
2,pruner,dominated_by_parent,dominated_by_parent,must be False,784,12,6
2,pruner,is_too_broad,mean_support_pct,<= 0.2000,784,18,6
2,pruner,low_discovery_count,discovery_count,>= 2,784,748,6
2,pruner,low_sign_consistency,sign_consistency,>= 0.7500,784,6,6
3,mask_assessor,insufficient_baseline_oof_coverage,baseline_oof_coverage,>= 0.2500,6,0,0
3,mask_assessor,insufficient_subset_oof_coverage,subset_oof_coverage,>= 0.2500,6,0,0
3,mask_assessor,low_entropy_reduction,entropy_reduction,>= 0.0500,6,0,0
3,mask_assessor,low_lift,learn_eff_ratio,>= 1.1000,6,4,0
3,mask_assessor,low_sign_consistency,sign_consistency,>= 0.7500,6,0,0
3,mask_assessor,low_trades_per_day,avg_trades_per_day,>= 0.1000,6,0,0
3,mask_assessor,missing_learnability,learn_eff_ratio,must be finite,6,2,0
3,mask_assessor,not_assessed_min_mask_support,mask_support_count,>= 20 rows,6,0,0
