canonical_key,dominant_parent_key,composite_score,hurdle_excess
(*)|(LOC_21_BelowVWAP==1)|(reg_price_lt_ema200_ts_bot20==1&reg_return_autocorr_48_ts_top70==0),(*)|(*)|(reg_price_lt_ema200_ts_bot20==1&reg_return_autocorr_48_ts_top70==0),0.001017669236760045,0.005494175262355023
(*)|(LOC_95_AbovePrevDayMid==1)|(reg_price_lt_ema200_ts_bot20==1&reg_return_autocorr_48_ts_top70==0),(*)|(*)|(reg_price_lt_ema200_ts_bot20==1&reg_return_autocorr_48_ts_top70==0),0.0008664831079161976,0.0029494876874862747
(*)|(LOC_21_BelowVWAP==0)|(reg_price_lt_ema200_ts_bot20==1&reg_return_autocorr_48_ts_top70==0),(*)|(*)|(reg_price_lt_ema200_ts_bot20==1&reg_return_autocorr_48_ts_top70==0),0.0005941521961855987,0.0022465292122246547
(*)|(LOC_134_Fib382Zone_Long==1)|(reg_trend_persistence_ts_bot50==1),(*)|(LOC_134_Fib382Zone_Long==1)|(*),0.0004529732913105705,0.0018485317265345964
(*)|(LOC_134_Fib382Zone_Long==1)|(reg_compression_score_ts_band20_80==0&reg_return_autocorr_48_ts_band20_80==1&reg_trend_persistence_ts_band25_75==1),(*)|(LOC_134_Fib382Zone_Long==1)|(*),0.0004179875568987696,0.0022832860461967676
(*)|(LOC_134_Fib382Zone_Long==1)|(reg_compression_score_ts_band30_70==1&reg_ema20_gt_ema50_ts_band30_70==0),(*)|(LOC_134_Fib382Zone_Long==1)|(*),0.0004165833409563261,0.0023766956017844034
(*)|(LOC_134_Fib382Zone_Long==1)|(reg_trend_persistence_ts_band40_60==1),(*)|(LOC_134_Fib382Zone_Long==1)|(*),0.00037886793563054495,0.00240064460263807
(*)|(LOC_134_Fib382Zone_Long==1)|(reg_return_autocorr_48_ts_top40==1&reg_trend_persistence_ts_band25_75==1&reg_volume_zscore_48h_ts_top20==0),(*)|(LOC_134_Fib382Zone_Long==1)|(*),0.00029585320370642277,0.0026474627234414055
(*)|(LOC_09_TouchMidEMA_Long==1)|(reg_trend_persistence_ts_band40_60==0&reg_volume_zscore_48h_ts_band30_70==0),(*)|(LOC_09_TouchMidEMA_Long==1)|(*),0.00018026107027420903,0.0011226012632157196
(*)|(LOC_09_TouchMidEMA_Long==1)|(reg_ema20_gt_ema50_ts_band25_75==0),(*)|(LOC_09_TouchMidEMA_Long==1)|(*),0.00013307974668927582,0.0006187783443294065
(*)|(LOC_134_Fib382Zone_Long==1)|(reg_atr_change_rate_ts_bot70==1&reg_bollinger_band_width_ts_top50==1&reg_price_lt_ema200_ts_top50==1&reg_volume_autocorr_48_ts_band30_70==1),(*)|(LOC_134_Fib382Zone_Long==1)|(*),-0.00010092954293892954,0.0003125673827241856
(*)|(LOC_134_Fib382Zone_Long==1)|(reg_bollinger_band_width_ts_top40==1&reg_trend_persistence_ts_band40_60==0&reg_volatility_autocorr_48_ts_band20_80==0),(*)|(LOC_134_Fib382Zone_Long==1)|(*),-0.0002545488622810543,0.0013068900651635714
(*)|(LOC_134_Fib382Zone_Long==1)|(reg_bollinger_band_width_ts_top70==1&reg_volatility_autocorr_48_ts_band25_75==0),(*)|(LOC_134_Fib382Zone_Long==1)|(*),-0.00034493328677338635,0.002323228685355426
(*)|(LOC_54_NearPriorLow==1)|(reg_price_lt_ema200_ts_bot20==0),(*)|(LOC_54_NearPriorLow==1)|(*),-0.0003453453052510666,0.001795377563202286
(*)|(LOC_134_Fib382Zone_Long==1)|(reg_bollinger_band_width_ts_top50==1&reg_compression_score_ts_top50==0&reg_volume_zscore_48h_ts_top50==1),(*)|(LOC_134_Fib382Zone_Long==1)|(*),-0.000521939583145096,0.00380692818774178
(*)|(LOC_54_NearPriorLow==1)|(reg_ema20_gt_ema50_ts_band30_70==0&reg_volume_autocorr_48_ts_bot80==1),(*)|(LOC_54_NearPriorLow==1)|(*),-0.0006952514808999439,0.006540744514127102
(*)|(LOC_134_Fib382Zone_Long==1)|(reg_compression_score_ts_top70==1&reg_trend_persistence_ts_band25_75==1&reg_volume_zscore_48h_ts_top60==0),(*)|(LOC_134_Fib382Zone_Long==1)|(*),0.00043563564924894093,0.00430356417250855
(*)|(LOC_134_Fib382Zone_Long==1)|(reg_bollinger_band_width_ts_band30_70==1&reg_compression_score_ts_top50==0&reg_return_autocorr_48_ts_band40_60==0&reg_trend_persistence_ts_band25_75==1),(*)|(LOC_134_Fib382Zone_Long==1)|(*),0.0004140124590229337,0.004807599817876428
(*)|(LOC_134_Fib382Zone_Long==1)|(reg_bollinger_band_width_ts_band30_70==1&reg_compression_score_ts_top50==1&reg_return_autocorr_48_ts_band40_60==0&reg_trend_persistence_ts_band25_75==1),(*)|(LOC_134_Fib382Zone_Long==1)|(*),0.000386104869847937,0.005220529181829279
