key_a,key_b,pair_retrieval_score,containment_score,overlap_coeff,jaccard,behavior_similarity,fold_similarity,child_candidate_name,child_selection_score,child_mean_net_ret,child_std_net_ret,child_sharpe,child_mean_ic,child_positive_fold_fraction,better_parent_name,parent_selection_score,parent_mean_net_ret,parent_std_net_ret,parent_sharpe,parent_mean_ic,worse_parent_name,worse_parent_std_net_ret,composite_selection_score,parent_a_selection_score,parent_b_selection_score,accept_merge,decision,decision_reason,ridge_mean_net_ret,ridge_positive_fold_fraction
(*)|(LOC_07_TouchFastEMA_Long==1)|(reg_bollinger_band_width_ts_band30_70==0&reg_ema20_gt_ema50_ts_bot60==0),(*)|(LOC_07_TouchFastEMA_Long==1)|(reg_bollinger_band_width_ts_band30_70==0&reg_ema20_gt_ema50_ts_top60==1),1.0,1.0,1.0,1.0,1.0,1.0,parent_b_only,0.0018142585070092003,0.0016519002383574843,0.018509190902113913,0.08924756609262821,0.020328380777647412,0.8,parent_a_only,0.0018142585070092003,0.0016519002383574843,0.018509190902113913,0.08924756609262821,0.020328380777647412,parent_b_only,0.018509190902113913,-0.0,0.0018142585070092003,0.0018142585070092003,False,keep_parent_b,composite_lost_to_parent,-0.00035673193633556366,0.5
(*)|(LOC_10_TouchMidEMA_Short==1)|(reg_ema50_gt_ema200_ts_bot40==1),(*)|(LOC_10_TouchMidEMA_Short==1)|(reg_ema50_gt_ema200_ts_top40==0),1.0,1.0,1.0,1.0,1.0000000000000002,1.0,parent_b_only,0.008976330858445292,0.005224010976962745,0.01799947153776884,0.29023135295950464,0.030928191482116472,1.0,parent_a_only,0.008976330858445292,0.005224010976962745,0.01799947153776884,0.29023135295950464,0.030928191482116472,parent_b_only,0.01799947153776884,0.0,0.008976330858445292,0.008976330858445292,False,keep_parent_b,composite_lost_to_parent,0.0027102988096885383,1.0
(*)|(LOC_12_DeepPullbackToSlowEMA_Short==1)|(reg_compression_score_ts_bot60==1),(*)|(LOC_12_DeepPullbackToSlowEMA_Short==1)|(reg_compression_score_ts_top60==0),1.0,1.0,1.0,1.0,1.0,1.0,parent_b_only,0.008834040648790929,0.005566626088693738,0.018902501091361046,0.2944915099747216,0.029997607229998648,1.0,parent_a_only,0.008834040648790929,0.005566626088693738,0.018902501091361046,0.2944915099747216,0.029997607229998648,parent_b_only,0.018902501091361046,0.008834040648790929,0.008834040648790929,0.008834040648790929,False,keep_parent_b,composite_lost_to_parent,0.005566626088693738,1.0
(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_band30_70==0&reg_return_autocorr_48_ts_bot80==1),(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_band30_70==0&reg_return_autocorr_48_ts_top80==0),1.0,1.0,1.0,1.0,1.0,1.0,parent_b_only,0.0017623192285990503,0.0025325539812911303,0.021323922276496887,0.11876586063542811,0.014838601085953371,0.8,parent_a_only,0.0017623192285990503,0.0025325539812911303,0.021323922276496887,0.11876586063542811,0.014838601085953371,parent_b_only,0.021323922276496887,0.0017623192285990503,0.0017623192285990503,0.0017623192285990503,False,keep_parent_b,composite_lost_to_parent,0.0025325539812911303,0.8
(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_bot40==0),(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_top40==1),1.0,1.0,1.0,1.0,1.0000000000000002,1.0,parent_b_only,-0.0,-0.002002844167873263,0.01707428190857172,-0.11730180973923036,-0.017283575196183936,0.2,parent_a_only,-0.0,-0.002002844167873263,0.01707428190857172,-0.11730180973923036,-0.017283575196183936,parent_b_only,0.01707428190857172,-0.0,-0.0,-0.0,False,keep_parent_b,composite_lost_to_parent,-0.002002844167873263,0.2
(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_bot40==1),(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_top40==0),1.0,1.0,1.0,1.0,1.0000000000000002,1.0,parent_b_only,0.001955870096012489,0.002604172530118376,0.022064800560474395,0.11802384177373167,0.016571821986291275,0.8,parent_a_only,0.001955870096012489,0.002604172530118376,0.022064800560474395,0.11802384177373167,0.016571821986291275,parent_b_only,0.022064800560474395,-inf,0.001955870096012489,0.001955870096012489,False,keep_parent_b,composite_lost_to_parent,,0.0
(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_bot70==1&reg_price_lt_ema200_ts_bot50==0&reg_volume_zscore_48h_ts_bot60==0),(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_bot70==1&reg_price_lt_ema200_ts_top50==1&reg_volume_zscore_48h_ts_top60==1),1.0,1.0,1.0,1.0,1.0000000000000002,1.0,parent_b_only,-0.0,-0.002601704455446452,0.019287500716745853,-0.1348906990934078,-0.005579330644790057,0.0,parent_a_only,-0.0,-0.002601704455446452,0.019287500716745853,-0.1348906990934078,-0.005579330644790057,parent_b_only,0.019287500716745853,-inf,-0.0,-0.0,False,keep_parent_b,composite_lost_to_parent,,0.0
(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_bot70==1&reg_price_lt_ema200_ts_bot50==0&reg_volume_zscore_48h_ts_bot60==0),(*)|(LOC_130_ShallowPullback_Long==1)|(reg_bollinger_band_width_ts_top70==0&reg_price_lt_ema200_ts_top50==1&reg_volume_zscore_48h_ts_bot60==0),1.0,1.0,1.0,1.0,1.0000000000000002,1.0,parent_b_only,-0.0,-0.002601704455446452,0.019287500716745853,-0.1348906990934078,-0.005579330644790057,0.0,parent_a_only,-0.0,-0.002601704455446452,0.019287500716745853,-0.1348906990934078,-0.005579330644790057,parent_b_only,0.019287500716745853,-inf,-0.0,-0.0,False,keep_parent_b,composite_lost_to_parent,,0.0
(*)|(LOC_135_Fib50Zone_Long==1)|(reg_volume_autocorr_48_ts_bot80==0),(*)|(LOC_135_Fib50Zone_Long==1)|(reg_volume_autocorr_48_ts_top80==1),1.0,1.0,1.0,1.0,1.0,1.0,parent_b_only,-0.0,-0.003986324742436409,0.024620197340846063,-0.1619127859638602,-0.003990158451986296,0.2,parent_a_only,-0.0,-0.003986324742436409,0.024620197340846063,-0.1619127859638602,-0.003990158451986296,parent_b_only,0.024620197340846063,-inf,-0.0,-0.0,False,keep_parent_b,composite_lost_to_parent,,0.0
(*)|(LOC_14_EMAValueZone_Short==1)|(reg_ema50_gt_ema200_ts_bot60==0),(*)|(LOC_14_EMAValueZone_Short==1)|(reg_ema50_gt_ema200_ts_top60==1),1.0,1.0,1.0,1.0,1.0,1.0,parent_b_only,0.0,0.0006425730185583234,0.0173712819814682,0.036990535254900855,-0.0008358946961475353,0.8,parent_a_only,0.0,0.0006425730185583234,0.0173712819814682,0.036990535254900855,-0.0008358946961475353,parent_b_only,0.0173712819814682,0.0,0.0,0.0,False,keep_parent_b,composite_lost_to_parent,0.0006425730185583234,0.8
(*)|(LOC_40_UpperQuartileOfRange==1)|(reg_ema20_gt_ema50_ts_bot20==1),(*)|(LOC_40_UpperQuartileOfRange==1)|(reg_ema20_gt_ema50_ts_top20==0),1.0,1.0,1.0,1.0,1.0,1.0,parent_b_only,-0.0,-0.004517837401363067,0.015395358577370644,-0.29345450959510316,-0.024437252874384457,0.2,parent_a_only,-0.0,-0.004517837401363067,0.015395358577370644,-0.29345450959510316,-0.024437252874384457,parent_b_only,0.015395358577370644,-inf,-0.0,-0.0,False,keep_parent_b,composite_lost_to_parent,,0.0
