group,raw_source_features,generated_booleans,retained,dropped,drop_reason_all_zeros,drop_reason_all_ones,drop_reason_low_support,drop_reason_duplicate,support_min,support_p25,support_median,support_p75,support_max
regime,30,35,30,5,0,0,0,5,42120.0,42120.0,42120.0,42120.0,42120.0
location,45,40,40,0,0,0,0,0,42120.0,42120.0,42120.0,42120.0,42120.0
