fold_id,seed,group,used_feature_count,split_count
0,42,location,40,474
0,42,regime,34,591
1,42,location,38,195
1,42,regime,34,273
2,42,location,31,106
2,42,regime,29,100
3,42,location,40,726
3,42,regime,36,923
