symbol,rows,n_features,nan_cells,nan_pct_overall,leading_nan_cells,interior_nan_cells,trailing_nan_cells,all_nan_features,constant_features,features_with_interior_nan
0G/USDC,5644,852,0,0.0,0,0,0,0,4,0
1000000BOB/USDT,8147,852,0,0.0,0,0,0,0,66,0
1000000MOG/USDT,13183,852,0,0.0,0,0,0,0,67,0
1000BONK/USDC,17724,852,0,0.0,0,0,0,0,66,0
1000CAT/USDT,13591,852,0,0.0,0,0,0,0,10,0
1000CHEEMS/USDT,12752,852,0,0.0,0,0,0,0,13,0
1000SATS/USDT,21125,852,0,0.0,0,0,0,0,29,0
1INCH/USDT,34988,852,0,0.0,0,0,0,0,3,0
1MBABYDOGE/USDT,14432,852,0,0.0,0,0,0,0,14,0
2Z/USDT,5287,852,0,0.0,0,0,0,0,13,0
A/USDT,8339,852,0,0.0,0,0,0,0,10,0
AAVE/USDC,7883,852,0,0.0,0,0,0,0,20,0
ACH/USDT,28157,852,0,0.0,0,0,0,0,9,0
ACT/USDT,13087,852,0,0.0,0,0,0,0,8,0
ACX/USDT,12484,852,0,0.0,0,0,0,0,8,0
ADA/USDC,10329,852,0,0.0,0,0,0,0,7,0
AEVO/USDT,18918,852,0,0.0,0,0,0,0,10,0
AIXBT/USDT,12145,852,0,0.0,0,0,0,0,4,0
ALGO/USDT,34988,852,0,0.0,0,0,0,0,3,0
ALLO/USDT,4325,852,0,0.0,0,0,0,0,7,0
ALT/USDT,20069,852,0,0.0,0,0,0,0,5,0
ANIME/USDT,11330,852,0,0.0,0,0,0,0,14,0
APE/USDT,34988,852,0,0.0,0,0,0,0,3,0
API3/USDT,34988,852,0,0.0,0,0,0,0,3,0
APT/USDT,31193,852,0,0.0,0,0,0,0,3,0
AR/USDT,34988,852,0,0.0,0,0,0,0,8,0
ARB/USDC,18060,852,0,0.0,0,0,0,0,5,0
ASTER/USDT,5599,852,0,0.0,0,0,0,0,4,0
AT/USDT,4640,852,0,0.0,0,0,0,0,12,0
ATOM/USDT,34988,852,0,0.0,0,0,0,0,6,0
