canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_prior_day_high>0.028439362&oiw_pos_delta_entry_dist_14d_atr<=-0.64241409&zscore_price_200<=-0.00000000000000000000000000000000001)|(price_rv_15d_robust_z<=0.12176318),4,4,location|regime,open_interest,context|open_interest_location,context|open_interest|open_interest_location
(*)|(*)|(oiw_entry_zone_1d_atr<=0.6820128&range_24h_pct<=0.07542555&range_24h_pct>0.041211989&range_expansion_ratio>-0.33355683),4,4,regime,compression|perp_tradeability|volatility_term_structure,,compression|perp_tradeability|volatility_term_structure
(*)|(dist_ema50_atr<=-0.0040941094)|(price_rv_15d_robust_z>-0.26753873&range_24h_pct>0.07542555),3,3,location|regime,compression|open_interest,context,compression|context|open_interest
(*)|(*)|(asset_atr_level_pct>0.58315104&donchian_zone_1d_atr<=0.20019804&range_24h_pct<=0.10291804),3,3,regime,asset_state|compression|perp_tradeability,,asset_state|compression|perp_tradeability
(*)|(*)|(asset_atr_level_pct>0.58315104&donchian_zone_1d_atr<=0.20019804&range_24h_pct>0.10291804),3,3,regime,asset_state|compression|perp_tradeability,,asset_state|compression|perp_tradeability
(*)|(dist_local_swing>0.0038000941)|(asset_atr_level_pct>0.58315104&donchian_zone_1d_atr>0.20019804),3,3,location|regime,asset_state|perp_tradeability,context,asset_state|context|perp_tradeability
(*)|(loc_pullback_depth_48<=0.27822402&loc_session_pos_48>0.24113625&zscore_price_50>-0.9856298)|(asset_atr_level_pct<=0.75750029&range_24h_pct<=0.058627848),5,5,location|regime,asset_state|compression,context|path_structure,asset_state|compression|context|path_structure
(*)|(*)|(asset_atr_level_pct>0.75750029&oiw_entry_zone_1d_atr<=0.44853115),2,2,regime,asset_state|perp_tradeability,,asset_state|perp_tradeability
(*)|(*)|(asset_atr_level_pct>0.75750029&oiw_entry_zone_1d_atr>0.44853115),2,2,regime,asset_state|perp_tradeability,,asset_state|perp_tradeability
(*)|(*)|(dist_funding_pressure_price_96h_atr<=1.0094274&range_24h_pct<=0.049113661&range_24h_pct>0.031820763),3,3,regime,compression|perp_tradeability,,compression|perp_tradeability
(*)|(*)|(log_oi_to_volume_7d>0.50321001&price_rv_15d_robust_z<=-0.14604864&range_24h_pct>0.049113661),3,3,regime,compression|open_interest,,compression|open_interest
(*)|(zscore_price_50<=-0.79610401)|(price_rv_15d_robust_z>-0.14604864&range_24h_pct>0.049113661),3,3,location|regime,compression|open_interest,context,compression|context|open_interest
(*)|(dist_prior_day_high<=0.035611145&loc_initial_balance_pos_24>0.095167898)|(asset_atr_level_pct<=0.19391201),3,3,location|regime,asset_state,context,asset_state|context
(*)|(dist_prior_day_high>0.035611145)|(ema50_slope<=-0.54766828&price_rv_15d_robust_z<=0.80621654&price_rv_15d_robust_z>-0.81725812),4,4,location|regime,open_interest|trend,context,context|open_interest|trend
(*)|(dist_prior_day_high>0.035611145)|(price_rv_15d_robust_z>0.80621654),2,2,location|regime,open_interest,context,context|open_interest
(*)|(loc_ema_stack_pos_48<=0.18911058&zscore_price_200<=-0.4684878)|(asset_atr_level_pct>0.60879207&range_24h_pct>0.065182254),4,4,location|regime,asset_state|compression,context|trend,asset_state|compression|context|trend
(*)|(loc_ema_stack_pos_48>0.18911058)|(asset_atr_level_pct>0.60879207&range_24h_pct>0.065182254),3,3,location|regime,asset_state|compression,trend,asset_state|compression|trend
(*)|(dist_oiw_abs_delta_12h_atr<=-0.054594945&dist_prior_day_high>0.018759744&dist_rolling_7d_high<=0.1898088)|(price_trend_7d_vol_norm>-0.002750403),4,4,location|regime,open_interest,context|open_interest_location,context|open_interest|open_interest_location
(*)|(dist_oiw_abs_delta_12h_atr>-0.054594945&dist_prior_day_high>0.018759744&dist_rolling_7d_high<=0.1898088)|(price_trend_7d_vol_norm>-0.002750403),4,4,location|regime,open_interest,context|open_interest_location,context|open_interest|open_interest_location
(*)|(dist_prior_day_high>0.018759744&dist_rolling_7d_high>0.1898088)|(compression_ratio<=0.35016063),3,3,location|regime,volatility_term_structure,context,context|volatility_term_structure
(*)|(dist_prior_day_high<=0.026539207&dist_prior_day_high>0.0011736024&loc_session_pos_24<=0.67171246)|(asset_atr_level_pct<=0.67408806),4,4,location|regime,asset_state,context,asset_state|context
(*)|(dist_prior_day_high>0.026539207&zscore_price_200<=-0.54589105)|(asset_atr_level_pct<=0.67408806&volume_percentile<=0.20363876),4,4,location|regime,asset_state|liquidity,context,asset_state|context|liquidity
(*)|(dist_rolling_7d_high>0.14812735)|(asset_atr_level_pct<=0.9374783&asset_atr_level_pct>0.67408806),3,3,location|regime,asset_state,context,asset_state|context
(*)|(dist_prior_day_high>0.029362749)|(asset_atr_level_pct<=0.81246871&price_trend_15d_vol_norm<=-0.074143477),3,3,location|regime,asset_state|open_interest,context,asset_state|context|open_interest
(*)|(dist_prior_day_high>0.029362749)|(asset_atr_level_pct<=0.81246871&funding_vol_15d_robust_z>-0.34604123&price_trend_15d_vol_norm>-0.074143477),4,4,location|regime,asset_state|open_interest,context,asset_state|context|open_interest
(*)|(oiw_z_delta_entry_dist_14d_atr>-0.56544465)|(asset_atr_level_pct<=0.63933861&range_24h_pct>0.046819773&variance_ratio_10_48<=-0.39730832),4,4,location|regime,asset_state|compression|volatility,open_interest_location,asset_state|compression|open_interest_location|volatility
(*)|(*)|(asset_atr_level_pct>0.63933861&donchian_zone_1d_atr>-0.33758244&oi_value_z_30d<=0.031855319),3,3,regime,asset_state|open_interest|perp_tradeability,,asset_state|open_interest|perp_tradeability
(*)|(bars_in_high_vol_state_log_norm>-0.21148992)|(ema50_slope<=-0.49375036),2,2,location|regime,trend,context,context|trend
(*)|(loc_session_pos_48>0.028555559)|(ema50_slope>-0.49375036&funding_mean_15d_robust_z<=0.6639657&funding_mean_15d_robust_z>-0.15866195&price_rv_15d_robust_z<=0.0047962326),5,5,location|regime,open_interest|trend,context,context|open_interest|trend
(*)|(bars_in_high_vol_state_log_norm>-0.1699785&loc_session_pos_48>0.028555559)|(ema50_slope>-0.49375036&price_rv_15d_robust_z>0.0047962326),4,4,location|regime,open_interest|trend,context,context|open_interest|trend
(*)|(bars_in_high_vol_state_log_norm<=-0.4414579&dist_rolling_7d_high<=0.17785014&zscore_price_200<=0.84879351)|(asset_atr_level_pct>0.29188064),4,4,location|regime,asset_state,context,asset_state|context
(*)|(dist_rolling_7d_high<=0.17785014&zscore_price_200>0.84879351)|(asset_atr_level_pct>0.29188064&price_trend_10d_vol_norm>0.087485902),4,4,location|regime,asset_state|open_interest,context,asset_state|context|open_interest
(*)|(dist_rolling_7d_high>0.23947212)|(asset_atr_level_pct>0.29188064),2,2,location|regime,asset_state,context,asset_state|context
(*)|(*)|(asset_atr_level_pct<=0.56988513&compression_score>-0.86562449&price_trend_15d_vol_norm>-0.02957244&return_autocorr_48>-0.24193347),4,4,regime,asset_state|momentum|open_interest|volatility_term_structure,,asset_state|momentum|open_interest|volatility_term_structure
(*)|(loc_ema_stack_pos_48<=0.20083095)|(asset_atr_level_pct>0.56988513&asset_minus_mkt_oi_1d_z_90d>-0.011299532),3,3,location|regime,asset_state|open_interest,trend,asset_state|open_interest|trend
(*)|(*)|(asset_atr_level_pct>0.39683217&range_24h_pct<=0.088267051&return_autocorr_48<=-0.45864606),3,3,regime,asset_state|compression|momentum,,asset_state|compression|momentum
(*)|(loc_ema_stack_pos_48<=0.17730273)|(asset_atr_level_pct>0.39683217&price_rv_15d_robust_z>-0.13409118&range_24h_pct>0.088267051),4,4,location|regime,asset_state|compression|open_interest,trend,asset_state|compression|open_interest|trend
(*)|(oiw_pos_delta_entry_dist_14d_atr>-1.0567291)|(asset_atr_level_pct<=0.54350728&rolling_range_20>-1.0631236&up_down_semivol_ratio_tanh>0.73962408),4,4,location|regime,asset_state|compression|path_structure,open_interest_location,asset_state|compression|open_interest_location|path_structure
(*)|(*)|(asset_atr_level_pct<=0.79501379&asset_atr_level_pct>0.54350728&oi_value_z_90d>-0.18168023),3,3,regime,asset_state|open_interest,,asset_state|open_interest
(*)|(dist_funding_pressure_price_12h_atr>-0.4201512)|(asset_atr_level_pct>0.79501379),2,2,location|regime,asset_state,open_interest_location,asset_state|open_interest_location
(*)|(loc_pivot_ladder_pos_24>-0.0032685262&loc_prev_week_range_pos_24<=0.76969069)|(asset_atr_level_pct<=0.4058736&oi_to_volume_1d_z_90d<=0.98741382),4,4,location|regime,asset_state|open_interest,context,asset_state|context|open_interest
(*)|(dist_rolling_7d_high<=0.1642787&loc_initial_balance_pos_48<=0.64451337)|(asset_atr_level_pct>0.4058736&oi_value_z_90d>0.026224734&price_trend_7d_vol_norm>-0.027236849),5,5,location|regime,asset_state|open_interest,context,asset_state|context|open_interest
(*)|(dist_rolling_7d_high>0.1642787)|(asset_atr_level_pct>0.4058736&donchian_zone_1d_atr<=0.22575551),3,3,location|regime,asset_state|perp_tradeability,context,asset_state|context|perp_tradeability
