group,raw_source_features,generated_booleans,retained,dropped,drop_reason_all_zeros,drop_reason_all_ones,drop_reason_low_support,drop_reason_duplicate,support_min,support_p25,support_median,support_p75,support_max
regime,36,597,597,0,0,0,0,0,74247.0,111785.0,185620.0,223162.0,297411.0
location,39,702,702,0,0,0,0,0,74247.0,111785.0,185733.0,223162.0,297411.0
