canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_rolling_7d_high<=-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(return_autocorr_48<=-0.23729664),3,3,location|regime,momentum,context|liquidity,context|liquidity|momentum
(*)|(dist_prior_day_high>-0.20791039&dist_rolling_7d_high<=-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(return_autocorr_48>-0.23729664),4,4,location|regime,momentum,context|liquidity,context|liquidity|momentum
(*)|(dist_ema20_atr<=0.21911147&dist_ma100_atr<=0.44155464&dist_rolling_7d_high>-0.088790603&loc_vwap_dev_z_24>-0.28767142)|(choppiness_index_20<=0.017542936),5,5,location|regime,path_structure,context|liquidity,context|liquidity|path_structure
(*)|(dist_ema20_atr>0.25863752&dist_ma100_atr<=0.44155464&dist_rolling_7d_high>-0.088790603&loc_vwap_dev_z_24>-0.28767142&loc_vwap_dev_z_48<=0.34375018)|(*),5,5,location,,context|liquidity,context|liquidity
(*)|(*)|(atr_compression_ratio<=-0.10000223&atr_compression_ratio>-0.37127453&efficiency_ratio_20<=-0.28767142),3,3,regime,path_structure|volatility_term_structure,,path_structure|volatility_term_structure
(*)|(dist_ma100_atr<=-0.22875781)|(atr_compression_ratio<=-0.10000223&bars_since_ema20_ema50_cross_log_norm>-0.28453222&efficiency_ratio_20>-0.28767142),4,4,location|regime,path_structure|trend|volatility_term_structure,context,context|path_structure|trend|volatility_term_structure
(*)|(dist_ma100_atr>-0.19982255)|(atr_compression_ratio<=-0.10000223&efficiency_ratio_20>-0.28767142),3,3,location|regime,path_structure|volatility_term_structure,context,context|path_structure|volatility_term_structure
(*)|(*)|(bars_since_ema20_ema50_cross_log_norm<=-0.066335879&trend_acceleration<=-0.28095466&volume_zscore_48h>-0.35508123),3,3,regime,liquidity|trend,,liquidity|trend
(*)|(*)|(bars_since_ema20_ema50_cross_log_norm<=-0.066335879&realized_volatility_24h<=-0.16923557&trend_acceleration>-0.28095466),3,3,regime,trend|volatility,,trend|volatility
(*)|(*)|(bars_since_ema20_ema50_cross_log_norm<=-0.066335879&realized_volatility_24h<=-0.10000223&realized_volatility_24h>-0.16923557&trend_acceleration>-0.28095466),4,4,regime,trend|volatility,,trend|volatility
(*)|(dist_vwap_atr<=0.49868706&zscore_price_50<=0.25863752)|(bars_since_ema20_ema50_cross_log_norm>-0.066335879&up_down_semivol_ratio_tanh<=0.034747534&up_down_semivol_ratio_tanh>-0.060637552),5,5,location|regime,path_structure|trend,context,context|path_structure|trend
