families_combo,count
context,210
context|path_structure,181
compression|context,165
context|liquidity,157
context|liquidity|path_structure,122
context|volatility,111
compression|context|path_structure,104
context|path_structure|volatility,99
context|volatility_term_structure,95
context|path_structure|volatility_term_structure,82
context|trend,71
compression|context|liquidity,68
compression|context|volatility,61
context|path_structure|trend,57
context|liquidity|volatility_term_structure,51
context|liquidity|volatility,47
compression|context|volatility_term_structure,44
context|momentum,42
compression|context|liquidity|path_structure,41
context|liquidity|trend,41
context|liquidity|path_structure|volatility_term_structure,35
context|volatility|volatility_term_structure,34
compression|context|path_structure|volatility,33
compression|context|momentum,32
context|momentum|path_structure,32
context|liquidity|path_structure|volatility,31
context|momentum|volatility,30
context|momentum|volatility_term_structure,28
context|trend|volatility_term_structure,27
context|trend|volatility,26
compression|context|liquidity|volatility_term_structure,21
compression|context|trend,20
context|liquidity|trend|volatility,20
context|liquidity|path_structure|trend,20
compression|context|liquidity|trend,19
context|momentum|path_structure|volatility,19
context|momentum|trend,19
compression|context|volatility|volatility_term_structure,19
compression|context|path_structure|volatility_term_structure,17
compression,17
context|path_structure|trend|volatility,15
liquidity|path_structure,15
compression|context|liquidity|momentum,14
context|liquidity|momentum,14
compression|context|momentum|path_structure,14
path_structure|volatility|volatility_term_structure,14
context|momentum|path_structure|volatility_term_structure,13
context|path_structure|volatility|volatility_term_structure,13
context|liquidity|volatility|volatility_term_structure,13
path_structure|volatility,12
context|trend|volatility|volatility_term_structure,12
liquidity,12
compression|liquidity|path_structure,11
compression|volatility,11
compression|context|trend|volatility_term_structure,11
path_structure,10
context|liquidity|momentum|volatility_term_structure,10
liquidity|path_structure|trend,10
context|liquidity|trend|volatility_term_structure,10
compression|liquidity,10
momentum|volatility_term_structure,10
compression|path_structure|volatility,10
compression|context|momentum|trend,9
compression|context|liquidity|volatility,9
compression|context|trend|volatility,9
context|liquidity|momentum|path_structure,9
context|momentum|volatility|volatility_term_structure,9
context|liquidity|momentum|volatility,9
compression|context|liquidity|path_structure|volatility,9
compression|liquidity|path_structure|volatility,8
context|path_structure|trend|volatility_term_structure,8
context|liquidity|path_structure|trend|volatility_term_structure,8
compression|context|path_structure|trend,8
compression|path_structure,8
compression|path_structure|volatility|volatility_term_structure,7
liquidity|path_structure|volatility,7
context|momentum|trend|volatility_term_structure,7
context|liquidity|path_structure|volatility|volatility_term_structure,7
liquidity|volatility,7
compression|liquidity|trend,7
compression|context|momentum|volatility_term_structure,7
trend|volatility_term_structure,7
compression|momentum,6
momentum|volatility,6
liquidity|momentum,6
compression|volatility_term_structure,6
compression|path_structure|volatility_term_structure,6
context|momentum|path_structure|trend,5
compression|context|liquidity|momentum|path_structure,5
compression|liquidity|trend|volatility,5
compression|context|path_structure|trend|volatility_term_structure,5
liquidity|path_structure|volatility_term_structure,5
trend,5
compression|context|momentum|volatility,5
trend|volatility,5
context|liquidity|momentum|volatility|volatility_term_structure,5
compression|context|liquidity|path_structure|trend,4
compression|context|momentum|path_structure|trend,4
path_structure|volatility_term_structure,4
compression|context|momentum|path_structure|volatility_term_structure,4
compression|context|liquidity|trend|volatility_term_structure,4
compression|liquidity|volatility,4
liquidity|volatility_term_structure,4
liquidity|trend|volatility,4
compression|momentum|path_structure,4
liquidity|trend,4
momentum|path_structure|volatility_term_structure,4
path_structure|trend|volatility_term_structure,4
compression|liquidity|path_structure|volatility_term_structure,4
context|liquidity|trend|volatility|volatility_term_structure,3
liquidity|momentum|path_structure|volatility,3
compression|context|momentum|volatility|volatility_term_structure,3
compression|context|path_structure|volatility|volatility_term_structure,3
liquidity|path_structure|trend|volatility|volatility_term_structure,3
context|liquidity|momentum|path_structure|volatility,3
trend|volatility|volatility_term_structure,3
compression|context|liquidity|volatility|volatility_term_structure,3
compression|momentum|path_structure|volatility,3
liquidity|volatility|volatility_term_structure,3
compression|context|liquidity|path_structure|trend|volatility,3
context|liquidity|momentum|trend|volatility,3
liquidity|momentum|path_structure|trend,3
volatility,3
compression|liquidity|volatility_term_structure,3
