bucket,step,delta_atr_star,p_fill_star,eu_star,place_order,tp_mult,sl_mult,sl_ratio,train_pnl,train_sortino,net_pnl,pnl_per_day_pct,sortino,profit_factor,max_dd,cvar_95,worst_week,block_14d_mean,block_14d_std,block_14d_iqr,block_hit_rate,perf_decay_slope,trades_per_day,holding_time_median_h,payoff_mean,payoff_median,p5,p25,p75,p95,win_rate,win_loss_ratio,lift_top10,lift_bot10,place_order_rate,avg_eu_star,avg_delta_atr_star,exit_tpsl_calib_pct,stage,w_minutes,mode,theta0,theta_mae_min,lambda_rv,lambda_rng,train_j3,train_winners_to_losers,exit_risk_cut_opt_pct,train_j_score,exit_risk_cut_opt_s2_pct,act_n,be_act_n,d_min,d_max,train_score_pnl,exit_profit_opt_pct,k,c0,train_score,train_max_dd,train_ulcer_index,train_recovery_speed,train_xbar,train_p_not_recovered,train_ui_violation,train_x_violation,exit_early_invalidation_pct,exit_giveback_exit_pct,exit_trailing_stop_pct,exit_limit_not_filled_pct
LONG_MR,05_entry_policy,0.2,0.6574765231923466,0.8075622565200493,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_MR,05_entry_policy,0.2,0.667505934770098,0.9396514960328918,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_MR,05_entry_policy,0.2,0.7091748277729073,1.5499151336959953,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_MR,10_tp_sl,,,,,2.0,1.6,1.25,0.12114228456913818,0.0,0.2276131062475164,3.79355177079194,0.0,0.0,0.0,0.10295581983283819,0.10295581983283819,0.2276131062475164,,0.0,1.0,0.12465728641467819,0.3333333333333333,0.0,0.1138065531237582,0.1138065531237582,0.10404089316193019,0.1083811864782982,0.11923191976921821,0.12357221308558622,1.0,113806553.1237582,0.0,0.0,1.0,1.2447833148644436,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_MR,10_tp_sl,,,,,2.0,2.0,1.0,0.12114228456913818,0.0,0.2276131062475164,3.79355177079194,0.0,0.0,0.0,0.10295581983283819,0.10295581983283819,0.2276131062475164,,0.0,1.0,0.12465728641467819,0.3333333333333333,0.0,0.1138065531237582,0.1138065531237582,0.10404089316193019,0.1083811864782982,0.11923191976921821,0.12357221308558622,1.0,113806553.1237582,0.0,0.0,1.0,1.2447833148644436,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_MR,10_tp_sl,,,,,2.0,2.6666666666666665,0.75,0.12114228456913818,0.0,0.2276131062475164,3.79355177079194,0.0,0.0,0.0,0.10295581983283819,0.10295581983283819,0.2276131062475164,,0.0,1.0,0.12465728641467819,0.3333333333333333,0.0,0.1138065531237582,0.1138065531237582,0.10404089316193019,0.1083811864782982,0.11923191976921821,0.12357221308558622,1.0,113806553.1237582,0.0,0.0,1.0,1.2447833148644436,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_MR,10_tp_sl,,,,,2.0,3.0303030303030303,0.66,0.12114228456913818,0.0,0.2276131062475164,3.79355177079194,0.0,0.0,0.0,0.10295581983283819,0.10295581983283819,0.2276131062475164,,0.0,1.0,0.12465728641467819,0.3333333333333333,0.0,0.1138065531237582,0.1138065531237582,0.10404089316193019,0.1083811864782982,0.11923191976921821,0.12357221308558622,1.0,113806553.1237582,0.0,0.0,1.0,1.2447833148644436,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_MR,10_tp_sl,,,,,2.0,4.0,0.5,0.12114228456913818,0.0,0.2276131062475164,3.79355177079194,0.0,0.0,0.0,0.10295581983283819,0.10295581983283819,0.2276131062475164,,0.0,1.0,0.12465728641467819,0.3333333333333333,0.0,0.1138065531237582,0.1138065531237582,0.10404089316193019,0.1083811864782982,0.11923191976921821,0.12357221308558622,1.0,113806553.1237582,0.0,0.0,1.0,1.2447833148644436,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_MR,10_tp_sl,,,,,2.0,6.0606060606060606,0.33,0.12114228456913818,0.0,0.2276131062475164,3.79355177079194,0.0,0.0,0.0,0.10295581983283819,0.10295581983283819,0.2276131062475164,,0.0,1.0,0.12465728641467819,0.3333333333333333,0.0,0.1138065531237582,0.1138065531237582,0.10404089316193019,0.1083811864782982,0.11923191976921821,0.12357221308558622,1.0,113806553.1237582,0.0,0.0,1.0,1.2447833148644436,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONG_MR,10_tp_sl,,,,,2.0,8.0,0.25,0.12114228456913818,0.0,0.2276131062475164,3.79355177079194,0.0,0.0,0.0,0.10295581983283819,0.10295581983283819,0.2276131062475164,,0.0,1.0,0.12465728641467819,0.3333333333333333,0.0,0.1138065531237582,0.1138065531237582,0.10404089316193019,0.1083811864782982,0.11923191976921821,0.12357221308558622,1.0,113806553.1237582,0.0,0.0,1.0,1.2447833148644436,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
