symbol,price_rows,missing_oi,missing_volume,missing_funding,missing_any,valid_all,chart_positive_volume,actual_trades,confirmed_no_trades,unavailable_volume,linked_zero_carry,isolated_zero_chart,perp_symbol,oi_gap_ranges,volume_gap_ranges
ADA_USD:USD,35180,7004,428,45,7040,28140,34752,0,0,428,193,235,ADA/USD:USD,10,0
ALCH_USD:USD,11543,0,4784,0,4784,6759,6759,0,0,0,4090,694,ALCH/USD:USD,0,1490
ALT_USD:USD,17398,0,10562,1,10563,6835,6836,0,0,0,9581,981,ALT/USD:USD,0,2634
API3_USD:USD,20253,0,9174,0,9174,11079,11079,0,0,0,7530,1644,API3/USD:USD,0,3433
ARC_USD:USD,11539,0,4176,0,4176,7363,7363,0,0,0,3495,681,ARC/USD:USD,0,1444
ATH_USD:USD,13331,0,7406,0,7406,5925,5925,0,0,0,6525,881,ATH/USD:USD,0,2103
AVAX_USD:USD,35180,7004,757,45,7251,27929,34423,0,0,0,334,423,AVAX/USD:USD,10,552
BAT_USD:USD,33688,5516,19110,1,21056,12632,14578,0,0,0,16875,2235,BAT/USD:USD,8,5667
BERA_USD:USD,11177,0,3593,0,3593,7584,7584,0,0,0,2721,872,BERA/USD:USD,0,1596
BLUR_USD:USD,28627,452,10472,0,10872,17755,18155,0,0,0,8379,2093,BLUR/USD:USD,1,4149
BTC_USD:USD,35180,7004,14,45,7016,28164,35166,0,0,0,11,3,BTC/USD:USD,10,6
CELO_USD:USD,14037,0,9931,0,9931,4106,4106,0,0,0,9271,660,CELO/USD:USD,0,2101
CHZ_USD:USD,33688,5516,9945,1,13666,20022,23743,0,0,0,7856,2089,CHZ/USD:USD,8,3944
COW_USD:USD,13050,0,9520,0,9520,3530,3530,0,0,0,8966,554,COW/USD:USD,0,1490
CVX_USD:USD,27620,0,14312,1,14313,13307,13308,0,0,0,12542,1770,CVX/USD:USD,0,4041
DEGEN_USD:USD,13336,0,7808,0,7808,5528,5528,0,0,0,6976,832,DEGEN/USD:USD,0,2065
DOGS_USD:USD,14202,1,9401,0,9402,4800,4801,0,0,0,8766,635,DOGS/USD:USD,1,1899
EGLD_USD:USD,32515,4339,14727,0,16227,16288,17788,0,0,0,12043,2684,EGLD/USD:USD,7,5546
ENS_USD:USD,32014,3838,7963,3,9451,22563,24051,0,0,0,6141,1822,ENS/USD:USD,6,3350
ETHFI_USD:USD,17853,0,6411,0,6411,11442,11442,0,0,0,5042,1369,ETHFI/USD:USD,0,2649
FIL_USD:USD,35135,6959,3937,0,8640,26495,31198,0,0,0,2869,1068,FIL/USD:USD,10,1862
FLUX_USD:USD,13002,1,11128,0,11129,1873,1874,0,0,0,10877,251,FLUX/USD:USD,1,1168
GMT_USD:USD,34915,6739,12498,0,16026,18889,22417,0,0,0,10085,2413,GMT/USD:USD,10,4793
GRIFFAIN_USD:USD,11683,0,4032,0,4032,7651,7651,0,0,0,3328,704,GRIFFAIN/USD:USD,0,1330
HFT_USD:USD,24786,98,14173,0,14175,10611,10613,0,0,0,12633,1540,HFT/USD:USD,3,3856
IMX_USD:USD,31660,3485,9427,0,11013,20647,22233,0,0,0,7240,2187,IMX/USD:USD,5,3936
JASMY_USD:USD,27477,14,6118,1,6122,21355,21359,0,0,0,5451,667,JASMY/USD:USD,3,1523
KAS_USD:USD,20732,0,742,0,742,19990,19990,0,0,0,440,302,KAS/USD:USD,0,435
LCAP_USD:USD,3816,645,3470,0,3473,343,346,0,0,0,3411,59,LCAP/USD:USD,2,203
LQTY_USD:USD,13893,2,11607,0,11608,2285,2286,0,0,0,11296,311,LQTY/USD:USD,1,1234
MANA_USD:USD,34243,6067,7601,0,11098,23145,26642,0,0,0,5521,2080,MANA/USD:USD,9,3618
MEW_USD:USD,16916,6,1222,0,1226,15690,15694,0,0,0,644,578,MEW/USD:USD,2,820
MOG_USD:USD,15501,0,7387,0,7387,8114,8114,0,0,0,6356,1031,MOG/USD:USD,0,2170
MOVR_USD:USD,17728,0,12137,0,12137,5591,5591,0,0,0,11334,803,MOVR/USD:USD,0,2575
NIGHT_USD:USD,3910,0,903,1,904,3006,3007,0,0,0,646,257,NIGHT/USD:USD,0,454
OMI_USD:USD,3639,328,3408,0,3415,224,231,0,0,0,3367,41,OMI/USD:USD,6,142
ORCA_USD:USD,12474,0,9202,0,9202,3272,3272,0,0,0,8744,458,ORCA/USD:USD,0,1458
