symbol,price_rows,missing_oi,missing_volume,missing_funding,missing_any,valid_all,chart_positive_volume,actual_trades,confirmed_no_trades,source_conflict_volume,unavailable_volume,linked_zero_carry,isolated_zero_chart,perp_symbol,oi_gap_ranges,volume_gap_ranges
1INCH_USD:USD,32853,4677,26,0,4703,28150,17878,16242,14949,24,0,12735,2217,1INCH/USD:USD,7,1
2Z_USD:USD,5490,0,10,0,10,5480,539,526,4941,8,0,4879,64,2Z/USD:USD,0,1
AAVE_USD:USD,34245,6068,4,0,6072,28173,30694,12626,3547,0,4,2659,892,AAVE/USD:USD,9,0
ADA_USD:USD,35182,7004,428,45,7040,28142,34754,0,0,0,428,193,235,ADA/USD:USD,10,0
AEVO_USD:USD,17547,1,36,0,37,17510,6866,6775,10645,34,0,9547,1100,AEVO/USD:USD,1,1
AIXBT_USD:USD,11710,0,25,0,25,11685,9084,8312,2601,25,0,1796,805,AIXBT/USD:USD,0,0
AKT_USD:USD,13223,0,22,0,22,13201,5963,5848,7238,22,0,6279,959,AKT/USD:USD,0,0
ALCH_USD:USD,11545,0,9,0,9,11536,6766,6172,4770,9,0,4077,693,ALCH/USD:USD,0,0
ALEO_USD:USD,1804,1066,2,0,1068,736,50,46,1748,4,0,1750,4,ALEO/USD:USD,6,1
ALGO_USD:USD,34031,5853,0,2,5853,28178,26940,21846,7091,0,0,5334,1757,ALGO/USD:USD,9,0
ALICE_USD:USD,32181,4004,19,0,4023,28158,11085,10973,21077,17,0,19264,1815,ALICE/USD:USD,6,1
ALT_USD:USD,17400,0,18,1,19,17381,6837,6726,10545,18,0,9566,979,ALT/USD:USD,0,0
ANIME_USD:USD,11634,0,17,0,17,11617,2658,2594,8959,16,0,8573,387,ANIME/USD:USD,0,1
ANKR_USD:USD,32339,4161,18,2,4179,28160,15289,15032,17032,18,0,14765,2267,ANKR/USD:USD,6,0
APE_USD:USD,34583,6405,3,2,6408,28175,31293,24154,3287,3,0,1818,1469,APE/USD:USD,9,0
API3_USD:USD,20255,0,26,0,26,20229,11084,10836,9145,25,0,7506,1640,API3/USD:USD,0,1
APT_USD:USD,31513,3337,3,0,3340,28173,26665,17293,4845,0,3,3578,1270,APT/USD:USD,5,0
AR_USD:USD,17862,0,22,0,22,17840,14215,13342,3625,21,0,2541,1085,AR/USD:USD,0,1
ARB_USD:USD,27791,0,11,1,12,27779,25271,5592,2509,0,11,1927,593,ARB/USD:USD,0,0
ARC_USD:USD,11541,0,14,0,14,11527,7361,6660,4166,13,0,3485,682,ARC/USD:USD,0,1
ARKM_USD:USD,17730,2,10,0,12,17718,8158,7834,9562,8,0,8539,1025,ARKM/USD:USD,1,1
ASTER_USD:USD,5764,0,24,0,24,5740,4121,3968,1619,24,0,1197,422,ASTER/USD:USD,0,0
ASTR_USD:USD,18048,0,20,0,20,18028,5125,5077,12903,18,0,12119,786,ASTR/USD:USD,0,1
ATH_USD:USD,13333,0,16,0,16,13317,5933,5791,7384,16,0,6502,882,ATH/USD:USD,0,0
ATOM_USD:USD,35182,7004,10,45,7014,28168,34632,10274,540,0,10,185,365,ATOM/USD:USD,10,0
AUCTION_USD:USD,15503,0,17,0,17,15486,5308,4914,10178,15,0,9488,692,AUCTION/USD:USD,0,1
AUD_USD:USD,9053,1551,3685,0,3796,5257,86,74,5282,0,3683,8961,6,AUD/USD:USD,4,1
AVAX_USD:USD,35182,7004,10,45,7014,28168,34425,9109,747,0,10,334,423,AVAX/USD:USD,10,0
AXS_USD:USD,33355,5177,0,2,5177,28178,27965,24715,5390,0,0,3541,1849,AXS/USD:USD,8,0
B3_USD:USD,10464,4,16,0,20,10444,2048,2027,8400,16,0,8113,287,B3/USD:USD,2,0
BAND_USD:USD,32181,4003,15,0,4018,28163,12476,12221,19690,14,0,17706,1985,BAND/USD:USD,6,1
BAT_USD:USD,33690,5516,31,1,5547,28143,14567,14291,19092,30,0,16860,2233,BAT/USD:USD,8,1
BCH_USD:USD,35182,7005,4,45,7009,28173,33748,12327,1430,0,4,872,562,BCH/USD:USD,10,0
BDX_USD:USD,2112,2112,2111,0,2112,0,1,0,0,0,2109,2111,0,BDX/USD:USD,3,1
BEAM_USD:USD,18383,0,23,0,23,18360,9596,8768,8764,22,0,7712,1053,BEAM/USD:USD,0,1
BERA_USD:USD,11179,0,26,0,26,11153,7585,7163,3568,24,0,2707,864,BERA/USD:USD,0,1
BICO_USD:USD,18065,6,14,0,20,18045,4713,4652,13338,13,0,12585,754,BICO/USD:USD,1,1
BIGTIME_USD:USD,16749,0,8,0,8,16741,8099,7308,8642,6,0,7870,774,BIGTIME/USD:USD,0,1
BIO_USD:USD,11539,0,26,0,26,11513,5387,5308,6126,19,6,5403,731,BIO/USD:USD,0,1
BLUR_USD:USD,28629,452,27,0,479,28150,18156,17672,10446,27,0,8355,2091,BLUR/USD:USD,1,0
BNB_USD:USD,21936,0,8,1,9,21927,21145,5677,783,0,8,484,307,BNB/USD:USD,0,0
BNT_USD:USD,16918,4,10,0,14,16904,2845,2804,14063,8,0,13666,399,BNT/USD:USD,1,1
BONK_USD:USD,21235,0,26,0,26,21209,20570,5970,639,18,393,304,344,BONK/USD:USD,0,0
BTC_USD:USD,35182,7004,14,45,7016,28166,35168,0,0,0,399,11,3,BTC/USD:USD,10,0
C98_USD:USD,17544,0,21,0,21,17523,4551,4507,12972,20,0,12250,723,C98/USD:USD,0,1
CAKE_USD:USD,13218,0,20,0,20,13198,6681,6415,6517,18,0,5760,759,CAKE/USD:USD,0,1
CAT_USD:USD,13676,4,17,0,21,13655,7038,6861,6621,16,0,5986,636,CAT/USD:USD,1,1
CELO_USD:USD,14039,0,34,0,34,14005,4111,4066,9894,32,0,9235,663,CELO/USD:USD,0,1
CELR_USD:USD,15356,1,23,0,24,15332,5460,5407,9873,22,0,8974,900,CELR/USD:USD,1,1
CFG_USD:USD,2085,588,5,0,593,1492,421,402,1659,5,0,1587,72,CFG/USD:USD,2,0
CHR_USD:USD,17891,15,19,0,34,17857,5757,5681,12115,17,0,11221,896,CHR/USD:USD,1,1
CHZ_USD:USD,33690,5516,8,1,5524,28166,23743,21563,9939,8,0,7852,2087,CHZ/USD:USD,8,0
COMP_USD:USD,33860,5686,29,3,5715,28145,19764,18777,14067,29,0,11730,2337,COMP/USD:USD,8,0
COOKIE_USD:USD,11368,3,34,0,37,11331,3198,3157,8136,33,0,7661,476,COOKIE/USD:USD,1,1
COTI_USD:USD,18092,20,25,0,45,18047,8937,8743,9130,23,0,7891,1241,COTI/USD:USD,1,1
COW_USD:USD,13052,0,13,0,13,13039,3533,3467,9506,11,0,8952,556,COW/USD:USD,0,1
CRO_USD:USD,12475,0,33,0,33,12442,7090,6521,5352,31,0,4512,842,CRO/USD:USD,0,1
CRV_USD:USD,34245,6067,9,0,6076,28169,32077,10569,2159,0,9,1473,695,CRV/USD:USD,9,0
CTSI_USD:USD,17400,0,11,1,12,17388,4712,4671,12677,9,0,12004,675,CTSI/USD:USD,0,1
CVX_USD:USD,27622,0,29,1,30,27592,13317,12820,14276,27,0,12509,1769,CVX/USD:USD,0,1
CYBER_USD:USD,13838,0,5,0,5,13833,2941,2903,10892,3,0,10449,445,CYBER/USD:USD,0,1
DASH_USD:USD,32855,4678,7,2,4685,28170,21909,14316,10939,0,420,9411,1535,DASH/USD:USD,7,0
DEEP_USD:USD,13325,0,16,0,16,13309,4274,4232,9035,15,0,8404,632,DEEP/USD:USD,0,1
DEGEN_USD:USD,13338,0,19,0,19,13319,5534,5364,7785,17,0,6947,840,DEGEN/USD:USD,0,1
DENT_USD:USD,12997,0,42,0,42,12955,3077,3033,9878,42,0,9413,465,DENT/USD:USD,0,0
DOG_USD:USD,13339,0,17,0,17,13322,7175,6147,6147,16,0,5570,578,DOG/USD:USD,0,1
DOGE_USD:USD,34414,6236,14,1,6250,28164,33128,5435,1272,0,399,961,325,DOGE/USD:USD,9,0
DOGS_USD:USD,14204,1,21,0,22,14182,4806,4753,9377,20,0,8751,627,DOGS/USD:USD,1,1
DOT_USD:USD,35137,6959,8,0,6967,28170,34664,9420,465,0,8,163,310,DOT/USD:USD,10,0
DYDX_USD:USD,32517,4339,1,0,4340,28177,24174,20541,8342,1,0,6445,1897,DYDX/USD:USD,7,0
DYM_USD:USD,20062,0,19,0,19,20043,11738,10758,8305,19,0,7143,1164,DYM/USD:USD,0,0
EGLD_USD:USD,32517,4339,42,0,4381,28136,17792,17555,14683,41,0,12000,2685,EGLD/USD:USD,7,1
EIGEN_USD:USD,14207,0,36,0,36,14171,9572,9009,4599,36,0,3498,1101,EIGEN/USD:USD,0,0
ENA_USD:USD,18237,0,8,0,8,18229,17678,9661,551,0,8,282,277,ENA/USD:USD,0,0
