symbol,price_rows,missing_oi,missing_volume,missing_funding,missing_any,valid_all,chart_positive_volume,actual_trades,confirmed_no_trades,unavailable_volume,linked_zero_carry,isolated_zero_chart,perp_symbol,oi_gap_ranges,volume_gap_ranges
2Z_USD:USD,5488,0,4950,0,4950,538,538,0,0,0,4886,64,2Z/USD:USD,0,281
AIXBT_USD:USD,11708,0,2624,0,2624,9084,9084,0,0,0,1815,809,AIXBT/USD:USD,0,1346
ALGO_USD:USD,34029,5853,7091,2,10156,23873,26938,0,0,0,5334,1757,ALGO/USD:USD,9,3183
ANKR_USD:USD,32337,4161,17055,2,19029,13308,15282,0,0,0,14788,2267,ANKR/USD:USD,6,5373
AR_USD:USD,17860,0,3647,0,3647,14213,14213,0,0,0,2559,1088,AR/USD:USD,0,1692
ASTER_USD:USD,5762,0,1640,0,1640,4122,4122,0,0,0,1220,420,ASTER/USD:USD,0,761
AUCTION_USD:USD,15501,0,10193,0,10193,5308,5308,0,0,0,9503,690,AUCTION/USD:USD,0,1860
B3_USD:USD,10462,4,8419,0,8421,2041,2043,0,0,0,8129,290,B3/USD:USD,2,1081
BDX_USD:USD,2110,2110,2109,0,2110,0,1,0,0,0,2109,0,BDX/USD:USD,3,3
BIGTIME_USD:USD,16747,0,8654,0,8654,8093,8093,0,0,0,7880,774,BIGTIME/USD:USD,0,1863
BNT_USD:USD,16916,4,14070,0,14073,2843,2846,0,0,0,13671,399,BNT/USD:USD,1,1748
CAKE_USD:USD,13216,0,6540,0,6540,6676,6676,0,0,0,5776,764,CAKE/USD:USD,0,1771
CFG_USD:USD,2083,588,1667,0,1671,412,416,0,0,0,1597,70,CFG/USD:USD,2,183
COOKIE_USD:USD,11366,3,8165,0,8167,3199,3201,0,0,0,7688,477,COOKIE/USD:USD,1,1536
CRV_USD:USD,34243,6067,2168,0,6377,27866,32075,0,0,0,1473,695,CRV/USD:USD,9,1128
DASH_USD:USD,32853,4678,10948,2,12060,20793,21905,0,0,0,9411,1537,DASH/USD:USD,7,3327
DOG_USD:USD,13337,0,6168,0,6168,7169,7169,0,0,0,5587,581,DOG/USD:USD,0,1357
DYDX_USD:USD,32515,4339,8345,0,10443,22072,24170,0,0,0,6447,1898,DYDX/USD:USD,7,3498
ENA_USD:USD,18235,0,560,0,560,17675,17675,0,0,0,282,278,ENA/USD:USD,0,375
ETC_USD:USD,33356,5180,9926,1,12440,20916,23430,0,0,0,7882,2044,ETC/USD:USD,8,3989
FARTCOIN_USD:USD,11727,0,12,0,12,11715,11715,0,0,0,10,2,FARTCOIN/USD:USD,0,4
FLOW_USD:USD,33018,4844,20917,3,22669,10349,12101,0,0,0,18967,1950,FLOW/USD:USD,7,5362
GBP_USD:USD,9479,3432,9249,0,9269,210,230,0,0,0,9231,18,GBP/USD:USD,16,186
GOAT_USD:USD,13839,0,733,1,734,13105,13106,0,0,0,453,280,GOAT/USD:USD,0,438
GTC_USD:USD,16916,20,14640,0,14642,2274,2276,0,0,0,14390,250,GTC/USD:USD,1,1236
ICP_USD:USD,32337,4164,7205,2,8535,23802,25132,0,0,0,6294,911,ICP/USD:USD,6,2021
INJ_USD:USD,27477,4,2307,5,2312,25165,25170,0,0,0,1787,520,INJ/USD:USD,1,991
JUP_USD:USD,20229,0,1022,0,1022,19207,19207,0,0,0,405,617,JUP/USD:USD,0,782
KSM_USD:USD,33018,4842,13622,3,15451,17567,19396,0,0,0,10884,2738,KSM/USD:USD,7,5460
LINK_USD:USD,35135,6959,565,0,7003,28132,34570,0,0,0,253,312,LINK/USD:USD,10,408
LSK_USD:USD,20253,0,13816,0,13816,6437,6437,0,0,0,12832,984,LSK/USD:USD,0,2897
MELANIA_USD:USD,11735,0,2648,0,2648,9087,9087,0,0,0,2028,620,MELANIA/USD:USD,0,1086
MIRA_USD:USD,5480,0,5127,0,5127,353,353,0,0,0,5079,48,MIRA/USD:USD,0,239
MOODENG_USD:USD,13673,0,348,0,348,13325,13325,0,0,0,156,192,MOODENG/USD:USD,0,245
NEAR_USD:USD,34581,6405,5992,2,9822,24759,28589,0,0,0,4745,1247,NEAR/USD:USD,9,2396
NOT_USD:USD,16412,0,6921,0,6921,9491,9491,0,0,0,5830,1091,NOT/USD:USD,0,2319
OP_USD:USD,34832,6656,5177,1,9397,25435,29655,0,0,0,3791,1386,OP/USD:USD,10,2466
OXT_USD:USD,13710,0,11143,0,11143,2567,2567,0,0,0,10817,326,OXT/USD:USD,0,1365
PEPE_USD:USD,26279,0,1538,0,1538,24741,24741,0,0,0,1040,498,PEPE/USD:USD,0,810
PORTAL_USD:USD,16747,0,10933,0,10933,5814,5814,0,0,0,10123,810,PORTAL/USD:USD,0,2240
PYTH_USD:USD,21761,0,2379,0,2379,19382,19382,0,0,0,1522,857,PYTH/USD:USD,0,1346
RARI_USD:USD,5106,295,4588,0,4592,514,518,0,0,0,4555,33,RARI/USD:USD,4,117
REZ_USD:USD,16175,0,10387,0,10387,5788,5788,0,0,0,9728,659,REZ/USD:USD,0,1972
RUNE_USD:USD,32515,4339,7183,0,8230,24285,25332,0,0,0,6180,1003,RUNE/USD:USD,7,2103
SEI_USD:USD,19246,0,753,0,753,18493,18493,0,0,0,295,458,SEI/USD:USD,0,577
SOLV_USD:USD,11177,0,8734,0,8734,2443,2443,0,0,0,8441,293,SOLV/USD:USD,0,1077
SPK_USD:USD,7883,0,4788,0,4788,3095,3095,0,0,0,4361,427,SPK/USD:USD,0,1256
STG_USD:USD,24786,58,18303,0,18305,6481,6483,0,0,0,17276,1027,STG/USD:USD,2,3372
SUI_USD:USD,26806,0,2869,0,2869,23937,23937,0,0,0,2385,484,SUI/USD:USD,0,1053
SWARMS_USD:USD,11368,4,7044,0,7045,4323,4324,0,0,0,6362,682,SWARMS/USD:USD,1,1670
T_USD:USD,17897,0,14366,0,14366,3531,3531,0,0,0,13978,388,T/USD:USD,0,1557
TNSR_USD:USD,17230,4,10702,0,10703,6527,6528,0,0,0,9790,912,TNSR/USD:USD,1,2393
TRX_USD:USD,34411,6237,8794,0,11073,23338,25617,0,0,0,6696,2098,TRX/USD:USD,9,3779
USDC_USD:USD,28073,0,25260,1,25261,2812,2813,0,0,0,24980,280,USDC/USD:USD,0,1513
VIRTUAL_USD:USD,11727,5,350,0,352,11375,11377,0,0,0,122,228,VIRTUAL/USD:USD,1,276
WLFI_USD:USD,6353,1,552,0,553,5800,5801,0,0,0,243,309,WLFI/USD:USD,1,401
XMR_USD:USD,35134,6959,2688,3,8346,26788,32446,0,0,0,1630,1058,XMR/USD:USD,10,1640
YFI_USD:USD,33857,5681,13956,2,16266,17591,19901,0,0,0,11606,2350,YFI/USD:USD,8,4997
ZIG_USD:USD,2920,0,2487,0,2487,433,433,0,0,0,2417,70,ZIG/USD:USD,0,251
